Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
1.0,Truck Robinson,26.0,NOJ,PF,82.0,82.0,3638.0,9.1,20.5,0.444,4.5,7.0,0.64,3.6,12.1,15.7,2.1,0.9,1.0,3.7,3.2,22.7,96.0,98.0,"MVP-8,AS,NBA1"
2.0,Randy Smith,29.0,BUF,SG,82.0,82.0,3314.0,11.0,23.6,0.465,6.1,7.7,0.8,1.5,2.8,4.3,6.4,2.4,0.2,4.0,3.1,28.1,104.0,105.0,AS
3.0,Elvin Hayes,32.0,WSB,PF,81.0,,3246.0,8.7,19.3,0.451,4.5,7.0,0.634,4.6,10.1,14.7,2.0,1.3,2.2,3.1,4.3,21.9,101.0,97.0,AS
4.0,Dave Cowens,29.0,BOS,C,77.0,,3215.0,8.4,17.2,0.49,3.4,4.0,0.842,3.5,11.7,15.2,4.9,1.4,0.9,3.1,4.2,20.2,108.0,97.0,AS
5.0,Bob McAdoo,26.0,NYK,C,79.0,78.0,3182.0,11.2,21.5,0.52,6.4,8.9,0.727,3.2,10.6,13.9,4.1,1.4,1.7,4.8,4.1,28.8,106.0,99.0,"MVP-10,AS"
6.0,Bernard King,21.0,NJN,SF,79.0,,3092.0,11.2,23.3,0.479,4.4,6.5,0.677,3.7,6.8,10.5,2.7,1.7,0.5,4.4,4.2,26.7,98.0,101.0,ROY-3
7.0,Artis Gilmore,28.0,CHI,C,82.0,82.0,3067.0,10.9,19.4,0.559,7.3,10.3,0.704,4.9,11.6,16.5,4.1,0.6,2.8,5.6,4.0,29.0,108.0,99.0,"MVP-8,AS"
8.0,David Thompson,23.0,DEN,SG,80.0,,3025.0,12.1,23.2,0.521,7.6,9.8,0.778,2.3,3.4,5.7,5.3,1.3,1.4,3.6,3.1,31.8,114.0,104.0,"MVP-3,AS,NBA1"
9.0,Rick Barry,33.0,GSW,SF,82.0,82.0,3024.0,11.4,25.3,0.451,5.7,6.1,0.924,1.1,5.6,6.7,6.7,2.4,0.7,3.4,2.8,28.4,104.0,99.0,AS
10.0,Ricky Sobers,25.0,IND,PG,79.0,,3019.0,8.1,17.9,0.453,4.9,5.9,0.825,1.4,3.5,4.8,8.6,2.5,0.3,5.2,4.5,21.1,98.0,103.0,
11.0,Scott Wedman,25.0,KCK,SF,81.0,,2961.0,9.1,17.9,0.509,3.3,3.8,0.87,2.2,4.8,6.9,3.0,1.5,0.3,2.4,3.6,21.5,110.0,104.0,
12.0,Phil Smith,25.0,GSW,SG,82.0,82.0,2940.0,10.0,21.2,0.472,4.9,6.0,0.812,1.5,3.1,4.6,6.1,1.7,0.4,4.1,3.4,24.8,101.0,102.0,
13.0,John Lucas,24.0,HOU,PG,82.0,82.0,2933.0,6.7,15.3,0.435,3.1,4.0,0.772,0.8,3.3,4.1,12.4,2.6,0.1,3.4,3.4,16.4,105.0,107.0,
14.0,Adrian Dantley,22.0,2TM,SF,79.0,,2933.0,8.9,17.3,0.512,8.3,10.4,0.796,4.1,5.4,9.5,3.9,1.8,0.4,3.5,3.6,26.0,116.0,102.0,
15.0,Marvin Webster,25.0,SEA,C,82.0,,2910.0,6.7,13.4,0.502,4.6,7.3,0.629,5.7,10.6,16.3,3.2,0.8,2.6,4.0,4.1,18.0,104.0,96.0,MVP-10
