Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards
1.0,Kareem Abdul-Jabbar,23.0,MIL,C,82.0,,40.1,13.0,22.5,0.577,5.7,8.3,0.69,16.0,3.3,3.2,31.7,"MVP-1,AS,NBA1"
3.0,John Havlicek,30.0,BOS,SF,81.0,,45.4,11.0,24.5,0.45,6.8,8.4,0.818,9.0,7.5,2.5,28.9,"MVP-6,AS,NBA1"
4.0,Elvin Hayes,25.0,SDR,C,82.0,,44.3,11.6,27.0,0.428,5.5,8.2,0.672,16.6,2.3,2.7,28.7,AS
5.0,Dave Bing,27.0,DET,PG,82.0,,37.4,9.7,20.9,0.467,7.5,9.4,0.797,4.4,5.0,2.8,27.0,"MVP-3,AS,NBA1"
6.0,Jerry West,32.0,LAL,PG,69.0,,41.2,9.7,19.6,0.494,7.6,9.1,0.832,4.6,9.5,2.6,26.9,"MVP-2,AS,NBA1"
7.0,Lou Hudson,26.0,ATL,SF,76.0,,41.0,10.9,22.5,0.484,5.0,6.6,0.759,5.1,3.4,2.4,26.8,AS
8.0,Bob Love,28.0,CHI,PF,81.0,81.0,43.0,9.4,21.1,0.447,6.3,7.6,0.829,8.5,2.3,3.2,25.2,"MVP-7,AS,NBA2"
9.0,Geoff Petrie,22.0,POR,SG,82.0,,37.0,9.6,21.6,0.443,5.6,7.3,0.772,3.4,4.8,2.4,24.8,"ROY-1,AS"
10.0,Pete Maravich,23.0,ATL,SG,81.0,,36.1,9.1,19.9,0.458,5.0,6.2,0.8,3.7,4.4,2.9,23.2,ROY-3
11.0,Billy Cunningham,27.0,PHI,SF,81.0,80.0,38.1,8.7,18.8,0.462,5.6,7.7,0.734,11.7,4.9,4.0,23.0,"MVP-9,AS,NBA1"
12.0,Tom Van Arsdale,27.0,CIN,SF,82.0,,38.4,9.1,20.0,0.456,4.6,6.4,0.721,6.1,2.2,3.6,22.9,AS
13.0,Chet Walker,30.0,CHI,SF,81.0,81.0,36.1,8.0,17.3,0.465,5.9,6.9,0.859,7.3,2.2,2.3,22.0,AS
14.0,Dick Van Arsdale,27.0,PHO,SG,81.0,,39.0,7.5,16.6,0.452,6.8,8.4,0.811,3.9,4.1,3.0,21.9,AS
15.0,Walt Frazier,25.0,NYK,PG,80.0,80.0,43.2,8.1,16.5,0.494,5.4,7.0,0.779,6.8,6.7,3.0,21.7,"AS,NBA2"
16.0,Earl Monroe,26.0,BAL,PG,81.0,,35.1,8.2,18.5,0.442,5.0,6.2,0.802,2.6,4.4,2.7,21.4,AS
17.0,Archie Clark,29.0,PHI,PG,82.0,82.0,39.6,8.1,16.3,0.496,5.1,6.5,0.787,4.8,5.4,2.6,21.3,
18.0,Jo Jo White,24.0,BOS,PG,75.0,,37.2,9.2,19.9,0.464,2.9,3.6,0.799,5.0,4.8,3.4,21.3,AS
19.0,Connie Hawkins,28.0,PHO,SF,71.0,,37.5,7.2,16.6,0.434,6.4,7.9,0.816,9.1,4.5,2.8,20.9,AS
20.0,Willis Reed,28.0,NYK,C,73.0,72.0,39.1,8.4,18.2,0.462,4.1,5.2,0.785,13.7,2.0,3.1,20.9,"MVP-4,AS,NBA2"
21.0,Jeff Mullins,28.0,SFW,SG,75.0,,38.8,8.4,17.4,0.482,4.0,4.8,0.844,4.5,4.4,3.3,20.8,AS
22.0,Wilt Chamberlain,34.0,LAL,C,82.0,,44.3,8.1,15.0,0.545,4.4,8.2,0.538,18.2,4.3,2.1,20.7,AS
24.0,Stu Lantz,24.0,SDR,SG,82.0,,37.8,7.1,15.9,0.448,6.3,7.9,0.806,5.0,4.2,2.8,20.6,
25.0,Bob Kauffman,24.0,BUF,C,78.0,,35.6,7.9,16.8,0.471,4.6,6.2,0.74,10.7,4.5,3.4,20.4,AS
26.0,Don May,25.0,BUF,SF,76.0,,35.1,8.3,17.6,0.471,3.6,4.6,0.791,7.5,2.0,2.9,20.2,
27.0,Nate Thurmond,29.0,SFW,C,82.0,,40.9,7.6,17.1,0.445,4.8,6.6,0.73,13.8,3.1,2.3,20.0,MVP-8
28.0,Lenny Wilkens,33.0,SEA,PG,71.0,,37.2,6.6,15.8,0.419,6.5,8.1,0.803,4.5,9.2,2.8,19.8,AS
