Rk,Player,Age,Team,Pos,G,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards
1.0,Wilt Chamberlain,23.0,PHW,C,72.0,46.4,14.8,32.1,0.461,8.0,13.8,0.582,27.0,2.3,2.1,37.6,"MVP-1,ROY-1,AS,NBA1"
2.0,Jack Twyman,25.0,CIN,SF,75.0,40.3,11.6,27.5,0.422,8.0,10.2,0.785,8.9,3.5,3.7,31.2,"MVP-6,AS,NBA2"
3.0,Elgin Baylor,25.0,MNL,SF,70.0,41.0,10.8,25.4,0.424,8.1,11.0,0.732,16.4,3.5,3.3,29.6,"MVP-5,AS,NBA1"
4.0,Bob Pettit,27.0,STL,PF,72.0,40.2,9.3,21.2,0.438,7.6,10.0,0.753,17.0,3.6,2.8,26.1,"MVP-3,AS,NBA1"
5.0,Cliff Hagan,28.0,STL,SF,75.0,37.3,9.6,20.7,0.464,5.6,7.0,0.803,10.7,4.0,3.6,24.8,"MVP-14,AS"
6.0,Gene Shue,28.0,DET,PG,75.0,44.5,8.3,20.0,0.413,6.3,7.2,0.872,5.5,3.9,1.9,22.8,"MVP-7,AS,NBA1"
7.0,Dolph Schayes,31.0,SYR,PF,75.0,36.5,7.7,19.2,0.401,7.1,8.0,0.893,12.8,3.4,3.5,22.5,"MVP-8,AS,NBA2"
8.0,Paul Arizin,31.0,PHW,SF,72.0,36.4,8.2,19.4,0.424,5.8,7.3,0.798,8.6,2.3,3.7,22.3,AS
9.0,Richie Guerin,27.0,NYK,SG,74.0,32.8,7.8,18.6,0.42,6.2,8.0,0.773,6.8,6.3,3.3,21.8,"MVP-12,AS,NBA2"
10.0,Tom Heinsohn,25.0,BOS,PF,75.0,32.3,9.0,21.2,0.423,3.8,5.1,0.733,10.6,2.3,3.7,21.7,MVP-10
11.0,Willie Naulls,25.0,NYK,SF,65.0,34.6,8.5,19.8,0.428,4.4,5.3,0.836,14.2,2.1,3.3,21.4,"MVP-12,AS"
12.0,Clyde Lovellette,30.0,STL,C,68.0,28.7,8.1,17.3,0.468,4.6,5.7,0.821,10.6,1.9,3.6,20.8,AS
13.0,George Yardley,31.0,SYR,SF,73.0,32.9,7.5,16.5,0.453,5.2,6.4,0.816,7.9,1.7,3.1,20.2,AS
14.0,Bob Cousy,31.0,BOS,PG,75.0,34.5,7.6,19.7,0.384,4.3,5.4,0.792,4.7,9.5,1.9,19.4,"MVP-4,AS,NBA1"
15.0,Bill Sharman,33.0,BOS,SG,71.0,27.0,7.9,17.3,0.456,3.5,4.1,0.866,3.7,2.0,2.2,19.3,"AS,NBA2"
16.0,Kenny Sears,26.0,NYK,PF,64.0,32.8,6.4,13.5,0.477,5.7,6.5,0.868,13.7,2.0,3.0,18.5,
17.0,Bill Russell,25.0,BOS,C,74.0,42.5,7.5,16.1,0.467,3.2,5.3,0.612,24.0,3.7,2.8,18.2,"MVP-2,AS,NBA2"
18.0,Bailey Howell,23.0,DET,PF,75.0,31.3,6.8,14.9,0.456,4.2,5.6,0.739,10.5,0.8,3.8,17.8,
19.0,Frank Ramsey,28.0,BOS,SG,73.0,27.5,5.8,14.5,0.397,3.7,4.8,0.787,6.9,1.9,3.4,15.3,
20.0,Walter Dukes,29.0,DET,C,66.0,32.4,4.8,13.2,0.361,5.7,7.7,0.74,13.4,1.2,4.7,15.2,"MVP-11,AS"
21.0,Tom Gola,27.0,PHW,SG,75.0,38.3,5.7,13.1,0.433,3.6,4.5,0.794,10.4,5.5,4.1,15.0,"MVP-8,AS"
22.0,Red Kerr,27.0,SYR,C,75.0,31.6,5.8,14.8,0.392,3.1,4.1,0.752,12.2,2.2,2.8,14.7,
23.0,Larry Costello,28.0,SYR,PG,71.0,34.8,5.2,11.6,0.453,3.5,4.1,0.862,5.5,6.3,3.3,14.0,AS
24.0,Rudy LaRusso,22.0,MNL,PF,71.0,29.5,5.0,12.9,0.389,3.7,5.0,0.742,9.6,1.2,3.1,13.7,
25.0,Phil Jordon,26.0,CIN,C,75.0,27.5,5.1,12.9,0.393,3.2,4.5,0.716,8.3,2.8,3.0,13.4,
26.0,Hal Greer,23.0,SYR,SG,70.0,28.3,5.5,11.6,0.476,2.1,2.7,0.783,4.3,2.7,3.0,13.2,
28.0,Hot Rod Hundley,25.0,MNL,PG,73.0,31.2,5.0,14.0,0.358,2.8,3.7,0.744,5.3,4.6,2.7,12.8,AS
29.0,Charlie Tyra,24.0,NYK,C,74.0,27.5,5.5,12.9,0.426,1.8,2.6,0.704,8.1,1.1,3.5,12.8,
31.0,Larry Foust,31.0,2TM,C,72.0,27.3,4.3,10.6,0.407,3.5,4.4,0.791,8.6,1.3,3.3,12.2,
32.0,Dick Garmaker,27.0,2TM,,70.0,27.6,4.6,11.6,0.396,2.9,3.8,0.772,4.5,2.9,2.7,12.1,AS
33.0,Sam Jones,26.0,BOS,SG,74.0,20.4,4.8,10.6,0.454,2.3,3.0,0.764,5.1,1.7,1.4,11.9,
34.0,Guy Rodgers,24.0,PHW,PG,68.0,36.5,5.0,12.8,0.389,1.6,2.7,0.613,5.8,7.1,2.9,11.6,
36.0,Ed Conlin,26.0,DET,SG,70.0,23.4,4.3,11.9,0.361,2.6,3.4,0.761,4.9,1.8,2.3,11.2,
37.0,Wayne Embry,22.0,CIN,C,73.0,21.8,4.2,9.5,0.439,2.3,4.5,0.514,9.5,1.1,3.1,10.6,
38.0,Bucky Bockhorn,26.0,CIN,SG,75.0,28.0,4.3,10.8,0.398,1.9,2.6,0.747,5.1,3.4,3.3,10.5,
39.0,Win Wilfong,26.0,CIN,PG,72.0,27.7,3.9,10.6,0.37,2.2,2.9,0.778,4.9,3.7,3.2,10.1,
41.0,Woody Sauldsberry,25.0,PHW,PF,71.0,26.0,4.6,13.7,0.334,0.8,1.5,0.534,6.3,1.6,2.9,9.9,
43.0,Hub Reed,23.0,2TM,C,71.0,25.6,3.8,8.5,0.449,1.9,2.6,0.728,8.6,1.0,3.2,9.5,
44.0,Jack George,31.0,NYK,PG,69.0,23.2,3.6,9.4,0.385,2.2,2.9,0.767,2.9,3.5,2.1,9.5,
45.0,Dave Piontek,25.0,2TM,SF,77.0,23.8,3.8,9.5,0.401,1.7,2.6,0.639,6.0,1.5,2.7,9.3,
46.0,Frank Selvy,27.0,2TM,SG,62.0,21.1,3.3,8.4,0.393,2.5,3.4,0.736,2.8,1.8,1.6,9.1,
47.0,Earl Lloyd,31.0,DET,SF,68.0,23.7,3.5,9.8,0.356,1.9,2.4,0.8,4.7,1.3,3.3,8.9,
50.0,Bob Hopkins,25.0,SYR,PF,75.0,21.5,3.4,8.8,0.389,1.8,2.3,0.782,6.2,0.7,2.6,8.7,
51.0,Med Park,26.0,CIN,SG,74.0,25.0,3.1,7.9,0.388,2.6,3.5,0.727,4.1,2.9,2.4,8.7,
52.0,Al Ferrari,26.0,STL,SG,71.0,22.1,3.0,7.4,0.413,2.5,3.2,0.782,2.3,2.6,2.9,8.6,
53.0,Johnny McCarthy,25.0,STL,SG,75.0,31.8,3.2,9.7,0.329,2.0,3.0,0.659,4.0,4.4,3.1,8.4,
56.0,Slick Leonard,27.0,MNL,PG,73.0,28.4,3.2,9.8,0.322,1.9,2.6,0.705,3.4,3.5,2.3,8.2,
57.0,Tom Hawkins,23.0,MNL,SF,69.0,21.3,3.2,8.4,0.38,1.5,2.4,0.646,6.2,0.8,2.7,7.9,
61.0,Mike Farmer,23.0,NYK,SF,67.0,22.9,3.2,8.5,0.373,1.0,1.2,0.843,5.7,0.9,1.9,7.4,
63.0,Dick McGuire,34.0,DET,PG,68.0,21.6,2.6,5.9,0.445,1.8,3.0,0.617,3.9,5.3,1.6,7.1,
70.0,Slater Martin,34.0,STL,PG,64.0,27.4,2.2,6.0,0.371,1.8,2.4,0.729,2.9,5.2,2.7,6.2,
