Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Trp-Dbl,Awards
24.0,Dave Bing,30.0,DET,PG,81.0,,3124.0,7.185185185185185,16.493827160493826,0.436,4.395061728395062,5.407407407407407,0.813,108.0,173.0,281.0,555.0,109.0,17.0,216.0,18.765432098765434,0.0,"MVP-11,AS,NBA2"
25.0,Dave Cowens,25.0,BOS,C,80.0,,3352.0,8.0625,18.4375,0.437,2.85,3.425,0.832,264.0,993.0,1257.0,354.0,95.0,101.0,294.0,18.975,2.0,"MVP-4,AS"
26.0,Jo Jo White,27.0,BOS,PG,82.0,,3238.0,7.914634146341464,17.621951219512194,0.449,2.317073170731707,2.768292682926829,0.837,100.0,251.0,351.0,448.0,105.0,25.0,185.0,18.146341463414632,0.0,AS
27.0,Jimmy Walker,29.0,2TM,SG,75.0,,2958.0,7.76,16.533333333333335,0.469,3.64,4.44,0.82,39.0,165.0,204.0,307.0,81.0,9.0,170.0,19.16,0.0,
28.0,Mike Newlin,25.0,HOU,SG,76.0,,2591.0,6.7105263157894735,14.986842105263158,0.448,5.0,5.842105263157895,0.856,77.0,185.0,262.0,363.0,87.0,9.0,259.0,18.42105263157895,0.0,
29.0,Dick Van Arsdale,30.0,PHO,SG,78.0,,2832.0,6.589743589743589,13.179487179487179,0.5,4.628205128205129,5.423076923076923,0.853,66.0,155.0,221.0,324.0,96.0,17.0,241.0,17.807692307692307,0.0,
30.0,Neal Walk,25.0,PHO,C,82.0,,2549.0,6.987804878048781,15.182926829268293,0.46,2.8658536585365852,3.6219512195121952,0.791,235.0,602.0,837.0,331.0,73.0,57.0,255.0,16.841463414634145,0.0,
31.0,Fred Brown,25.0,SEA,SG,82.0,,2501.0,7.048780487804878,14.951219512195122,0.471,2.3780487804878048,2.7560975609756095,0.863,114.0,287.0,401.0,414.0,136.0,18.0,276.0,16.475609756097562,0.0,
32.0,Bob Dandridge,26.0,MIL,SF,71.0,,2521.0,8.211267605633802,16.309859154929576,0.503,2.464788732394366,3.0140845070422535,0.818,117.0,362.0,479.0,201.0,111.0,41.0,271.0,18.887323943661972,0.0,
33.0,Dick Snyder,29.0,SEA,SG,74.0,,2670.0,7.72972972972973,16.06756756756757,0.481,2.6216216216216215,3.027027027027027,0.866,90.0,216.0,306.0,265.0,90.0,26.0,257.0,18.08108108108108,0.0,
35.0,Mike Riordan,28.0,CAP,SF,81.0,,3230.0,7.1234567901234565,15.098765432098766,0.472,1.6790123456790123,2.1481481481481484,0.782,120.0,260.0,380.0,264.0,102.0,14.0,237.0,15.925925925925926,0.0,
36.0,Dave DeBusschere,33.0,NYK,PF,71.0,71.0,2699.0,7.873239436619718,17.070422535211268,0.461,2.3098591549295775,3.056338028169014,0.756,134.0,623.0,757.0,253.0,67.0,39.0,222.0,18.056338028169016,0.0,"MVP-11,AS"
37.0,Nate Williams,23.0,KCO,SF,82.0,,2513.0,6.560975609756097,14.207317073170731,0.462,2.3536585365853657,2.8780487804878048,0.818,118.0,226.0,344.0,182.0,149.0,34.0,290.0,15.475609756097562,0.0,
