Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
1.0,Latrell Sprewell,23.0,GSW,SG,82.0,82.0,3533.0,8.4,19.4,0.433,1.9,5.4,0.361,6.5,14.1,0.46,0.482,4.8,6.3,0.774,1.1,4.4,5.5,5.3,2.5,1.0,3.1,2.2,23.6,108.0,107.0,"MVP-11,AS,NBA1"
2.0,Karl Malone,30.0,UTA,PF,82.0,82.0,3329.0,12.0,24.0,0.497,0.1,0.5,0.25,11.8,23.5,0.503,0.5,7.9,11.4,0.694,3.6,10.9,14.6,5.1,1.9,2.0,3.6,4.1,31.9,111.0,100.0,"MVP-7,AS,NBA1"
3.0,Hakeem Olajuwon,31.0,HOU,C,80.0,80.0,3277.0,13.8,26.1,0.528,0.1,0.3,0.421,13.7,25.8,0.529,0.53,6.0,8.4,0.716,3.5,11.2,14.7,4.4,2.0,4.6,4.2,4.5,33.7,109.0,95.0,"MVP-1,DPOY-1,AS,NBA1"
4.0,David Robinson,28.0,SAS,C,80.0,80.0,3241.0,13.8,27.2,0.507,0.2,0.5,0.345,13.6,26.8,0.51,0.51,11.4,15.2,0.749,4.0,10.1,14.1,6.3,2.3,4.4,4.2,3.7,39.2,119.0,98.0,"MVP-2,DPOY-2,AS,NBA2"
5.0,Shaquille O'Neal,21.0,ORL,C,81.0,81.0,3224.0,14.9,24.9,0.599,0.0,0.0,0.0,14.9,24.9,0.6,0.599,7.4,13.3,0.554,6.0,10.8,16.8,3.1,1.2,3.6,3.5,4.4,37.2,120.0,102.0,"MVP-4,AS,NBA3"
6.0,Dan Majerle,28.0,PHO,SG,80.0,76.0,3207.0,7.4,17.6,0.418,3.0,7.8,0.382,4.4,9.8,0.447,0.503,2.7,3.7,0.739,1.9,3.5,5.4,4.3,2.0,0.7,2.1,2.4,20.4,113.0,109.0,
7.0,Clarence Weatherspoon,23.0,PHI,SF,82.0,82.0,3147.0,9.6,19.9,0.483,0.1,0.3,0.235,9.5,19.6,0.487,0.485,4.8,6.9,0.693,4.0,9.2,13.3,3.1,1.6,1.8,3.1,2.4,24.0,105.0,107.0,
8.0,Kenny Anderson,23.0,NJN,PG,82.0,82.0,3135.0,9.2,22.1,0.417,0.6,2.1,0.303,8.6,20.0,0.429,0.432,5.5,6.8,0.818,1.4,3.7,5.2,12.6,2.5,0.2,4.3,3.2,24.6,106.0,106.0,AS
9.0,Jim Jackson,23.0,DAL,SG,82.0,82.0,3066.0,10.6,23.7,0.445,0.3,1.0,0.283,10.3,22.7,0.452,0.451,4.7,5.7,0.821,2.8,3.6,6.4,6.2,1.4,0.4,5.5,2.7,26.1,97.0,113.0,
10.0,Anfernee Hardaway,22.0,ORL,PG,82.0,82.0,3015.0,8.5,18.3,0.466,0.8,3.1,0.267,7.7,15.1,0.507,0.489,4.1,5.5,0.742,3.2,4.1,7.3,9.1,3.2,0.9,4.9,3.4,22.0,107.0,106.0,ROY-2
11.0,Glen Rice,26.0,MIA,SF,81.0,81.0,2999.0,11.3,24.2,0.467,2.3,5.9,0.382,9.1,18.3,0.494,0.513,4.3,4.8,0.88,1.3,6.1,7.4,3.1,1.9,0.5,2.2,3.2,29.1,116.0,107.0,
12.0,Dennis Rodman,32.0,SAS,PF,79.0,51.0,2989.0,2.8,5.2,0.534,0.1,0.4,0.208,2.7,4.8,0.563,0.543,0.9,1.8,0.52,8.1,16.3,24.4,3.3,0.9,0.6,2.5,4.1,6.6,116.0,100.0,"MVP-11,DPOY-6,6MOY-6"
13.0,Patrick Ewing,31.0,NYK,C,79.0,79.0,2972.0,13.0,26.1,0.496,0.1,0.2,0.286,12.9,25.9,0.498,0.497,7.7,10.1,0.765,3.8,11.6,15.4,3.1,1.6,3.8,4.5,4.8,33.7,108.0,93.0,"MVP-5,AS"
14.0,John Stockton,31.0,UTA,PG,82.0,82.0,2969.0,8.0,15.1,0.528,0.8,2.6,0.322,7.1,12.5,0.57,0.555,4.7,5.9,0.805,1.2,3.2,4.5,17.9,3.5,0.4,4.6,4.1,21.5,121.0,104.0,"MVP-11,AS,NBA1"
15.0,Charles Oakley,30.0,NYK,PF,82.0,82.0,2932.0,6.4,13.4,0.478,0.0,0.1,0.0,6.4,13.3,0.48,0.478,4.3,5.5,0.776,6.2,10.9,17.0,3.8,1.9,0.3,3.4,5.2,17.1,110.0,96.0,"DPOY-9,AS"
16.0,Mookie Blaylock,26.0,ATL,PG,81.0,81.0,2915.0,7.8,18.9,0.411,2.0,6.0,0.334,5.8,12.9,0.447,0.464,2.0,2.8,0.73,2.0,5.4,7.4,13.8,3.7,0.8,3.4,2.5,19.5,111.0,100.0,"MVP-11,DPOY-7,AS"
17.0,Otis Thorpe,31.0,HOU,PF,82.0,82.0,2909.0,7.8,13.9,0.561,0.0,0.0,0.0,7.8,13.9,0.562,0.561,4.4,6.6,0.657,4.7,10.4,15.1,3.3,1.1,0.5,3.2,4.4,20.0,113.0,101.0,
18.0,Mitch Richmond,28.0,SAC,SG,78.0,78.0,2897.0,10.8,24.3,0.445,2.2,5.3,0.407,8.6,19.0,0.455,0.489,7.2,8.7,0.834,1.2,3.7,4.9,5.3,1.8,0.3,3.7,3.6,31.0,109.0,111.0,"AS,NBA2"
19.0,Jamal Mashburn,21.0,DAL,SF,79.0,73.0,2896.0,9.8,24.2,0.406,1.5,5.2,0.284,8.4,19.0,0.44,0.437,5.4,7.7,0.699,1.9,4.3,6.2,4.7,1.6,0.2,4.3,3.6,26.5,97.0,112.0,ROY-3
20.0,Rod Strickland,27.0,POR,PG,82.0,58.0,2889.0,8.9,18.4,0.483,0.0,0.2,0.2,8.8,18.2,0.486,0.484,5.9,7.9,0.749,2.1,4.2,6.2,12.4,2.5,0.4,4.3,2.9,23.7,113.0,106.0,
21.0,Gary Payton,25.0,SEA,PG,82.0,82.0,2881.0,10.2,20.3,0.504,0.3,0.9,0.278,10.0,19.4,0.515,0.51,2.9,4.9,0.595,1.8,2.9,4.7,8.7,3.3,0.3,3.0,4.0,23.6,111.0,103.0,"MVP-6,DPOY-5,AS,NBA3"
22.0,Kevin Willis,31.0,ATL,PF,80.0,80.0,2867.0,11.1,22.3,0.499,0.2,0.4,0.375,11.0,21.9,0.501,0.502,4.8,6.7,0.713,6.0,11.2,17.1,2.7,1.4,0.7,3.3,4.4,27.2,110.0,100.0,MVP-11
23.0,Dee Brown,25.0,BOS,SG,77.0,76.0,2867.0,8.6,17.9,0.48,0.5,1.7,0.313,8.1,16.2,0.497,0.495,3.2,3.8,0.831,1.1,4.1,5.3,6.1,2.7,0.8,2.2,3.6,20.9,111.0,108.0,
24.0,Ron Harper,30.0,LAC,SG,75.0,75.0,2856.0,9.6,22.5,0.426,1.2,4.0,0.301,8.4,18.5,0.453,0.453,5.0,7.1,0.715,2.2,5.6,7.8,5.8,2.4,0.9,4.1,2.8,25.4,99.0,108.0,
25.0,Dikembe Mutombo,27.0,DEN,C,82.0,82.0,2853.0,6.4,11.2,0.569,0.0,0.0,0.0,6.4,11.2,0.569,0.569,4.5,7.7,0.583,5.0,12.0,17.0,2.2,1.0,5.9,3.6,4.6,17.3,108.0,96.0,DPOY-3
