Rk,Player,Age,Team,Pos,G,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Trp-Dbl,Awards
1.0,Neil Johnston,23.0,PHW,C,70.0,3166.0,7.2,15.914285714285715,0.452,7.942857142857143,11.342857142857143,0.7,976.0,197.0,248.0,22.34285714285714,0.0,"AS,NBA1"
2.0,George Mikan,28.0,MNL,C,70.0,2651.0,7.142857142857143,17.885714285714286,0.399,6.314285714285714,8.1,0.78,1007.0,201.0,290.0,20.6,0.0,"AS,NBA1"
3.0,Bob Cousy,24.0,BOS,PG,71.0,2945.0,6.535211267605634,18.591549295774648,0.352,6.746478873239437,8.267605633802816,0.816,449.0,547.0,227.0,19.816901408450704,5.0,"AS,NBA1"
4.0,Ed Macauley,24.0,BOS,C,69.0,2902.0,6.536231884057971,14.44927536231884,0.452,7.246376811594203,9.666666666666666,0.75,629.0,280.0,188.0,20.318840579710145,0.0,"AS,NBA1"
5.0,Dolph Schayes,24.0,SYR,PF,71.0,2668.0,5.28169014084507,14.112676056338028,0.374,7.211267605633803,8.71830985915493,0.827,920.0,227.0,271.0,17.774647887323944,0.0,"AS,NBA1"
6.0,Bill Sharman,26.0,BOS,SG,71.0,2333.0,5.676056338028169,13.028169014084508,0.436,4.802816901408451,5.647887323943662,0.85,288.0,191.0,240.0,16.154929577464788,0.0,"AS,NBA2"
7.0,Jack Nichols,26.0,MLH,PF,69.0,2626.0,6.159420289855072,16.956521739130434,0.363,3.4782608695652173,4.913043478260869,0.708,533.0,196.0,237.0,15.797101449275363,0.0,
8.0,Vern Mikkelsen,24.0,MNL,PF,70.0,2465.0,5.4,12.4,0.435,4.1571428571428575,5.5285714285714285,0.752,654.0,148.0,289.0,14.957142857142857,0.0,"AS,NBA2"
9.0,Bob Davies,33.0,ROC,PG,66.0,2216.0,5.136363636363637,13.333333333333334,0.385,5.318181818181818,7.0606060606060606,0.753,195.0,280.0,261.0,15.590909090909092,0.0,"AS,NBA2"
10.0,Bobby Wanzer,31.0,ROC,SG,70.0,2577.0,4.542857142857143,12.371428571428572,0.367,5.485714285714286,6.757142857142857,0.812,351.0,252.0,206.0,14.571428571428571,0.0,"AS,NBA2"
11.0,Carl Braun,25.0,NYK,SG,70.0,2316.0,4.614285714285714,11.528571428571428,0.4,4.728571428571429,5.728571428571429,0.825,233.0,243.0,287.0,13.957142857142857,0.0,AS
12.0,Leo Barnhorst,28.0,INO,SF,71.0,2871.0,5.661971830985915,14.56338028169014,0.389,2.295774647887324,3.647887323943662,0.629,483.0,277.0,245.0,13.619718309859154,0.0,AS
13.0,Larry Foust,24.0,FTW,C,67.0,2303.0,4.641791044776119,12.91044776119403,0.36,5.014925373134329,6.940298507462686,0.723,769.0,151.0,267.0,14.298507462686567,0.0,AS
14.0,Paul Seymour,25.0,SYR,SG,67.0,2684.0,4.567164179104478,11.91044776119403,0.383,5.074626865671642,6.208955223880597,0.817,246.0,294.0,210.0,14.208955223880597,0.0,AS
15.0,Don Barksdale,29.0,BLB,PF,65.0,2298.0,4.938461538461539,12.753846153846155,0.387,3.953846153846154,6.1692307692307695,0.641,597.0,166.0,273.0,13.830769230769231,0.0,AS
