Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
1.0,Chris Mullin,28.0,GSW,SF,81.0,81.0,3346.0,11.5,22.0,0.524,0.9,2.4,0.366,10.6,19.5,0.544,0.544,4.9,5.8,0.833,1.8,4.5,6.2,4.0,2.4,0.9,2.8,2.4,28.8,118.0,110.0,"MVP-6,AS,NBA1"
2.0,Tim Hardaway,25.0,GSW,PG,81.0,81.0,3332.0,10.2,22.2,0.461,1.8,5.2,0.338,8.5,16.9,0.499,0.501,4.2,5.4,0.766,1.1,3.2,4.3,11.2,2.3,0.2,3.7,2.9,26.4,114.0,112.0,"MVP-8,AS,NBA2"
3.0,Dennis Rodman,30.0,DET,PF,82.0,80.0,3301.0,5.4,10.1,0.539,0.5,1.6,0.317,4.9,8.5,0.581,0.564,1.3,2.2,0.6,8.3,16.0,24.3,3.0,1.1,1.1,2.2,3.9,12.7,121.0,99.0,"MVP-10,DPOY-2,AS,NBA3"
4.0,Joe Dumars,28.0,DET,SG,82.0,82.0,3192.0,9.6,21.5,0.448,0.8,2.0,0.408,8.8,19.6,0.452,0.466,6.8,7.8,0.867,1.3,1.7,3.1,6.2,1.2,0.2,3.2,2.4,26.8,113.0,110.0,"DPOY-5,AS"
5.0,Scottie Pippen,26.0,CHI,SF,82.0,82.0,3164.0,11.0,21.8,0.506,0.3,1.3,0.2,10.8,20.6,0.525,0.511,5.3,7.0,0.76,3.0,7.2,10.1,9.2,2.5,1.5,4.1,3.9,27.6,114.0,102.0,"MVP-9,DPOY-3,AS,NBA2"
6.0,Patrick Ewing,29.0,NYK,C,82.0,82.0,3150.0,13.0,25.0,0.522,0.0,0.1,0.167,13.0,24.9,0.523,0.522,6.2,8.4,0.738,3.7,11.4,15.1,2.6,1.4,4.0,3.4,4.5,32.3,112.0,98.0,"MVP-5,AS,NBA2"
7.0,Ron Harper,28.0,LAC,SG,82.0,82.0,3144.0,9.0,20.4,0.44,1.0,3.3,0.303,8.0,17.1,0.467,0.465,4.6,6.3,0.736,1.9,5.2,7.1,6.6,2.4,1.1,4.0,3.1,23.6,102.0,105.0,
8.0,Sean Elliott,23.0,SAS,SF,82.0,82.0,3120.0,8.2,16.6,0.494,0.4,1.3,0.305,7.8,15.3,0.51,0.506,4.6,5.3,0.861,2.3,4.7,7.0,3.4,1.3,0.5,2.4,2.4,21.4,115.0,108.0,
9.0,Reggie Miller,26.0,IND,SG,82.0,82.0,3120.0,8.7,17.4,0.501,2.0,5.3,0.378,6.7,12.1,0.555,0.559,6.9,8.0,0.858,1.3,3.7,4.9,4.9,1.6,0.4,2.4,3.3,26.3,125.0,112.0,
10.0,Michael Jordan,28.0,CHI,SG,80.0,80.0,3102.0,15.5,29.8,0.519,0.4,1.6,0.27,15.0,28.2,0.533,0.526,8.0,9.7,0.832,1.5,6.9,8.4,8.0,3.0,1.2,3.3,3.3,39.4,121.0,102.0,"MVP-1,DPOY-3,AS,NBA1"
11.0,Mitch Richmond,26.0,SAC,SG,80.0,80.0,3095.0,10.7,22.8,0.468,1.6,4.2,0.384,9.1,18.6,0.486,0.503,5.1,6.3,0.813,1.0,4.0,5.0,6.4,1.4,0.5,3.8,3.6,28.1,107.0,113.0,
12.0,Jeff Hornacek,28.0,PHO,SG,81.0,81.0,3078.0,10.0,19.5,0.512,1.3,3.0,0.439,8.7,16.5,0.525,0.546,4.4,4.9,0.886,1.7,4.7,6.4,6.5,2.5,0.5,2.7,3.4,25.6,120.0,107.0,AS
13.0,Reggie Lewis,26.0,BOS,SG,82.0,82.0,3070.0,11.5,22.8,0.503,0.1,0.3,0.238,11.4,22.5,0.507,0.505,4.8,5.6,0.851,1.9,4.5,6.4,3.0,2.0,1.7,2.2,4.2,27.8,113.0,107.0,AS
14.0,Sedale Threatt,30.0,LAL,PG,82.0,82.0,3070.0,8.6,17.6,0.489,0.3,1.0,0.323,8.3,16.6,0.499,0.499,3.4,4.1,0.831,0.7,3.6,4.3,10.0,2.8,0.3,3.1,3.9,21.0,112.0,110.0,
15.0,Grant Long,25.0,MIA,PF,82.0,82.0,3063.0,7.1,14.3,0.494,0.1,0.4,0.273,7.0,13.9,0.5,0.498,5.2,6.5,0.807,4.2,6.9,11.1,3.6,2.2,0.6,3.0,4.0,19.4,115.0,109.0,
16.0,Otis Thorpe,29.0,HOU,PF,82.0,82.0,3056.0,9.2,15.6,0.592,0.0,0.1,0.0,9.2,15.5,0.596,0.592,5.0,7.6,0.657,4.7,9.5,14.2,4.1,0.9,0.6,3.9,5.1,23.5,115.0,108.0,AS
