Rk,Player,Age,Team,Pos,G,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards
1.0,Neil Johnston,23.0,PHW,C,70.0,45.2,7.2,15.9,0.452,7.9,11.3,0.7,13.9,2.8,3.5,22.3,"AS,NBA1"
2.0,George Mikan,28.0,MNL,C,70.0,37.9,7.1,17.9,0.399,6.3,8.1,0.78,14.4,2.9,4.1,20.6,"AS,NBA1"
3.0,Ed Macauley,24.0,BOS,C,69.0,42.1,6.5,14.4,0.452,7.2,9.7,0.75,9.1,4.1,2.7,20.3,"AS,NBA1"
4.0,Bob Cousy,24.0,BOS,PG,71.0,41.5,6.5,18.6,0.352,6.7,8.3,0.816,6.3,7.7,3.2,19.8,"AS,NBA1"
5.0,Dolph Schayes,24.0,SYR,PF,71.0,37.6,5.3,14.1,0.374,7.2,8.7,0.827,13.0,3.2,3.8,17.8,"AS,NBA1"
6.0,Bill Sharman,26.0,BOS,SG,71.0,32.9,5.7,13.0,0.436,4.8,5.6,0.85,4.1,2.7,3.4,16.2,"AS,NBA2"
7.0,Jack Nichols,26.0,MLH,PF,69.0,38.1,6.2,17.0,0.363,3.5,4.9,0.708,7.7,2.8,3.4,15.8,
8.0,Bob Davies,33.0,ROC,PG,66.0,33.6,5.1,13.3,0.385,5.3,7.1,0.753,3.0,4.2,4.0,15.6,"AS,NBA2"
9.0,Vern Mikkelsen,24.0,MNL,PF,70.0,35.2,5.4,12.4,0.435,4.2,5.5,0.752,9.3,2.1,4.1,15.0,"AS,NBA2"
10.0,Bobby Wanzer,31.0,ROC,SG,70.0,36.8,4.5,12.4,0.367,5.5,6.8,0.812,5.0,3.6,2.9,14.6,"AS,NBA2"
11.0,Larry Foust,24.0,FTW,C,67.0,34.4,4.6,12.9,0.36,5.0,6.9,0.723,11.5,2.3,4.0,14.3,AS
12.0,Paul Seymour,25.0,SYR,SG,67.0,40.1,4.6,11.9,0.383,5.1,6.2,0.817,3.7,4.4,3.1,14.2,AS
13.0,Carl Braun,25.0,NYK,SG,70.0,33.1,4.6,11.5,0.4,4.7,5.7,0.825,3.3,3.5,4.1,14.0,AS
14.0,Don Barksdale,29.0,BLB,PF,65.0,35.4,4.9,12.8,0.387,4.0,6.2,0.641,9.2,2.6,4.2,13.8,AS
15.0,Leo Barnhorst,28.0,INO,SF,71.0,40.4,5.7,14.6,0.389,2.3,3.6,0.629,6.8,3.9,3.5,13.6,AS
16.0,Fred Scolari,30.0,2TM,PG,62.0,34.2,4.5,13.0,0.342,4.5,5.3,0.844,3.4,3.8,3.4,13.4,AS
17.0,Joe Graboski,23.0,INO,C,69.0,40.1,3.9,11.6,0.34,5.1,7.4,0.682,10.0,2.3,4.4,13.0,
18.0,Jim Pollard,30.0,MNL,SF,66.0,36.4,5.0,14.1,0.357,2.9,3.8,0.769,6.8,3.5,2.9,13.0,
19.0,Arnie Risen,28.0,ROC,C,68.0,33.6,4.3,11.8,0.368,4.3,6.3,0.685,11.0,2.0,4.0,13.0,AS
20.0,Harry Gallatin,25.0,NYK,PF,70.0,33.3,4.0,9.1,0.444,4.3,6.1,0.7,13.1,1.8,3.2,12.4,AS
21.0,Ernie Vandeweghe,24.0,NYK,SG,61.0,28.6,4.5,10.2,0.435,3.1,4.0,0.766,5.6,2.4,4.0,12.0,
23.0,Joe Fulks,31.0,PHW,PF,70.0,29.8,4.7,13.7,0.346,2.4,3.3,0.727,5.5,2.0,4.6,11.9,
26.0,Mel Hutchins,24.0,MLH,C,71.0,40.7,4.5,11.9,0.379,2.7,4.2,0.654,11.2,3.2,3.0,11.7,AS
27.0,Bill Tosheff,26.0,INO,PG,67.0,36.7,3.8,11.7,0.323,3.8,4.7,0.806,3.4,3.6,3.6,11.3,
28.0,George King,24.0,SYR,PG,71.0,35.5,3.6,8.9,0.402,4.0,6.2,0.643,4.0,5.1,3.4,11.2,
29.0,Red Rocha,29.0,SYR,C,69.0,35.6,3.9,10.0,0.388,3.4,4.5,0.755,7.4,2.0,3.7,11.2,
30.0,Connie Simmons,27.0,NYK,C,65.0,26.3,3.7,9.8,0.377,3.8,5.2,0.732,7.0,2.0,3.9,11.2,
31.0,Jack Coleman,28.0,ROC,PF,70.0,37.5,4.5,10.7,0.42,1.9,3.0,0.649,11.1,3.3,3.5,10.9,
32.0,Frankie Brian,29.0,FTW,SG,68.0,28.1,3.6,10.3,0.351,3.5,4.4,0.795,2.0,2.1,3.0,10.7,
33.0,Monk Meineke,22.0,FTW,PF,68.0,33.1,3.5,9.3,0.381,3.6,4.6,0.783,6.9,2.2,4.9,10.7,ROY-1
34.0,Paul Walther,25.0,INO,SG,67.0,36.8,3.4,9.6,0.352,3.9,5.3,0.746,4.2,3.1,3.9,10.7,
35.0,Nat Clifton,30.0,NYK,PF,70.0,35.7,3.9,11.3,0.343,2.9,4.9,0.583,10.9,3.3,3.9,10.6,
36.0,Slater Martin,27.0,MNL,PG,70.0,36.5,3.7,9.1,0.41,3.2,4.1,0.78,2.7,3.6,3.5,10.6,AS
37.0,Eddie Miller,21.0,2TM,C,70.0,28.8,3.9,11.2,0.35,2.7,4.1,0.652,9.6,1.6,3.6,10.5,
38.0,Fred Schaus,27.0,FTW,SF,69.0,36.8,3.5,10.4,0.334,3.5,4.3,0.821,6.0,3.6,3.8,10.5,
39.0,Andy Phillip,30.0,2TM,SG,70.0,38.4,3.6,9.0,0.397,3.2,4.3,0.738,5.2,5.7,3.3,10.3,"AS,NBA2"
40.0,Jim Baechtold,25.0,BLB,SF,64.0,29.6,3.8,9.7,0.39,2.8,3.8,0.738,3.4,2.4,3.2,10.3,
41.0,Vince Boryla,25.0,NYK,SF,66.0,33.3,3.8,10.4,0.37,2.5,3.0,0.821,3.5,2.5,3.4,10.2,
42.0,Paul Hoffman,27.0,BLB,SG,69.0,28.3,3.5,9.5,0.366,3.2,5.0,0.655,4.6,3.4,4.1,10.2,
44.0,Odie Spears,28.0,ROC,SF,62.0,22.8,3.2,8.0,0.401,3.2,3.9,0.819,4.0,1.8,3.7,9.6,
45.0,George Ratkovicz,30.0,2TM,PF,71.0,31.5,2.9,8.7,0.336,3.7,5.3,0.702,7.4,3.1,4.0,9.5,
47.0,Bill Calhoun,25.0,2TM,SF,62.0,34.6,2.9,8.6,0.337,3.4,4.7,0.723,4.5,2.5,2.2,9.2,
49.0,Dike Eddleman,30.0,FTW,SF,69.0,22.8,3.5,10.0,0.351,1.9,3.4,0.561,3.4,1.5,3.2,8.9,
50.0,Bob Lavoy,26.0,INO,PF,70.0,33.2,3.2,8.0,0.402,2.4,3.5,0.694,7.5,1.9,3.9,8.8,
51.0,Don Henriksen,23.0,BLB,C,68.0,33.3,2.9,7.0,0.419,2.6,4.1,0.626,7.4,1.9,3.6,8.4,
52.0,Arnie Johnson,32.0,ROC,SF,70.0,28.3,2.0,5.3,0.379,4.3,5.8,0.748,6.0,2.2,4.0,8.3,
53.0,Stan Miasek,29.0,2TM,SF,65.0,24.4,2.7,7.5,0.365,2.4,3.8,0.629,5.5,1.9,3.5,7.9,
55.0,Bob Harris,25.0,BOS,SF,70.0,28.2,2.7,6.6,0.418,1.9,3.2,0.588,6.9,1.4,3.4,7.4,
56.0,Earl Lloyd,24.0,SYR,SF,64.0,28.2,2.4,7.1,0.344,2.5,3.6,0.693,6.9,1.0,3.8,7.4,
57.0,Don Lofgran,23.0,PHW,SF,64.0,27.9,2.7,8.2,0.33,2.0,2.7,0.728,5.3,1.7,2.8,7.4,
58.0,Pep Saul,28.0,MNL,SG,70.0,25.7,2.7,6.7,0.397,2.0,2.9,0.71,2.0,1.6,2.5,7.4,
59.0,Dick McGuire,27.0,NYK,PG,61.0,29.2,2.3,6.1,0.381,2.5,4.4,0.569,4.6,4.9,2.8,7.2,
60.0,Jack McMahon,24.0,ROC,PG,70.0,23.8,2.5,7.6,0.33,2.2,3.4,0.657,2.6,2.7,3.6,7.2,
61.0,Bob Harrison,25.0,MNL,SG,70.0,23.5,2.8,7.4,0.376,1.5,2.4,0.648,2.2,2.3,3.8,7.1,
62.0,Mel Payton,26.0,INO,SF,66.0,21.6,2.6,7.3,0.357,1.8,2.4,0.745,4.7,1.2,1.8,7.1,
63.0,Dave Minor,30.0,2TM,PG,59.0,27.3,2.6,7.1,0.367,1.7,2.2,0.742,4.3,2.2,3.6,6.9,
64.0,Bob Brannum,26.0,BOS,PF,71.0,26.8,2.6,7.6,0.348,1.5,2.6,0.595,7.6,2.1,4.0,6.8,
65.0,Don Boven,27.0,3TM,,67.0,20.5,2.3,6.4,0.358,2.2,3.1,0.694,3.2,1.2,3.4,6.7,
66.0,Chuck Cooper,26.0,BOS,SF,70.0,28.5,2.2,6.7,0.337,2.1,2.7,0.758,6.3,1.6,3.7,6.5,
67.0,Bob Donham,26.0,BOS,SG,71.0,20.2,2.4,5.0,0.479,1.6,3.4,0.471,3.4,2.2,3.0,6.4,
68.0,Johnny Payak,26.0,MLH,SG,68.0,21.6,1.9,5.5,0.343,2.6,3.6,0.726,1.7,2.1,2.9,6.4,
73.0,George Senesky,30.0,PHW,PG,69.0,33.9,2.3,7.0,0.33,1.3,2.1,0.637,3.7,3.8,2.4,6.0,
77.0,Al Masino,24.0,MLH,PG,72.0,24.6,1.9,5.6,0.335,1.8,2.8,0.627,2.5,2.2,3.5,5.5,
91.0,Jack Kerris,28.0,2TM,PF,69.0,20.6,1.3,3.7,0.363,1.3,2.0,0.629,4.3,2.3,2.4,4.0,
