Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Trp-Dbl,Awards
27.0,Calvin Murphy,23.0,HOU,PG,82.0,,2538.0,6.963414634146342,15.304878048780488,0.455,4.2560975609756095,4.780487804878049,0.89,258.0,393.0,298.0,18.182926829268293,0.0,
28.0,Dave Cowens,23.0,BOS,C,79.0,,3186.0,8.316455696202532,17.17721518987342,0.484,2.2151898734177213,3.0759493670886076,0.72,1203.0,245.0,314.0,18.848101265822784,0.0,"MVP-7,AS"
29.0,Bob Dandridge,24.0,MIL,SF,80.0,,2957.0,7.875,15.8,0.498,2.6875,3.6375,0.739,613.0,249.0,297.0,18.4375,0.0,
30.0,Bob Kauffman,25.0,BUF,PF,77.0,,3205.0,7.246753246753247,14.584415584415584,0.497,4.428571428571429,5.571428571428571,0.795,787.0,297.0,273.0,18.92207792207792,1.0,AS
31.0,Lenny Wilkens,34.0,SEA,PG,80.0,,2989.0,5.9875,12.8375,0.466,6.0,7.75,0.774,338.0,766.0,209.0,17.975,0.0,
32.0,Paul Silas,28.0,PHO,PF,80.0,,3082.0,6.0625,12.8875,0.47,5.4125,7.0,0.773,955.0,343.0,201.0,17.5375,1.0,"MVP-14,AS"
33.0,Tom Van Arsdale,28.0,CIN,SF,73.0,,2598.0,7.534246575342466,16.506849315068493,0.456,4.095890410958904,5.424657534246576,0.755,350.0,198.0,241.0,19.164383561643834,0.0,AS
34.0,John Johnson,24.0,CLE,SF,82.0,,3041.0,6.7926829268292686,15.682926829268293,0.433,3.3780487804878048,4.304878048780488,0.785,631.0,415.0,268.0,16.963414634146343,4.0,AS
35.0,Elmore Smith,22.0,BUF,C,78.0,,3186.0,7.423076923076923,16.346153846153847,0.454,2.4871794871794872,4.653846153846154,0.534,1184.0,111.0,306.0,17.333333333333332,0.0,ROY-2
36.0,Jerry Sloan,29.0,CHI,SG,82.0,81.0,3035.0,6.524390243902439,14.707317073170731,0.444,3.1463414634146343,4.7682926829268295,0.66,691.0,211.0,309.0,16.195121951219512,0.0,MVP-21
37.0,Jerry Lucas,31.0,NYK,C,77.0,68.0,2926.0,7.0519480519480515,13.766233766233766,0.512,2.5584415584415585,3.2337662337662336,0.791,1011.0,318.0,218.0,16.662337662337663,1.0,MVP-13
38.0,Pete Maravich,24.0,ATL,SG,66.0,,2302.0,6.96969696969697,16.318181818181817,0.427,5.378787878787879,6.636363636363637,0.811,256.0,393.0,207.0,19.318181818181817,0.0,MVP-21
39.0,Neal Walk,23.0,PHO,C,81.0,,2142.0,6.246913580246914,13.049382716049383,0.479,3.1604938271604937,4.246913580246914,0.744,665.0,151.0,295.0,15.654320987654321,0.0,
40.0,Clem Haskins,28.0,PHO,PG,79.0,,2453.0,6.443037974683544,13.341772151898734,0.483,2.7848101265822787,3.2658227848101267,0.853,270.0,290.0,194.0,15.670886075949367,0.0,
