Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
1.0,Kevin Durant,25.0,OKC,SF,81.0,81.0,3122.0,10.481481481481481,20.839506172839506,0.503,192.0,491.0,0.391,657.0,1197.0,0.549,0.56,8.679012345679013,9.938271604938272,0.873,58.0,540.0,598.0,445.0,103.0,59.0,285.0,174.0,32.01234567901235,3.0,"MVP-1,AS,NBA1"
2.0,Carmelo Anthony,29.0,NYK,PF,77.0,77.0,2982.0,9.64935064935065,21.337662337662337,0.452,167.0,415.0,0.402,576.0,1228.0,0.469,0.503,5.961038961038961,7.025974025974026,0.848,145.0,477.0,622.0,242.0,95.0,51.0,198.0,224.0,27.428571428571427,0.0,"MVP-15,AS"
3.0,LeBron James,29.0,MIA,PF,77.0,77.0,2902.0,9.96103896103896,17.571428571428573,0.567,116.0,306.0,0.379,651.0,1047.0,0.622,0.61,5.701298701298701,7.597402597402597,0.75,81.0,452.0,533.0,488.0,121.0,26.0,270.0,126.0,27.12987012987013,1.0,"MVP-2,DPOY-6,AS,NBA1"
4.0,Kevin Love,25.0,MIN,PF,77.0,77.0,2797.0,8.441558441558442,18.454545454545453,0.457,190.0,505.0,0.376,460.0,916.0,0.502,0.524,6.753246753246753,8.220779220779221,0.821,224.0,739.0,963.0,341.0,59.0,35.0,196.0,136.0,26.103896103896105,3.0,"MVP-11,AS,NBA2"
5.0,Blake Griffin,24.0,LAC,PF,80.0,80.0,2863.0,8.975,16.9875,0.528,12.0,44.0,0.273,706.0,1315.0,0.537,0.533,6.025,8.425,0.715,192.0,565.0,757.0,309.0,92.0,51.0,224.0,265.0,24.125,1.0,"MVP-3,AS,NBA2"
6.0,Stephen Curry,25.0,GSW,PG,78.0,78.0,2846.0,8.35897435897436,17.73076923076923,0.471,261.0,615.0,0.424,391.0,768.0,0.509,0.566,3.948717948717949,4.461538461538462,0.885,46.0,288.0,334.0,666.0,128.0,14.0,294.0,194.0,24.012820512820515,4.0,"MVP-6,AS,NBA2"
7.0,James Harden,24.0,HOU,SG,73.0,73.0,2777.0,7.52054794520548,16.506849315068493,0.456,177.0,483.0,0.366,372.0,722.0,0.515,0.529,7.890410958904109,9.10958904109589,0.866,61.0,283.0,344.0,446.0,115.0,29.0,265.0,177.0,25.356164383561644,1.0,"MVP-5,AS,NBA1"
8.0,DeMar DeRozan,24.0,TOR,SG,79.0,79.0,3017.0,7.6455696202531644,17.810126582278482,0.429,64.0,210.0,0.305,540.0,1197.0,0.451,0.452,6.569620253164557,7.974683544303797,0.824,51.0,292.0,343.0,313.0,86.0,28.0,176.0,197.0,22.670886075949365,0.0,AS
9.0,Paul George,23.0,IND,SF,80.0,80.0,2898.0,7.2125,17.025,0.424,182.0,500.0,0.364,395.0,862.0,0.458,0.49,5.0125,5.8,0.864,64.0,478.0,542.0,283.0,151.0,22.0,224.0,198.0,21.7125,1.0,"MVP-9,DPOY-7,AS,NBA3"
10.0,Dirk Nowitzki,35.0,DAL,PF,80.0,80.0,2628.0,7.9125,15.9125,0.497,131.0,329.0,0.398,502.0,944.0,0.532,0.549,4.225,4.7,0.899,40.0,458.0,498.0,216.0,73.0,45.0,117.0,165.0,21.6875,0.0,"MVP-14,AS"
11.0,Damian Lillard,23.0,POR,PG,82.0,82.0,2937.0,6.7439024390243905,15.902439024390244,0.424,218.0,554.0,0.394,335.0,750.0,0.447,0.508,4.524390243902439,5.195121951219512,0.871,35.0,253.0,288.0,457.0,64.0,22.0,193.0,197.0,20.670731707317074,0.0,"AS,NBA3"
12.0,DeMarcus Cousins,23.0,SAC,C,71.0,71.0,2298.0,8.32394366197183,16.774647887323944,0.496,0.0,7.0,0.0,591.0,1184.0,0.499,0.496,6.084507042253521,8.380281690140846,0.726,218.0,613.0,831.0,207.0,109.0,91.0,251.0,270.0,22.732394366197184,0.0,
13.0,LaMarcus Aldridge,28.0,POR,PF,69.0,69.0,2498.0,9.44927536231884,20.6231884057971,0.458,3.0,15.0,0.2,649.0,1408.0,0.461,0.459,4.2898550724637685,5.217391304347826,0.822,166.0,599.0,765.0,178.0,63.0,68.0,123.0,147.0,23.231884057971016,0.0,"MVP-10,AS,NBA3"
14.0,Al Jefferson,29.0,CHA,C,73.0,73.0,2553.0,9.58904109589041,18.84931506849315,0.509,3.0,15.0,0.2,697.0,1361.0,0.512,0.51,2.6164383561643834,3.7945205479452055,0.69,156.0,636.0,792.0,155.0,67.0,79.0,124.0,176.0,21.835616438356166,0.0,"MVP-8,NBA3"
15.0,John Wall,23.0,WAS,PG,82.0,82.0,2980.0,7.060975609756097,16.304878048780488,0.433,108.0,308.0,0.351,471.0,1029.0,0.458,0.473,3.8658536585365852,4.804878048780488,0.805,38.0,295.0,333.0,721.0,149.0,40.0,295.0,219.0,19.304878048780488,2.0,AS
16.0,Monta Ellis,28.0,DAL,SG,82.0,82.0,3023.0,7.024390243902439,15.585365853658537,0.451,69.0,209.0,0.33,507.0,1069.0,0.474,0.478,4.134146341463414,5.2439024390243905,0.788,38.0,257.0,295.0,471.0,141.0,23.0,264.0,197.0,19.024390243902438,0.0,
17.0,Goran Dragić,27.0,PHO,SG,76.0,75.0,2668.0,7.2631578947368425,14.381578947368421,0.505,122.0,299.0,0.408,430.0,794.0,0.542,0.561,4.157894736842105,5.473684210526316,0.76,69.0,176.0,245.0,447.0,104.0,22.0,213.0,206.0,20.289473684210527,0.0,"MVP-16,MIP-1,NBA3"
18.0,Klay Thompson,23.0,GSW,SG,81.0,81.0,2868.0,6.901234567901234,15.54320987654321,0.444,223.0,535.0,0.417,336.0,724.0,0.464,0.533,1.8148148148148149,2.2839506172839505,0.795,38.0,211.0,249.0,181.0,74.0,37.0,135.0,234.0,18.37037037037037,0.0,
19.0,Kyrie Irving,21.0,CLE,PG,71.0,71.0,2496.0,7.492957746478873,17.422535211267604,0.43,123.0,344.0,0.358,409.0,893.0,0.458,0.48,4.098591549295775,4.76056338028169,0.861,52.0,207.0,259.0,433.0,108.0,23.0,190.0,163.0,20.816901408450704,1.0,AS
