Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
1.0,James Harden,30.0,HOU,SG,68.0,68.0,2483.0,9.882352941176471,22.264705882352942,0.444,299.0,843.0,0.355,373.0,671.0,0.556,0.543,10.176470588235293,11.764705882352942,0.865,70.0,376.0,446.0,512.0,125.0,60.0,308.0,227.0,34.338235294117645,4.0,"MVP-3,AS,NBA1"
2.0,Damian Lillard,29.0,POR,PG,66.0,66.0,2474.0,9.454545454545455,20.439393939393938,0.463,270.0,674.0,0.401,354.0,675.0,0.524,0.563,6.96969696969697,7.848484848484849,0.888,33.0,251.0,284.0,530.0,70.0,22.0,194.0,114.0,29.96969696969697,1.0,"MVP-8,AS,NBA2"
3.0,Devin Booker,23.0,PHO,SG,70.0,70.0,2512.0,8.957142857142857,18.32857142857143,0.489,141.0,398.0,0.354,486.0,885.0,0.549,0.544,6.685714285714286,7.271428571428571,0.919,29.0,268.0,297.0,456.0,49.0,18.0,264.0,213.0,26.614285714285714,0.0,AS
4.0,Giannis Antetokounmpo,25.0,MIL,PF,63.0,63.0,1917.0,10.873015873015873,19.650793650793652,0.553,89.0,293.0,0.304,596.0,945.0,0.631,0.589,6.317460317460317,9.984126984126984,0.633,140.0,716.0,856.0,354.0,61.0,66.0,230.0,195.0,29.476190476190474,4.0,"MVP-1,DPOY-1,AS,NBA1"
5.0,Trae Young,21.0,ATL,PG,60.0,60.0,2120.0,9.1,20.816666666666666,0.437,205.0,568.0,0.361,341.0,681.0,0.501,0.519,8.016666666666667,9.316666666666666,0.86,32.0,223.0,255.0,560.0,65.0,8.0,289.0,104.0,29.633333333333333,2.0,AS
6.0,Luka Dončić,20.0,DAL,PG,61.0,61.0,2047.0,9.524590163934427,20.57377049180328,0.463,171.0,541.0,0.316,410.0,714.0,0.574,0.531,6.983606557377049,9.21311475409836,0.758,78.0,495.0,573.0,538.0,62.0,14.0,260.0,153.0,28.83606557377049,17.0,"MVP-4,AS,NBA1"
8.0,LeBron James,35.0,LAL,PG,67.0,67.0,2316.0,9.597014925373134,19.44776119402985,0.493,148.0,425.0,0.348,495.0,878.0,0.564,0.55,3.9402985074626864,5.686567164179104,0.693,66.0,459.0,525.0,684.0,78.0,36.0,261.0,118.0,25.34328358208955,13.0,"MVP-2,AS,NBA1"
9.0,Donovan Mitchell,23.0,UTA,SG,69.0,69.0,2364.0,8.72463768115942,19.44927536231884,0.449,173.0,473.0,0.366,429.0,869.0,0.494,0.513,4.028985507246377,4.666666666666667,0.863,53.0,251.0,304.0,294.0,70.0,14.0,184.0,172.0,23.985507246376812,0.0,AS
10.0,Anthony Davis,26.0,LAL,PF,62.0,62.0,2131.0,8.887096774193548,17.677419354838708,0.503,72.0,218.0,0.33,479.0,878.0,0.546,0.536,7.161290322580645,8.46774193548387,0.846,142.0,435.0,577.0,200.0,91.0,143.0,154.0,156.0,26.096774193548388,0.0,"MVP-6,DPOY-2,AS,NBA1"
11.0,CJ McCollum,28.0,POR,SG,70.0,70.0,2556.0,8.728571428571428,19.37142857142857,0.451,194.0,512.0,0.379,417.0,844.0,0.494,0.522,2.0,2.642857142857143,0.757,46.0,251.0,297.0,310.0,54.0,42.0,127.0,183.0,22.228571428571428,0.0,
13.0,Jayson Tatum,21.0,BOS,PF,66.0,66.0,2265.0,8.363636363636363,18.575757575757574,0.45,189.0,469.0,0.403,363.0,757.0,0.48,0.527,3.8484848484848486,4.742424242424242,0.812,64.0,396.0,460.0,200.0,93.0,57.0,155.0,136.0,23.439393939393938,0.0,"MVP-12,AS,NBA3"
15.0,Zach LaVine,24.0,CHI,SF,60.0,60.0,2085.0,8.983333333333333,19.983333333333334,0.45,184.0,484.0,0.38,355.0,715.0,0.497,0.526,4.466666666666667,5.566666666666666,0.802,41.0,248.0,289.0,254.0,88.0,28.0,206.0,131.0,25.5,0.0,
16.0,DeMar DeRozan,30.0,SAS,SF,68.0,68.0,2316.0,8.191176470588236,15.426470588235293,0.531,9.0,35.0,0.257,548.0,1014.0,0.54,0.535,5.602941176470588,6.632352941176471,0.845,44.0,331.0,375.0,380.0,70.0,20.0,164.0,180.0,22.11764705882353,0.0,
17.0,Brandon Ingram,22.0,NOP,PF,62.0,62.0,2104.0,8.17741935483871,17.677419354838708,0.463,150.0,384.0,0.391,357.0,712.0,0.501,0.531,5.048387096774194,5.935483870967742,0.851,51.0,329.0,380.0,259.0,61.0,38.0,189.0,179.0,23.822580645161292,0.0,"MIP-1,AS"
18.0,Nikola Jokić,24.0,DEN,C,73.0,73.0,2336.0,7.739726027397261,14.67123287671233,0.528,80.0,255.0,0.314,485.0,816.0,0.594,0.565,3.3698630136986303,4.123287671232877,0.817,166.0,545.0,711.0,512.0,85.0,44.0,226.0,222.0,19.945205479452056,13.0,"MVP-9,AS,NBA2"
19.0,Tobias Harris,27.0,PHI,PF,72.0,72.0,2469.0,7.680555555555555,16.291666666666668,0.471,131.0,357.0,0.367,422.0,816.0,0.517,0.527,2.4166666666666665,3.0,0.806,69.0,426.0,495.0,227.0,53.0,40.0,104.0,165.0,19.59722222222222,0.0,
20.0,Buddy Hield,27.0,SAC,SG,72.0,44.0,2216.0,6.916666666666667,16.13888888888889,0.429,271.0,688.0,0.394,227.0,474.0,0.479,0.545,1.5972222222222223,1.8888888888888888,0.846,57.0,271.0,328.0,213.0,66.0,17.0,168.0,165.0,19.194444444444443,0.0,
21.0,Pascal Siakam,25.0,TOR,PF,60.0,60.0,2110.0,8.333333333333334,18.4,0.453,131.0,365.0,0.359,369.0,739.0,0.499,0.512,4.0,5.05,0.792,64.0,375.0,439.0,207.0,61.0,53.0,148.0,170.0,22.85,0.0,"MVP-10,AS,NBA2"
22.0,Collin Sexton,21.0,CLE,PG,65.0,65.0,2143.0,7.892307692307693,16.70769230769231,0.472,97.0,255.0,0.38,416.0,831.0,0.501,0.517,3.476923076923077,4.107692307692307,0.846,61.0,143.0,204.0,192.0,65.0,7.0,158.0,142.0,20.753846153846155,0.0,
23.0,Shai Gilgeous-Alexander,21.0,OKC,SG,70.0,70.0,2428.0,6.828571428571428,14.5,0.471,87.0,251.0,0.347,391.0,764.0,0.512,0.514,4.114285714285714,5.1,0.807,47.0,365.0,412.0,232.0,79.0,47.0,134.0,117.0,19.014285714285716,1.0,
24.0,T.J. Warren,26.0,IND,SF,67.0,67.0,2202.0,7.970149253731344,14.880597014925373,0.536,91.0,226.0,0.403,443.0,771.0,0.575,0.581,2.4925373134328357,3.044776119402985,0.819,68.0,212.0,280.0,99.0,78.0,34.0,84.0,187.0,19.791044776119403,0.0,
25.0,Spencer Dinwiddie,26.0,BRK,PG,64.0,49.0,1994.0,6.625,15.953125,0.415,123.0,400.0,0.308,301.0,621.0,0.485,0.476,5.421875,6.96875,0.778,32.0,189.0,221.0,432.0,40.0,21.0,174.0,180.0,20.59375,0.0,
26.0,Khris Middleton,28.0,MIL,SF,62.0,59.0,1853.0,7.596774193548387,15.274193548387096,0.497,147.0,354.0,0.415,324.0,593.0,0.546,0.575,3.3548387096774195,3.661290322580645,0.916,44.0,338.0,382.0,265.0,53.0,7.0,137.0,142.0,20.919354838709676,0.0,AS
27.0,Bojan Bogdanović,30.0,UTA,SF,63.0,63.0,2083.0,6.634920634920635,14.841269841269842,0.447,189.0,457.0,0.414,229.0,478.0,0.479,0.548,3.9682539682539684,4.396825396825397,0.903,39.0,220.0,259.0,131.0,34.0,7.0,159.0,110.0,20.238095238095237,0.0,
28.0,Julius Randle,25.0,NYK,PF,64.0,64.0,2080.0,7.234375,15.71875,0.46,64.0,231.0,0.277,399.0,775.0,0.515,0.492,4.03125,5.5,0.733,151.0,471.0,622.0,198.0,51.0,22.0,193.0,178.0,19.5,0.0,
29.0,Chris Paul,34.0,OKC,PG,70.0,70.0,2208.0,6.2,12.67142857142857,0.489,111.0,304.0,0.365,323.0,583.0,0.554,0.552,3.6142857142857143,3.9857142857142858,0.907,26.0,323.0,349.0,472.0,111.0,11.0,161.0,158.0,17.6,0.0,"MVP-7,AS,NBA2"
30.0,Dennis Schröder,26.0,OKC,PG,65.0,2.0,1999.0,6.969230769230769,14.846153846153847,0.469,125.0,325.0,0.385,328.0,640.0,0.513,0.534,3.046153846153846,3.6307692307692307,0.839,19.0,217.0,236.0,262.0,45.0,14.0,166.0,146.0,18.907692307692308,0.0,6MOY-2
31.0,Evan Fournier,27.0,ORL,SF,66.0,66.0,2076.0,6.575757575757576,14.075757575757576,0.467,173.0,434.0,0.399,261.0,495.0,0.527,0.56,2.727272727272727,3.3333333333333335,0.818,18.0,153.0,171.0,209.0,71.0,15.0,125.0,161.0,18.5,0.0,
32.0,Nikola Vučević,29.0,ORL,C,62.0,62.0,1998.0,7.951612903225806,16.661290322580644,0.477,98.0,289.0,0.339,395.0,744.0,0.531,0.525,2.1129032258064515,2.693548387096774,0.784,140.0,533.0,673.0,222.0,54.0,47.0,88.0,135.0,19.596774193548388,0.0,
