Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Awards
37.0,John Havlicek,36.0,BOS,SF,79.0,,36.9,7.3,16.2,0.452,3.0,3.6,0.816,1.4,3.5,4.8,5.1,1.1,0.2,2.6,17.7,AS
38.0,Jamaal Wilkes,23.0,GSW,PF,76.0,,33.9,7.2,15.1,0.478,3.3,4.1,0.797,2.0,5.6,7.6,2.8,1.7,0.2,2.9,17.7,
39.0,Walt Frazier,31.0,NYK,PG,76.0,67.0,35.4,7.0,14.3,0.489,3.4,4.4,0.771,0.7,3.2,3.9,5.3,1.7,0.1,2.6,17.4,
40.0,Mickey Johnson,24.0,CHI,PF,81.0,81.0,35.1,6.6,14.9,0.446,4.0,5.0,0.796,3.7,6.6,10.2,2.4,1.3,0.8,3.9,17.3,
41.0,Fred Brown,28.0,SEA,SG,72.0,,29.1,7.4,15.5,0.479,2.3,2.6,0.884,0.9,2.3,3.2,2.4,1.7,0.3,1.9,17.2,
42.0,Brian Taylor,25.0,KCK,PG,72.0,,34.6,7.0,13.8,0.504,3.1,3.8,0.818,1.2,2.1,3.3,4.4,2.8,0.2,2.9,17.0,
45.0,Campy Russell,25.0,CLE,SF,70.0,,30.1,6.2,14.3,0.434,4.1,5.3,0.778,2.1,3.9,6.0,2.7,1.0,0.3,2.8,16.5,
47.0,Cazzie Russell,32.0,LAL,SF,82.0,82.0,31.5,7.0,14.4,0.49,2.3,2.7,0.858,1.0,2.5,3.6,2.6,1.0,0.1,2.0,16.4,
48.0,World B. Free,23.0,PHI,SG,78.0,37.0,28.9,6.0,13.1,0.457,4.3,5.9,0.72,1.2,1.8,3.0,3.4,1.0,0.3,2.7,16.3,
49.0,Austin Carr,28.0,CLE,SG,82.0,,29.4,6.8,14.9,0.457,2.6,3.3,0.795,1.5,1.5,2.9,2.7,0.7,0.1,2.7,16.2,
