Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards
1.0,Wilt Chamberlain,28.0,2TM,C,73.0,,45.2,14.6,28.5,0.51,5.6,12.1,0.464,22.9,3.4,2.0,34.7,"MVP-5,AS,NBA2"
2.0,Jerry West,26.0,LAL,PG,74.0,,41.4,11.1,22.4,0.497,8.8,10.7,0.821,6.0,4.9,3.0,31.0,"MVP-3,AS,NBA1"
3.0,Oscar Robertson,26.0,CIN,PG,75.0,,45.6,10.8,22.4,0.48,8.9,10.6,0.839,9.0,11.5,2.7,30.4,"MVP-2,AS,NBA1"
4.0,Elgin Baylor,30.0,LAL,SF,74.0,,41.3,10.3,25.7,0.401,6.5,8.2,0.792,12.8,3.8,3.2,27.1,"AS,NBA1"
5.0,Sam Jones,31.0,BOS,SG,80.0,,36.1,10.3,22.7,0.452,5.4,6.5,0.82,5.1,2.8,2.2,25.9,"MVP-4,AS,NBA2"
6.0,Walt Bellamy,25.0,BAL,C,80.0,,41.3,9.2,18.0,0.509,6.4,9.4,0.685,14.6,2.4,3.3,24.8,AS
8.0,Jerry Lucas,24.0,CIN,PF,66.0,,43.4,8.5,17.0,0.498,4.5,5.5,0.814,20.0,2.4,3.2,21.4,"AS,NBA1"
9.0,Hal Greer,28.0,PHI,SG,70.0,,37.1,7.7,17.8,0.433,4.8,5.9,0.811,5.1,4.5,3.6,20.2,"AS,NBA2"
10.0,Willis Reed,22.0,NYK,C,80.0,80.0,38.0,7.9,18.2,0.432,3.8,5.1,0.742,14.7,1.7,4.2,19.5,"ROY-1,AS"
11.0,Bailey Howell,28.0,BAL,PF,80.0,,37.2,6.4,13.0,0.495,6.3,7.9,0.801,10.9,2.6,4.3,19.2,
12.0,Gus Johnson,26.0,BAL,SF,76.0,,38.1,7.6,18.1,0.418,3.4,5.1,0.676,13.0,3.6,3.4,18.6,"AS,NBA2"
13.0,Don Ohl,28.0,BAL,SG,77.0,,36.6,7.4,16.8,0.438,3.7,5.0,0.732,4.4,3.2,3.6,18.4,AS
14.0,John Havlicek,24.0,BOS,SG,75.0,,28.9,7.6,18.9,0.401,3.1,4.2,0.744,4.9,2.7,2.7,18.3,
15.0,Terry Dischinger,24.0,DET,SG,80.0,,33.7,7.1,14.4,0.493,4.0,5.3,0.755,6.0,2.5,3.2,18.2,AS
16.0,Zelmo Beaty,25.0,STL,C,80.0,,36.5,6.3,13.1,0.482,4.3,6.0,0.715,12.1,1.4,4.1,16.9,
17.0,Dave DeBusschere,24.0,DET,PF,79.0,,35.1,6.4,15.1,0.425,3.9,5.5,0.7,11.1,3.2,3.1,16.7,
18.0,Nate Thurmond,23.0,SFW,PF,77.0,,41.2,6.7,16.1,0.419,3.1,4.6,0.658,18.1,2.0,3.0,16.5,AS
