Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
1.0,George Gervin,26.0,SAS,SF,80.0,,2888.0,11.8375,21.8625,0.541,5.8875,7.125,0.826,142.0,258.0,400.0,219.0,137.0,91.0,286.0,275.0,29.5625,0.0,"MVP-2,AS,NBA1"
2.0,World B. Free,25.0,SDC,PG,78.0,,2954.0,10.192307692307692,21.192307692307693,0.481,8.384615384615385,11.08974358974359,0.756,127.0,174.0,301.0,340.0,111.0,35.0,297.0,253.0,28.76923076923077,0.0,"MVP-6,NBA2"
3.0,Moses Malone,23.0,HOU,C,82.0,82.0,3390.0,8.731707317073171,16.158536585365855,0.54,7.304878048780488,9.890243902439025,0.739,587.0,857.0,1444.0,147.0,79.0,119.0,326.0,223.0,24.76829268292683,0.0,"MVP-1,AS,NBA1"
4.0,Marques Johnson,22.0,MIL,SF,77.0,,2779.0,10.64935064935065,19.363636363636363,0.55,4.311688311688312,5.675324675324675,0.76,212.0,374.0,586.0,234.0,116.0,89.0,170.0,186.0,25.61038961038961,0.0,"AS,NBA1"
5.0,Paul Westphal,28.0,PHO,SG,81.0,,2641.0,9.88888888888889,18.469135802469136,0.535,4.185185185185185,5.0,0.837,35.0,124.0,159.0,529.0,111.0,26.0,232.0,159.0,23.962962962962962,0.0,"AS,NBA1"
6.0,Artis Gilmore,29.0,CHI,C,82.0,82.0,3265.0,9.182926829268293,15.975609756097562,0.575,5.2926829268292686,7.158536585365853,0.739,293.0,750.0,1043.0,274.0,50.0,156.0,310.0,280.0,23.658536585365855,0.0,AS
7.0,Kareem Abdul-Jabbar,31.0,LAL,C,80.0,,3157.0,9.7125,16.8375,0.577,4.3625,5.925,0.736,207.0,818.0,1025.0,431.0,76.0,316.0,282.0,230.0,23.7875,3.0,"MVP-4,AS,NBA2"
8.0,Walter Davis,24.0,PHO,SF,79.0,,2437.0,9.670886075949367,17.240506329113924,0.561,4.30379746835443,5.177215189873418,0.831,111.0,262.0,373.0,339.0,147.0,26.0,293.0,250.0,23.645569620253166,0.0,"MVP-10,AS,NBA2"
9.0,David Thompson,24.0,DEN,SG,76.0,,2670.0,9.118421052631579,17.80263157894737,0.512,5.776315789473684,7.671052631578948,0.753,109.0,165.0,274.0,225.0,70.0,82.0,186.0,180.0,24.013157894736842,0.0,"MVP-8,AS"
10.0,Julius Erving,28.0,PHI,SF,78.0,76.0,2802.0,9.166666666666666,18.653846153846153,0.491,4.782051282051282,6.423076923076923,0.745,198.0,366.0,564.0,357.0,133.0,100.0,315.0,207.0,23.115384615384617,0.0,AS
11.0,John Drew,24.0,ATL,SF,79.0,,2410.0,8.227848101265822,17.40506329113924,0.473,6.265822784810126,8.569620253164556,0.731,225.0,297.0,522.0,119.0,128.0,16.0,211.0,332.0,22.72151898734177,0.0,
12.0,Larry Kenon,26.0,SAS,PF,81.0,,2947.0,9.234567901234568,18.320987654320987,0.504,3.6419753086419755,4.308641975308642,0.845,260.0,530.0,790.0,335.0,154.0,19.0,300.0,192.0,22.11111111111111,1.0,AS
13.0,Elvin Hayes,33.0,WSB,PF,82.0,,3105.0,8.78048780487805,18.01219512195122,0.487,4.2560975609756095,6.512195121951219,0.654,312.0,682.0,994.0,143.0,75.0,190.0,235.0,308.0,21.817073170731707,0.0,"MVP-3,AS,NBA1"
14.0,Otis Birdsong,23.0,KCK,SG,82.0,82.0,2839.0,9.036585365853659,17.75609756097561,0.509,3.6097560975609757,4.975609756097561,0.725,176.0,178.0,354.0,281.0,125.0,17.0,200.0,255.0,21.682926829268293,0.0,AS
15.0,Bernard King,22.0,NJN,SF,82.0,,2859.0,8.658536585365853,16.573170731707318,0.522,4.2560975609756095,7.548780487804878,0.564,251.0,418.0,669.0,295.0,118.0,39.0,323.0,326.0,21.573170731707318,1.0,
16.0,George McGinnis,28.0,DEN,PF,76.0,,2552.0,7.934210526315789,16.75,0.474,6.697368421052632,10.06578947368421,0.665,256.0,608.0,864.0,283.0,129.0,52.0,346.0,321.0,22.56578947368421,0.0,AS
17.0,Randy Smith,30.0,SDC,SG,82.0,82.0,3111.0,8.451219512195122,18.573170731707318,0.455,3.5609756097560976,4.378048780487805,0.813,102.0,193.0,295.0,395.0,177.0,5.0,255.0,177.0,20.463414634146343,0.0,
18.0,Calvin Murphy,30.0,HOU,PG,82.0,,2941.0,8.621951219512194,17.365853658536587,0.496,3.0,3.231707317073171,0.928,78.0,95.0,173.0,351.0,117.0,6.0,187.0,288.0,20.24390243902439,0.0,AS
19.0,John Williamson,27.0,NJN,SG,74.0,,2451.0,8.58108108108108,18.472972972972972,0.465,5.04054054054054,5.905405405405405,0.854,53.0,143.0,196.0,255.0,89.0,12.0,233.0,215.0,22.2027027027027,0.0,
20.0,Campy Russell,27.0,CLE,SF,74.0,,2859.0,8.14864864864865,17.135135135135137,0.476,5.635135135135135,7.0675675675675675,0.797,147.0,356.0,503.0,348.0,98.0,25.0,259.0,222.0,21.93243243243243,1.0,AS
21.0,Bob Dandridge,31.0,WSB,SF,78.0,,2629.0,8.064102564102564,16.153846153846153,0.499,4.243589743589744,5.141025641025641,0.825,109.0,338.0,447.0,365.0,71.0,57.0,222.0,259.0,20.371794871794872,0.0,"MVP-5,AS,NBA2"
22.0,Brian Winters,26.0,MIL,SG,79.0,,2575.0,8.379746835443038,17.0,0.493,3.0,3.5063291139240507,0.856,48.0,129.0,177.0,383.0,83.0,40.0,257.0,243.0,19.759493670886076,0.0,
