Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,DRtg,Awards
1.0,Kareem Abdul-Jabbar,28.0,LAL,C,82.0,82.0,3379.0,12.0,22.7,0.529,5.9,8.4,0.703,3.6,14.6,18.2,5.4,1.6,4.4,3.8,29.9,90.0,"MVP-1,AS,NBA1"
2.0,Bob McAdoo,24.0,BUF,C,78.0,,3328.0,12.5,25.6,0.487,7.5,9.8,0.762,3.2,9.7,12.9,4.2,1.2,2.1,4.0,32.4,96.0,"MVP-2,AS"
3.0,Jo Jo White,29.0,BOS,PG,82.0,82.0,3257.0,9.2,20.6,0.449,2.9,3.5,0.838,0.8,3.5,4.3,6.1,1.5,0.3,2.5,21.4,99.0,"MVP-20,AS"
4.0,Tiny Archibald,27.0,KCK,PG,78.0,,3184.0,10.2,22.6,0.453,7.1,8.9,0.802,1.0,2.1,3.0,8.8,1.8,0.2,2.4,27.6,103.0,"MVP-9,AS,NBA1"
5.0,Randy Smith,27.0,BUF,SG,82.0,82.0,3167.0,9.8,19.9,0.494,5.4,6.6,0.817,1.5,4.4,5.8,6.8,2.1,0.1,3.8,25.0,99.0,"MVP-24,AS,NBA2"
6.0,Rick Barry,31.0,GSW,SF,81.0,,3122.0,10.0,23.1,0.435,4.1,4.4,0.923,1.1,6.0,7.0,7.0,2.9,0.4,3.1,24.2,94.0,"MVP-4,AS,NBA1"
7.0,Dave Cowens,27.0,BOS,C,78.0,,3101.0,8.8,18.9,0.468,3.7,4.9,0.756,4.8,13.2,18.0,4.7,1.4,1.0,4.5,21.4,92.0,"MVP-3,AS,NBA2"
8.0,Sam Lacey,27.0,KCK,C,81.0,,3083.0,6.0,15.0,0.401,3.2,4.2,0.759,3.2,11.9,15.1,5.6,1.9,2.0,4.2,15.2,95.0,
9.0,Mike Newlin,27.0,HOU,SG,82.0,82.0,3065.0,8.5,16.8,0.507,5.8,6.7,0.865,1.1,4.0,5.0,6.8,1.6,0.1,3.9,22.8,104.0,
10.0,Sidney Wicks,26.0,POR,PF,79.0,,3044.0,8.5,17.6,0.483,5.1,7.5,0.674,3.6,6.8,10.4,3.6,1.1,0.8,3.7,22.0,99.0,
11.0,Steve Mix,28.0,PHI,SF,81.0,63.0,3039.0,6.2,12.4,0.499,4.2,5.2,0.818,3.2,6.6,9.7,3.2,2.3,0.4,4.2,16.6,97.0,MVP-20
12.0,Norm Van Lier,28.0,CHI,PG,76.0,72.0,3026.0,5.7,15.6,0.366,3.7,5.0,0.737,2.2,4.3,6.5,7.9,2.4,0.4,4.7,15.1,98.0,"MVP-24,AS"
13.0,Curtis Rowe,26.0,DET,PF,80.0,,2998.0,7.8,16.7,0.468,3.8,5.2,0.737,3.5,7.1,10.6,2.8,0.7,0.7,3.2,19.5,102.0,AS
14.0,Calvin Murphy,27.0,HOU,PG,82.0,82.0,2995.0,10.3,21.0,0.493,5.7,6.3,0.907,0.8,2.4,3.2,9.1,2.3,0.1,4.5,26.4,103.0,
