Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Trp-Dbl,Awards
1.0,Pete Maravich,29.0,NOJ,SG,73.0,,3041.0,12.136986301369863,28.041095890410958,0.433,6.863013698630137,8.219178082191782,0.835,90.0,284.0,374.0,392.0,84.0,22.0,191.0,31.136986301369863,1.0,"MVP-3,AS,NBA1"
2.0,Kareem Abdul-Jabbar,29.0,LAL,C,82.0,82.0,3016.0,10.829268292682928,18.695121951219512,0.579,4.585365853658536,6.536585365853658,0.701,266.0,824.0,1090.0,319.0,101.0,261.0,262.0,26.24390243902439,1.0,"MVP-1,AS,NBA1"
3.0,David Thompson,22.0,DEN,SG,82.0,82.0,3001.0,10.048780487804878,19.829268292682926,0.507,5.817073170731708,7.597560975609756,0.766,138.0,196.0,334.0,337.0,114.0,53.0,236.0,25.914634146341463,0.0,"MVP-7,AS,NBA1"
4.0,Billy Knight,24.0,IND,SF,78.0,,3117.0,10.653846153846153,21.628205128205128,0.493,5.294871794871795,6.487179487179487,0.816,223.0,359.0,582.0,260.0,117.0,19.0,197.0,26.602564102564102,0.0,AS
5.0,Elvin Hayes,31.0,WSB,PF,82.0,,3364.0,9.268292682926829,18.48780487804878,0.501,5.146341463414634,7.487804878048781,0.687,289.0,740.0,1029.0,158.0,87.0,220.0,312.0,23.682926829268293,0.0,"MVP-7,AS,NBA1"
6.0,George Gervin,24.0,SAS,SF,82.0,82.0,2705.0,8.853658536585366,16.28048780487805,0.544,5.402439024390244,6.487804878048781,0.833,134.0,320.0,454.0,238.0,105.0,104.0,286.0,23.109756097560975,0.0,"MVP-11,AS,NBA2"
7.0,Bob McAdoo,25.0,2TM,C,72.0,49.0,2798.0,10.277777777777779,20.069444444444443,0.512,5.291666666666667,7.166666666666667,0.738,199.0,727.0,926.0,205.0,77.0,99.0,262.0,25.84722222222222,0.0,AS
8.0,Ron Boone,30.0,KCK,SG,82.0,82.0,3021.0,9.109756097560975,19.23170731707317,0.474,3.951219512195122,4.682926829268292,0.844,128.0,193.0,321.0,338.0,119.0,19.0,258.0,22.170731707317074,0.0,
9.0,John Drew,22.0,ATL,SF,74.0,,2688.0,9.31081081081081,19.135135135135137,0.487,5.5675675675675675,7.797297297297297,0.714,280.0,395.0,675.0,133.0,102.0,29.0,275.0,24.18918918918919,0.0,
10.0,Julius Erving,26.0,PHI,SF,82.0,77.0,2940.0,8.353658536585366,16.74390243902439,0.499,4.878048780487805,6.280487804878049,0.777,192.0,503.0,695.0,306.0,159.0,113.0,251.0,21.585365853658537,0.0,"MVP-5,AS,NBA2"
11.0,Dan Issel,28.0,DEN,C,79.0,,2507.0,8.354430379746836,16.227848101265824,0.515,5.632911392405063,7.063291139240507,0.797,211.0,485.0,696.0,177.0,91.0,29.0,246.0,22.341772151898734,0.0,AS
12.0,Rudy Tomjanovich,28.0,HOU,PF,81.0,,3130.0,9.049382716049383,17.74074074074074,0.51,3.54320987654321,4.222222222222222,0.839,172.0,512.0,684.0,172.0,57.0,27.0,198.0,21.641975308641975,0.0,AS
13.0,Paul Westphal,26.0,PHO,PG,81.0,,2600.0,8.419753086419753,16.25925925925926,0.518,4.469135802469136,5.419753086419753,0.825,57.0,133.0,190.0,459.0,134.0,21.0,171.0,21.308641975308642,0.0,"AS,NBA1"
14.0,Rick Barry,32.0,GSW,SF,79.0,,2904.0,8.632911392405063,19.632911392405063,0.44,4.544303797468355,4.962025316455696,0.916,73.0,349.0,422.0,475.0,172.0,58.0,194.0,21.810126582278482,1.0,AS
15.0,Larry Kenon,24.0,SAS,PF,78.0,,2936.0,9.051282051282051,18.397435897435898,0.492,3.7564102564102564,4.564102564102564,0.823,282.0,597.0,879.0,229.0,167.0,60.0,190.0,21.858974358974358,1.0,
16.0,Randy Smith,28.0,BUF,SG,82.0,,3094.0,8.560975609756097,18.341463414634145,0.467,3.5853658536585367,4.7073170731707314,0.762,134.0,323.0,457.0,441.0,176.0,8.0,264.0,20.70731707317073,0.0,
17.0,George McGinnis,26.0,PHI,PF,79.0,78.0,2769.0,8.341772151898734,18.21518987341772,0.458,4.708860759493671,6.9113924050632916,0.681,324.0,587.0,911.0,302.0,163.0,37.0,299.0,21.39240506329114,0.0,"MVP-11,AS,NBA2"
18.0,Bob Lanier,28.0,DET,C,64.0,,2446.0,10.59375,19.828125,0.534,4.0625,4.96875,0.818,200.0,545.0,745.0,214.0,70.0,126.0,174.0,25.25,0.0,"MVP-4,AS"
19.0,Jo Jo White,30.0,BOS,PG,82.0,82.0,3333.0,7.780487804878049,18.146341463414632,0.429,4.060975609756097,4.670731707317073,0.869,87.0,296.0,383.0,492.0,118.0,22.0,193.0,19.621951219512194,0.0,"MVP-11,AS,NBA2"
20.0,Maurice Lucas,24.0,POR,PF,79.0,,2863.0,8.0,17.17721518987342,0.466,4.2405063291139244,5.544303797468355,0.765,271.0,628.0,899.0,229.0,83.0,56.0,294.0,20.240506329113924,0.0,"MVP-9,AS"
21.0,Phil Chenier,26.0,WSB,SG,78.0,,2842.0,8.384615384615385,18.871794871794872,0.444,3.4615384615384617,4.115384615384615,0.841,56.0,243.0,299.0,294.0,120.0,39.0,166.0,20.23076923076923,0.0,AS
22.0,Adrian Dantley,21.0,BUF,SF,77.0,,2816.0,7.064935064935065,13.584415584415584,0.52,6.181818181818182,7.558441558441558,0.818,251.0,336.0,587.0,144.0,91.0,15.0,215.0,20.31168831168831,0.0,ROY-1
23.0,Phil Smith,24.0,GSW,SG,82.0,82.0,2880.0,7.695121951219512,16.073170731707318,0.479,3.597560975609756,4.585365853658536,0.785,101.0,231.0,332.0,328.0,98.0,29.0,227.0,18.98780487804878,0.0,AS
24.0,Earl Monroe,32.0,NYK,SG,77.0,76.0,2656.0,7.961038961038961,15.38961038961039,0.517,3.987012987012987,4.753246753246753,0.839,45.0,178.0,223.0,366.0,91.0,23.0,197.0,19.90909090909091,0.0,AS
25.0,Artis Gilmore,27.0,CHI,C,82.0,82.0,2877.0,6.951219512195122,13.304878048780488,0.522,4.719512195121951,7.146341463414634,0.66,313.0,757.0,1070.0,199.0,44.0,203.0,266.0,18.621951219512194,0.0,MVP-10
