Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
1.0,Kobe Bryant,27.0,LAL,SG,80.0,80.0,3277.0,12.225,27.1625,0.45,180.0,518.0,0.347,798.0,1655.0,0.482,0.491,8.7,10.2375,0.85,71.0,354.0,425.0,360.0,147.0,30.0,250.0,233.0,35.4,0.0,"MVP-4,AS,NBA1"
2.0,LeBron James,21.0,CLE,SF,79.0,79.0,3361.0,11.075949367088608,23.075949367088608,0.48,127.0,379.0,0.335,748.0,1444.0,0.518,0.515,7.6075949367088604,10.30379746835443,0.738,75.0,481.0,556.0,521.0,123.0,66.0,260.0,181.0,31.367088607594937,5.0,"MVP-2,AS,NBA1"
3.0,Allen Iverson,30.0,PHI,PG,72.0,72.0,3103.0,11.319444444444445,25.305555555555557,0.447,72.0,223.0,0.323,743.0,1599.0,0.465,0.467,9.375,11.51388888888889,0.814,44.0,188.0,232.0,532.0,140.0,10.0,248.0,121.0,33.013888888888886,0.0,"MVP-10,AS,NBA3"
4.0,Gilbert Arenas,24.0,WAS,PG,80.0,80.0,3384.0,9.325,20.85,0.447,199.0,540.0,0.369,547.0,1128.0,0.485,0.507,8.1875,9.9875,0.82,59.0,221.0,280.0,484.0,161.0,25.0,297.0,286.0,29.325,0.0,"AS,NBA3"
5.0,Dirk Nowitzki,27.0,DAL,PF,81.0,81.0,3089.0,9.271604938271604,19.308641975308642,0.48,110.0,271.0,0.406,641.0,1293.0,0.496,0.515,6.654320987654321,7.382716049382716,0.901,115.0,613.0,728.0,226.0,58.0,83.0,156.0,164.0,26.555555555555557,0.0,"MVP-3,AS,NBA1"
6.0,Carmelo Anthony,21.0,DEN,SF,80.0,80.0,2941.0,9.45,19.65,0.481,37.0,152.0,0.243,719.0,1420.0,0.506,0.493,7.1625,8.8625,0.808,122.0,272.0,394.0,216.0,88.0,42.0,218.0,229.0,26.525,0.0,NBA3
7.0,Paul Pierce,28.0,BOS,SF,79.0,79.0,3084.0,8.721518987341772,18.50632911392405,0.471,111.0,314.0,0.354,578.0,1148.0,0.503,0.509,7.936708860759493,10.278481012658228,0.772,77.0,453.0,530.0,375.0,107.0,34.0,273.0,223.0,26.78481012658228,1.0,AS
8.0,Dwyane Wade,24.0,MIA,SG,75.0,75.0,2892.0,9.32,18.84,0.495,13.0,76.0,0.171,686.0,1337.0,0.513,0.499,8.386666666666667,10.706666666666667,0.783,107.0,323.0,430.0,503.0,146.0,58.0,268.0,217.0,27.2,2.0,"MVP-6,AS,NBA2"
9.0,Michael Redd,26.0,MIL,SG,80.0,80.0,3130.0,8.525,18.95,0.45,163.0,413.0,0.395,519.0,1103.0,0.471,0.504,6.2625,7.1375,0.877,78.0,264.0,342.0,229.0,95.0,5.0,170.0,157.0,25.35,0.0,
10.0,Ray Allen,30.0,SEA,SG,78.0,78.0,3022.0,8.73076923076923,19.23076923076923,0.454,269.0,653.0,0.412,412.0,847.0,0.486,0.544,4.153846153846154,4.602564102564102,0.903,71.0,261.0,332.0,286.0,105.0,16.0,188.0,151.0,25.064102564102566,0.0,AS
