Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
1.0,Alex English,32.0,DEN,SF,81.0,81.0,3024.0,11.74074074074074,23.308641975308642,0.504,1.0,5.0,0.2,950.0,1883.0,0.505,0.504,6.308641975308642,7.320987654320987,0.862,192.0,213.0,405.0,320.0,73.0,29.0,249.0,235.0,29.80246913580247,0.0,"MVP-8,AS,NBA2"
2.0,Dominique Wilkins,26.0,ATL,SF,78.0,78.0,3049.0,11.384615384615385,24.32051282051282,0.468,13.0,70.0,0.186,875.0,1827.0,0.479,0.472,7.397435897435898,9.038461538461538,0.818,261.0,357.0,618.0,206.0,138.0,49.0,251.0,170.0,30.333333333333332,0.0,"MVP-2,AS,NBA1"
3.0,Adrian Dantley,30.0,UTA,SF,76.0,75.0,2744.0,10.763157894736842,19.11842105263158,0.563,1.0,11.0,0.091,817.0,1442.0,0.567,0.563,8.289473684210526,10.473684210526315,0.791,178.0,217.0,395.0,264.0,64.0,4.0,231.0,206.0,29.82894736842105,0.0,"MVP-16,AS"
4.0,Larry Bird,29.0,BOS,SF,82.0,81.0,3113.0,9.707317073170731,19.585365853658537,0.496,82.0,194.0,0.423,714.0,1412.0,0.506,0.521,5.378048780487805,6.0,0.896,190.0,615.0,805.0,557.0,166.0,51.0,266.0,182.0,25.79268292682927,10.0,"MVP-1,AS,NBA1"
5.0,Kiki Vandeweghe,27.0,POR,SF,79.0,76.0,2791.0,9.10126582278481,16.860759493670887,0.54,1.0,8.0,0.125,718.0,1324.0,0.542,0.54,6.620253164556962,7.620253164556962,0.869,92.0,124.0,216.0,187.0,54.0,17.0,177.0,161.0,24.835443037974684,0.0,
6.0,Mike Mitchell,30.0,SAS,SF,82.0,82.0,2970.0,9.78048780487805,20.695121951219512,0.473,0.0,12.0,0.0,802.0,1685.0,0.476,0.473,3.8658536585365852,4.780487804878049,0.809,134.0,275.0,409.0,188.0,56.0,25.0,184.0,175.0,23.426829268292682,1.0,
7.0,Kareem Abdul-Jabbar,38.0,LAL,C,79.0,79.0,2629.0,9.556962025316455,16.936708860759495,0.564,0.0,2.0,0.0,755.0,1336.0,0.565,0.564,4.253164556962025,5.556962025316456,0.765,133.0,345.0,478.0,280.0,67.0,130.0,203.0,248.0,23.367088607594937,0.0,"MVP-5,AS,NBA1"
8.0,Jeff Malone,24.0,WSB,SG,80.0,80.0,2992.0,9.1875,19.025,0.483,3.0,17.0,0.176,732.0,1505.0,0.486,0.484,4.025,4.6375,0.868,66.0,222.0,288.0,191.0,70.0,12.0,168.0,180.0,22.4375,0.0,AS
9.0,Rolando Blackman,26.0,DAL,SG,82.0,81.0,2787.0,8.25609756097561,16.073170731707318,0.514,4.0,29.0,0.138,673.0,1289.0,0.522,0.515,4.926829268292683,5.890243902439025,0.836,88.0,203.0,291.0,271.0,79.0,25.0,189.0,138.0,21.48780487804878,0.0,AS
10.0,Moses Malone,30.0,PHI,C,74.0,74.0,2706.0,7.716216216216216,16.83783783783784,0.458,0.0,1.0,0.0,571.0,1245.0,0.459,0.458,8.337837837837839,10.594594594594595,0.787,339.0,533.0,872.0,90.0,67.0,71.0,261.0,194.0,23.77027027027027,0.0,"MVP-10,AS"
11.0,World B. Free,32.0,CLE,SG,75.0,75.0,2535.0,8.693333333333333,19.106666666666666,0.455,71.0,169.0,0.42,581.0,1264.0,0.46,0.48,5.053333333333334,6.48,0.78,72.0,146.0,218.0,314.0,91.0,19.0,172.0,186.0,23.386666666666667,0.0,
12.0,Joe Barry Carroll,27.0,GSW,C,79.0,79.0,2801.0,8.227848101265822,17.772151898734176,0.463,0.0,2.0,0.0,650.0,1402.0,0.464,0.463,4.772151898734177,6.341772151898734,0.752,193.0,477.0,670.0,176.0,101.0,143.0,275.0,277.0,21.227848101265824,0.0,
13.0,Mark Aguirre,26.0,DAL,SF,74.0,73.0,2501.0,9.027027027027026,17.93243243243243,0.503,16.0,56.0,0.286,652.0,1271.0,0.513,0.509,4.297297297297297,6.094594594594595,0.705,177.0,268.0,445.0,339.0,62.0,14.0,252.0,229.0,22.56756756756757,1.0,
14.0,Purvis Short,28.0,GSW,SF,64.0,63.0,2427.0,9.890625,20.515625,0.482,15.0,49.0,0.306,618.0,1264.0,0.489,0.488,5.484375,6.34375,0.865,126.0,203.0,329.0,237.0,92.0,22.0,184.0,229.0,25.5,0.0,
15.0,Terry Cummings,24.0,MIL,PF,82.0,82.0,2669.0,8.304878048780488,17.536585365853657,0.474,0.0,2.0,0.0,681.0,1436.0,0.474,0.474,3.231707317073171,4.926829268292683,0.656,222.0,472.0,694.0,193.0,121.0,51.0,191.0,283.0,19.841463414634145,0.0,MVP-11
16.0,Kelly Tripucka,26.0,DET,SF,81.0,81.0,2626.0,7.592592592592593,15.25925925925926,0.498,12.0,25.0,0.48,603.0,1211.0,0.498,0.502,4.691358024691358,5.481481481481482,0.856,116.0,232.0,348.0,265.0,93.0,10.0,183.0,167.0,20.02469135802469,0.0,
17.0,Isiah Thomas,24.0,DET,PG,77.0,77.0,2790.0,7.909090909090909,16.207792207792206,0.488,26.0,84.0,0.31,583.0,1164.0,0.501,0.498,4.740259740259741,6.0,0.79,83.0,194.0,277.0,830.0,171.0,20.0,289.0,245.0,20.896103896103895,0.0,"MVP-9,AS,NBA1"
18.0,Roy Hinson,24.0,CLE,SF,82.0,82.0,2834.0,7.573170731707317,14.231707317073171,0.532,0.0,4.0,0.0,621.0,1163.0,0.534,0.532,4.439024390243903,6.170731707317073,0.719,167.0,472.0,639.0,102.0,62.0,112.0,188.0,316.0,19.585365853658537,0.0,
19.0,Charles Barkley,22.0,PHI,PF,80.0,80.0,2952.0,7.4375,13.0125,0.572,17.0,75.0,0.227,578.0,966.0,0.598,0.58,4.95,7.225,0.685,354.0,672.0,1026.0,312.0,173.0,125.0,350.0,333.0,20.0375,1.0,"MVP-6,NBA2"
20.0,Hakeem Olajuwon,23.0,HOU,C,68.0,68.0,2467.0,9.191176470588236,17.470588235294116,0.526,0.0,0.0,,625.0,1188.0,0.526,0.526,5.102941176470588,7.911764705882353,0.645,333.0,448.0,781.0,137.0,134.0,231.0,195.0,271.0,23.485294117647058,1.0,"MVP-4,AS,NBA2"
21.0,Herb Williams,27.0,IND,C,78.0,74.0,2770.0,8.038461538461538,16.346153846153847,0.492,1.0,12.0,0.083,626.0,1263.0,0.496,0.492,3.769230769230769,5.166666666666667,0.73,172.0,538.0,710.0,174.0,50.0,184.0,210.0,244.0,19.858974358974358,0.0,
22.0,Eddie Johnson,26.0,SAC,SF,82.0,30.0,2514.0,7.597560975609756,15.987804878048781,0.475,4.0,20.0,0.2,619.0,1291.0,0.479,0.477,3.4146341463414633,4.182926829268292,0.816,173.0,246.0,419.0,214.0,54.0,17.0,191.0,237.0,18.658536585365855,0.0,6MOY-3
23.0,Marques Johnson,29.0,LAC,SG,75.0,75.0,2605.0,8.173333333333334,16.013333333333332,0.51,1.0,15.0,0.067,612.0,1186.0,0.516,0.511,3.973333333333333,5.226666666666667,0.76,156.0,260.0,416.0,283.0,107.0,50.0,183.0,214.0,20.333333333333332,0.0,AS
24.0,Walter Davis,31.0,PHO,SG,70.0,62.0,2239.0,8.914285714285715,18.385714285714286,0.485,18.0,76.0,0.237,606.0,1211.0,0.5,0.492,3.6714285714285713,4.357142857142857,0.843,54.0,149.0,203.0,361.0,99.0,3.0,219.0,153.0,21.757142857142856,0.0,
25.0,Reggie Theus,28.0,SAC,SG,82.0,82.0,2919.0,6.658536585365853,13.865853658536585,0.48,6.0,35.0,0.171,540.0,1102.0,0.49,0.483,4.939024390243903,5.975609756097561,0.827,73.0,231.0,304.0,788.0,112.0,20.0,327.0,231.0,18.329268292682926,1.0,
26.0,James Worthy,24.0,LAL,SF,75.0,73.0,2454.0,8.386666666666667,14.48,0.579,0.0,13.0,0.0,629.0,1073.0,0.586,0.579,3.2266666666666666,4.1866666666666665,0.771,136.0,251.0,387.0,201.0,82.0,77.0,149.0,195.0,20.0,0.0,"MVP-12,AS"
27.0,Ralph Sampson,25.0,HOU,PF,79.0,76.0,2864.0,7.89873417721519,16.20253164556962,0.488,2.0,15.0,0.133,622.0,1265.0,0.492,0.488,3.050632911392405,4.7594936708860756,0.641,258.0,621.0,879.0,283.0,99.0,129.0,285.0,308.0,18.873417721518987,0.0,AS
28.0,Larry Nance,26.0,PHO,PF,73.0,69.0,2484.0,7.972602739726027,13.712328767123287,0.581,0.0,8.0,0.0,582.0,993.0,0.586,0.581,4.2465753424657535,6.082191780821918,0.698,169.0,449.0,618.0,240.0,70.0,130.0,210.0,247.0,20.19178082191781,0.0,
29.0,Sidney Moncrief,28.0,MIL,PG,73.0,72.0,2567.0,6.438356164383562,13.178082191780822,0.489,33.0,103.0,0.32,437.0,859.0,0.509,0.506,6.821917808219178,7.945205479452055,0.859,115.0,219.0,334.0,357.0,103.0,18.0,174.0,178.0,20.15068493150685,1.0,"MVP-7,DPOY-3,AS,NBA2"
30.0,Cliff Robinson,25.0,WSB,SF,78.0,78.0,2563.0,7.628205128205129,16.08974358974359,0.474,1.0,4.0,0.25,594.0,1251.0,0.475,0.475,3.448717948717949,4.5256410256410255,0.762,180.0,500.0,680.0,186.0,98.0,44.0,206.0,217.0,18.71794871794872,1.0,
31.0,Kevin McHale,28.0,BOS,PF,68.0,62.0,2397.0,8.25,14.382352941176471,0.574,0.0,0.0,,561.0,978.0,0.574,0.574,4.794117647058823,6.176470588235294,0.776,171.0,380.0,551.0,181.0,29.0,134.0,149.0,192.0,21.294117647058822,0.0,"MVP-13,AS"
32.0,Orlando Woolridge,26.0,CHI,SF,70.0,59.0,2248.0,7.714285714285714,15.571428571428571,0.495,4.0,23.0,0.174,536.0,1067.0,0.502,0.497,5.2,6.6,0.788,150.0,200.0,350.0,213.0,49.0,47.0,174.0,186.0,20.685714285714287,0.0,
33.0,Sleepy Floyd,25.0,GSW,PG,82.0,82.0,2764.0,6.219512195121951,12.28048780487805,0.506,39.0,119.0,0.328,471.0,888.0,0.53,0.526,4.280487804878049,5.378048780487805,0.796,76.0,221.0,297.0,746.0,157.0,16.0,290.0,199.0,17.195121951219512,0.0,
34.0,Xavier McDaniel,22.0,SEA,SF,82.0,80.0,2706.0,7.024390243902439,14.341463414634147,0.49,2.0,10.0,0.2,574.0,1166.0,0.492,0.491,3.048780487804878,4.439024390243903,0.687,307.0,348.0,655.0,193.0,101.0,37.0,248.0,305.0,17.121951219512194,0.0,ROY-2
35.0,Alvin Robertson,23.0,SAS,SG,82.0,82.0,2878.0,6.853658536585366,13.329268292682928,0.514,8.0,29.0,0.276,554.0,1064.0,0.521,0.518,3.1707317073170733,3.9878048780487805,0.795,184.0,332.0,516.0,448.0,301.0,40.0,256.0,296.0,16.975609756097562,3.0,"MVP-13,DPOY-1,MIP-1,AS,NBA2"
36.0,Clyde Drexler,23.0,POR,SG,75.0,58.0,2576.0,7.226666666666667,15.226666666666667,0.475,12.0,60.0,0.2,530.0,1082.0,0.49,0.48,3.9066666666666667,5.08,0.769,171.0,250.0,421.0,600.0,197.0,46.0,282.0,270.0,18.52,4.0,AS
37.0,Lewis Lloyd,26.0,HOU,SG,82.0,82.0,2444.0,7.219512195121951,13.646341463414634,0.529,3.0,15.0,0.2,589.0,1104.0,0.534,0.53,2.426829268292683,2.8780487804878048,0.843,155.0,169.0,324.0,300.0,102.0,24.0,194.0,216.0,16.902439024390244,1.0,
38.0,Jack Sikma,30.0,SEA,C,80.0,78.0,2790.0,6.35,13.75,0.462,0.0,13.0,0.0,508.0,1087.0,0.467,0.462,4.4375,5.1375,0.864,146.0,602.0,748.0,301.0,92.0,73.0,214.0,293.0,17.1375,0.0,
39.0,Bill Laimbeer,28.0,DET,C,82.0,82.0,2891.0,6.646341463414634,13.5,0.492,4.0,14.0,0.286,541.0,1093.0,0.495,0.494,3.2439024390243905,3.8902439024390243,0.834,305.0,770.0,1075.0,146.0,59.0,65.0,133.0,291.0,16.585365853658537,0.0,
40.0,Magic Johnson,26.0,LAL,PG,72.0,70.0,2578.0,6.708333333333333,12.75,0.526,10.0,43.0,0.233,473.0,875.0,0.541,0.532,5.25,6.027777777777778,0.871,85.0,341.0,426.0,907.0,113.0,16.0,273.0,133.0,18.805555555555557,3.0,"MVP-3,AS,NBA1"
41.0,Julius Erving,35.0,PHI,SG,74.0,74.0,2474.0,7.04054054054054,14.662162162162161,0.48,9.0,32.0,0.281,512.0,1053.0,0.486,0.484,3.9054054054054053,4.972972972972973,0.785,169.0,201.0,370.0,248.0,113.0,82.0,214.0,196.0,18.10810810810811,0.0,AS
42.0,Mike Gminski,26.0,NJN,C,81.0,78.0,2525.0,6.061728395061729,11.716049382716049,0.517,0.0,1.0,0.0,491.0,948.0,0.518,0.517,4.333333333333333,4.851851851851852,0.893,206.0,462.0,668.0,133.0,56.0,71.0,140.0,163.0,16.45679012345679,0.0,
43.0,George Gervin,33.0,CHI,SG,82.0,75.0,2065.0,6.329268292682927,13.414634146341463,0.472,4.0,19.0,0.211,515.0,1081.0,0.476,0.474,3.451219512195122,3.926829268292683,0.879,78.0,137.0,215.0,144.0,49.0,23.0,161.0,210.0,16.158536585365855,0.0,
44.0,Robert Parish,32.0,BOS,C,81.0,80.0,2567.0,6.54320987654321,11.925925925925926,0.549,0.0,0.0,,530.0,966.0,0.549,0.549,3.0246913580246915,4.135802469135802,0.731,246.0,524.0,770.0,145.0,65.0,116.0,187.0,215.0,16.11111111111111,0.0,AS
