Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards
53.0,McCoy McLemore,25.0,CHI,SF,76.0,,27.6,4.9,12.4,0.398,2.8,3.6,0.779,5.7,1.7,2.9,12.7,
55.0,Bill Russell,33.0,BOS,C,78.0,,37.9,4.7,11.0,0.425,3.2,5.9,0.537,18.6,4.6,3.1,12.5,"AS,NBA2"
56.0,Jim Washington,24.0,CHI,C,82.0,,30.8,5.1,11.2,0.457,2.3,3.3,0.682,10.1,1.4,2.8,12.5,
57.0,Leroy Ellis,27.0,BAL,C,78.0,,34.9,4.9,10.3,0.475,2.7,3.7,0.724,11.1,2.0,3.3,12.4,
58.0,John Tresvant,28.0,2TM,PF,85.0,,29.1,4.7,10.2,0.457,2.9,4.5,0.651,8.3,1.9,4.0,12.3,
59.0,Keith Erickson,23.0,CHI,SF,78.0,,28.9,4.8,12.1,0.401,2.5,3.3,0.755,5.4,3.4,3.5,12.2,
60.0,Larry Siegfried,28.0,BOS,PG,62.0,,31.2,4.2,10.1,0.415,3.8,4.4,0.868,3.5,4.7,3.1,12.2,
61.0,Jon McGlocklin,24.0,SDR,SG,65.0,,28.9,4.9,11.6,0.417,2.4,2.8,0.867,3.1,2.7,1.8,12.1,
62.0,Clyde Lee,23.0,SFW,C,82.0,,32.9,4.5,10.9,0.417,2.8,4.1,0.684,13.9,1.6,4.0,11.9,AS
63.0,Luke Jackson,26.0,PHI,PF,82.0,,31.3,4.9,11.3,0.433,2.0,2.8,0.719,10.6,1.7,3.5,11.8,
64.0,Mel Counts,26.0,LAL,PF,82.0,,21.2,4.7,9.9,0.475,2.3,3.1,0.748,8.9,1.7,3.8,11.7,
66.0,Tom Hawkins,31.0,LAL,PF,78.0,,31.6,5.0,10.0,0.499,1.6,2.9,0.546,5.9,1.5,3.7,11.6,
67.0,Toby Kimball,25.0,SDR,PF,81.0,,31.1,4.4,11.0,0.396,2.2,3.8,0.592,11.7,1.8,3.4,11.0,
68.0,Dick Van Arsdale,24.0,NYK,SG,78.0,50.0,30.1,4.1,9.3,0.436,2.9,4.3,0.67,5.4,2.9,2.9,11.0,
69.0,Tom Sanders,29.0,BOS,SF,78.0,,25.4,3.8,8.9,0.428,2.6,3.3,0.784,5.8,1.3,3.8,10.2,
72.0,John Barnhill,29.0,SDR,PG,75.0,,25.1,3.9,9.3,0.421,2.1,3.1,0.658,2.3,3.5,1.9,9.9,
73.0,Al Attles,31.0,SFW,PG,67.0,,29.7,3.8,8.1,0.467,2.2,3.2,0.694,4.1,5.8,4.2,9.8,
75.0,Tommy Kron,24.0,SEA,SG,76.0,,23.6,3.6,9.2,0.396,2.4,3.1,0.79,4.7,3.7,3.0,9.7,
77.0,Barry Clemens,24.0,CHI,SF,78.0,,20.9,3.9,8.6,0.449,1.6,2.2,0.724,4.8,1.3,2.9,9.3,
78.0,Darrall Imhoff,29.0,LAL,C,82.0,,27.7,3.6,7.5,0.478,2.2,3.5,0.619,10.9,2.5,3.2,9.3,
80.0,Walt Frazier,22.0,NYK,PG,74.0,15.0,21.5,3.5,7.7,0.451,2.1,3.2,0.655,4.2,4.1,2.7,9.0,
84.0,Dick Snyder,23.0,STL,SG,75.0,,21.6,3.4,8.2,0.419,1.7,2.2,0.772,2.6,2.2,2.9,8.6,
86.0,Art Williams,28.0,SDR,PG,79.0,,22.0,3.4,9.1,0.369,1.4,2.1,0.685,3.6,4.9,2.6,8.1,
90.0,Howard Komives,26.0,NYK,PG,78.0,6.0,21.3,3.0,8.1,0.369,1.7,2.1,0.82,2.2,3.2,2.2,7.7,
91.0,Erwin Mueller,23.0,2TM,PF,74.0,,24.2,3.0,6.6,0.456,1.4,2.5,0.578,5.3,2.1,2.2,7.5,
92.0,Joe Strawder,27.0,DET,C,73.0,,27.8,2.8,6.2,0.452,1.9,2.9,0.647,9.4,1.2,4.3,7.5,
