Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
1.0,Michael Jordan,24.0,CHI,SG,82.0,82.0,3311.0,16.2,30.3,0.535,0.1,0.8,0.132,16.1,29.5,0.546,0.537,11.0,13.1,0.841,2.1,4.7,6.8,7.4,3.9,2.0,3.8,4.1,43.6,123.0,101.0,"MVP-1,DPOY-1,AS,NBA1"
2.0,Mark Jackson,22.0,NYK,PG,82.0,80.0,3249.0,6.5,15.1,0.432,0.5,1.9,0.254,6.1,13.2,0.458,0.448,3.1,4.0,0.774,1.8,4.1,5.9,12.9,3.1,0.1,3.8,3.6,16.6,109.0,106.0,"MVP-13,ROY-1"
3.0,Karl Malone,24.0,UTA,PF,82.0,82.0,3198.0,12.7,24.4,0.52,0.0,0.1,0.0,12.7,24.3,0.522,0.52,8.2,11.7,0.7,4.1,10.5,14.6,2.9,1.7,0.7,4.8,4.4,33.5,107.0,101.0,"MVP-8,AS,NBA2"
4.0,Charles Barkley,24.0,PHI,PF,80.0,80.0,3170.0,11.9,20.2,0.587,0.7,2.5,0.28,11.2,17.8,0.63,0.604,11.3,15.0,0.751,6.1,8.9,15.0,4.0,1.6,1.6,4.8,4.4,35.7,126.0,108.0,"MVP-4,AS,NBA1"
5.0,Otis Thorpe,25.0,SAC,PF,82.0,82.0,3072.0,9.6,19.0,0.507,0.0,0.1,0.0,9.6,18.9,0.51,0.507,7.1,9.4,0.755,4.3,8.6,13.0,4.1,1.0,0.9,3.5,4.1,26.4,114.0,112.0,
6.0,Fat Lever,27.0,DEN,SG,82.0,82.0,3061.0,9.6,20.2,0.473,0.2,0.8,0.211,9.4,19.4,0.484,0.477,3.7,4.7,0.785,3.0,6.9,9.9,9.5,3.3,0.3,2.7,3.2,23.0,113.0,103.0,"MVP-9,DPOY-5,AS"
7.0,Clyde Drexler,25.0,POR,SG,81.0,80.0,3060.0,12.9,25.4,0.506,0.2,0.8,0.212,12.7,24.6,0.515,0.509,7.2,8.9,0.811,4.0,4.1,8.1,7.1,3.1,0.8,3.6,3.8,33.1,118.0,106.0,"MVP-5,DPOY-8,AS,NBA2"
8.0,Byron Scott,26.0,LAL,SG,81.0,81.0,3048.0,11.3,21.4,0.527,1.0,2.8,0.346,10.3,18.6,0.554,0.55,4.3,5.0,0.858,1.2,4.1,5.3,5.3,2.5,0.4,2.6,3.2,27.9,118.0,108.0,
9.0,Derek Harper,26.0,DAL,PG,82.0,82.0,3032.0,8.7,19.0,0.459,1.0,3.1,0.313,7.8,15.9,0.488,0.485,4.3,5.6,0.759,1.2,2.9,4.0,10.3,2.7,0.6,3.1,2.7,22.7,115.0,108.0,
10.0,Danny Ainge,28.0,BOS,SG,81.0,81.0,3018.0,7.8,15.9,0.491,2.4,5.8,0.415,5.4,10.1,0.534,0.566,2.6,2.9,0.878,1.0,3.1,4.0,8.2,1.9,0.3,2.5,3.3,20.6,121.0,112.0,AS
11.0,Terry Porter,24.0,POR,PG,82.0,82.0,2991.0,7.2,13.8,0.519,0.4,1.1,0.348,6.8,12.7,0.533,0.533,4.2,5.0,0.846,1.0,4.8,5.9,12.9,2.3,0.2,3.8,3.2,18.9,119.0,107.0,
12.0,Alvin Robertson,25.0,SAS,SG,82.0,82.0,2978.0,10.1,21.7,0.465,0.4,1.5,0.284,9.7,20.3,0.478,0.475,4.2,5.6,0.748,2.5,5.1,7.7,8.6,3.8,1.1,3.9,4.6,24.9,106.0,109.0,"DPOY-4,AS"
13.0,Larry Bird,31.0,BOS,SF,76.0,75.0,2965.0,14.6,27.6,0.527,1.6,3.9,0.414,12.9,23.7,0.546,0.556,6.9,7.5,0.916,1.8,9.8,11.6,7.7,2.1,0.9,3.5,2.6,37.6,121.0,106.0,"MVP-2,AS,NBA1"
14.0,Mike Gminski,28.0,2TM,C,81.0,81.0,2961.0,8.4,18.8,0.448,0.0,0.0,0.0,8.4,18.8,0.449,0.448,5.9,6.5,0.906,4.1,9.5,13.6,2.3,1.1,2.0,3.0,2.9,22.8,109.0,108.0,
15.0,Brad Daugherty,22.0,CLE,C,79.0,78.0,2957.0,9.2,18.0,0.51,0.0,0.0,0.0,9.2,18.0,0.511,0.51,6.3,8.8,0.716,2.5,8.6,11.1,5.6,0.8,0.9,4.5,3.9,24.7,107.0,107.0,AS
16.0,Dominique Wilkins,28.0,ATL,SF,78.0,76.0,2948.0,15.4,33.1,0.464,0.6,2.2,0.295,14.7,30.9,0.476,0.474,9.1,11.1,0.826,3.6,4.9,8.5,3.8,1.7,0.8,3.7,2.7,40.5,111.0,109.0,"MVP-6,AS,NBA2"
17.0,Isiah Thomas,26.0,DET,PG,81.0,81.0,2927.0,10.4,22.4,0.463,0.5,1.6,0.309,9.9,20.7,0.475,0.474,5.1,6.6,0.774,1.1,3.6,4.6,11.3,2.4,0.3,4.6,3.6,26.3,108.0,106.0,"MVP-12,AS"
18.0,Jack Sikma,32.0,MIL,PF,82.0,82.0,2923.0,8.7,17.8,0.486,0.1,0.2,0.214,8.6,17.6,0.489,0.487,5.4,5.9,0.922,3.3,8.7,11.9,4.7,1.6,1.3,2.6,5.3,22.8,115.0,105.0,
19.0,Bill Laimbeer,30.0,DET,C,82.0,82.0,2897.0,7.7,15.6,0.493,0.2,0.7,0.333,7.4,14.9,0.5,0.5,3.2,3.6,0.874,2.8,11.2,14.0,3.4,1.1,1.3,2.3,4.8,18.7,113.0,102.0,
20.0,Jerome Kersey,25.0,POR,SF,79.0,75.0,2888.0,9.8,19.7,0.499,0.0,0.2,0.2,9.8,19.4,0.502,0.5,4.7,6.4,0.735,3.4,7.2,10.5,3.9,2.0,1.0,2.6,4.8,24.3,113.0,106.0,
21.0,Maurice Cheeks,31.0,PHI,PG,79.0,79.0,2871.0,7.5,15.1,0.495,0.1,0.4,0.136,7.4,14.7,0.504,0.497,4.0,4.8,0.825,1.0,3.4,4.4,11.1,2.9,0.4,2.8,2.0,18.9,119.0,110.0,"DPOY-8,AS"
22.0,John Stockton,25.0,UTA,PG,82.0,79.0,2842.0,7.6,13.2,0.574,0.4,1.1,0.358,7.2,12.0,0.594,0.589,4.5,5.4,0.84,0.9,3.0,3.9,18.8,4.0,0.3,4.4,4.1,20.0,125.0,102.0,"MVP-10,DPOY-8,NBA2"
23.0,Hakeem Olajuwon,25.0,HOU,C,79.0,79.0,2825.0,11.9,23.1,0.514,0.0,0.1,0.0,11.9,23.1,0.516,0.514,6.4,9.1,0.695,5.0,11.0,16.0,2.7,2.7,3.6,4.1,5.4,30.1,109.0,98.0,"MVP-7,DPOY-3,AS,NBA1"
24.0,Alex English,34.0,DEN,SF,80.0,80.0,2818.0,13.6,27.5,0.495,0.0,0.1,0.0,13.6,27.4,0.496,0.495,5.1,6.1,0.828,2.7,3.3,6.0,6.1,1.1,0.4,2.9,3.1,32.3,111.0,110.0,"MVP-11,AS"
25.0,Charles Oakley,24.0,CHI,PF,82.0,82.0,2816.0,6.7,13.9,0.483,0.1,0.2,0.25,6.6,13.6,0.487,0.485,4.7,6.4,0.727,5.8,13.2,19.0,4.4,1.2,0.5,4.3,4.9,18.1,106.0,103.0,
26.0,Chuck Person,23.0,IND,SF,79.0,71.0,2807.0,10.0,21.8,0.459,1.0,3.1,0.333,9.0,18.8,0.48,0.483,2.3,3.4,0.67,3.0,6.4,9.4,5.4,1.3,0.1,3.7,4.6,23.4,101.0,108.0,
27.0,Thurl Bailey,26.0,UTA,SF,82.0,10.0,2804.0,10.7,21.7,0.492,0.0,0.1,0.333,10.7,21.6,0.493,0.493,5.7,6.9,0.826,2.3,6.7,9.0,2.7,0.8,2.1,3.2,3.1,27.0,106.0,104.0,6MOY-2
28.0,Dale Ellis,27.0,SEA,SG,75.0,73.0,2790.0,13.1,26.1,0.503,1.8,4.4,0.413,11.3,21.6,0.521,0.538,5.2,6.8,0.767,2.9,3.0,5.8,3.4,1.3,0.2,3.0,3.8,33.3,117.0,112.0,
29.0,Michael Adams,25.0,DEN,PG,82.0,75.0,2778.0,6.8,15.2,0.449,2.3,6.2,0.367,4.5,9.0,0.505,0.524,2.7,3.3,0.834,0.7,3.0,3.7,8.2,2.8,0.3,2.4,2.3,18.6,115.0,107.0,MVP-14
30.0,John Bagley,27.0,NJN,PG,82.0,74.0,2774.0,6.9,15.7,0.439,0.8,2.8,0.292,6.1,12.9,0.471,0.465,2.6,3.2,0.822,1.1,3.4,4.5,8.4,1.9,0.2,3.5,2.8,17.2,102.0,111.0,
31.0,Vern Fleming,25.0,IND,PG,80.0,80.0,2733.0,7.9,15.1,0.523,0.0,0.2,0.0,7.9,14.9,0.531,0.523,4.1,5.1,0.802,1.9,4.6,6.5,10.2,2.1,0.2,3.1,4.0,19.9,117.0,108.0,
32.0,Joe Dumars,24.0,DET,SG,82.0,82.0,2732.0,8.1,17.2,0.472,0.1,0.3,0.211,8.0,16.8,0.477,0.474,4.5,5.5,0.815,1.1,2.4,3.6,6.9,1.6,0.3,3.1,2.8,20.7,109.0,108.0,
33.0,Mark Eaton,31.0,UTA,C,82.0,82.0,2731.0,3.9,9.4,0.418,0.0,0.0,,3.9,9.4,0.418,0.418,2.1,3.3,0.623,4.0,8.4,12.4,1.0,0.7,5.3,2.3,5.5,9.9,94.0,101.0,DPOY-2
34.0,Gerald Wilkins,24.0,NYK,SG,81.0,78.0,2703.0,10.6,23.7,0.446,0.7,2.3,0.302,9.9,21.4,0.462,0.461,3.4,4.4,0.786,1.9,2.9,4.8,5.8,1.6,0.4,3.8,3.3,25.3,102.0,110.0,
35.0,Xavier McDaniel,24.0,SEA,SF,78.0,77.0,2703.0,12.2,24.9,0.488,0.2,0.9,0.28,11.9,24.0,0.496,0.493,5.0,7.0,0.715,3.7,5.5,9.2,4.7,1.7,0.9,4.0,4.1,29.6,108.0,109.0,AS
36.0,Steve Stipanovich,27.0,IND,C,80.0,80.0,2692.0,7.5,15.1,0.496,0.1,0.3,0.2,7.4,14.8,0.502,0.498,4.6,5.7,0.809,2.9,9.2,12.0,3.3,1.6,1.3,2.8,5.5,19.6,110.0,105.0,
37.0,Moses Malone,32.0,WSB,C,79.0,78.0,2692.0,9.7,19.8,0.487,0.0,0.1,0.286,9.6,19.7,0.488,0.488,9.9,12.5,0.788,6.8,9.3,16.1,2.0,1.1,1.3,4.5,2.9,29.2,113.0,106.0,AS
