Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
1.0,George Gervin,29.0,SAS,SG,79.0,79.0,2817.0,12.569620253164556,25.151898734177216,0.5,10.0,36.0,0.278,983.0,1951.0,0.504,0.502,7.025316455696203,8.126582278481013,0.864,138.0,254.0,392.0,187.0,77.0,45.0,210.0,215.0,32.29113924050633,0.0,"MVP-6,AS,NBA1"
2.0,Moses Malone,26.0,HOU,C,81.0,81.0,3398.0,11.666666666666666,22.493827160493826,0.519,0.0,6.0,0.0,945.0,1816.0,0.52,0.519,7.777777777777778,10.209876543209877,0.762,558.0,630.0,1188.0,142.0,76.0,125.0,294.0,208.0,31.11111111111111,0.0,"MVP-1,AS,NBA1"
3.0,Adrian Dantley,26.0,UTA,SF,81.0,81.0,3222.0,11.160493827160494,19.580246913580247,0.57,1.0,3.0,0.333,903.0,1583.0,0.57,0.57,8.0,10.098765432098766,0.792,231.0,283.0,514.0,324.0,95.0,14.0,299.0,252.0,30.333333333333332,1.0,"MVP-15,AS"
4.0,Alex English,28.0,DEN,SF,82.0,82.0,3015.0,10.426829268292684,18.9390243902439,0.551,0.0,8.0,0.0,855.0,1545.0,0.553,0.551,4.536585365853658,5.402439024390244,0.84,210.0,348.0,558.0,433.0,87.0,120.0,261.0,261.0,25.390243902439025,3.0,"MVP-13,AS,NBA2"
5.0,Julius Erving,31.0,PHI,SF,81.0,81.0,2789.0,9.62962962962963,17.62962962962963,0.546,3.0,11.0,0.273,777.0,1417.0,0.548,0.547,5.074074074074074,6.654320987654321,0.763,220.0,337.0,557.0,319.0,161.0,141.0,214.0,229.0,24.37037037037037,0.0,"MVP-3,AS,NBA1"
6.0,Gus Williams,28.0,SEA,PG,80.0,80.0,2876.0,9.6625,19.9,0.486,9.0,40.0,0.225,764.0,1552.0,0.492,0.488,4.0,5.45,0.734,92.0,152.0,244.0,549.0,172.0,36.0,197.0,163.0,23.4375,1.0,"MVP-5,AS,NBA1"
7.0,Dan Issel,33.0,DEN,C,81.0,81.0,2472.0,8.037037037037036,15.25925925925926,0.527,4.0,6.0,0.667,647.0,1230.0,0.526,0.528,6.7407407407407405,8.08641975308642,0.834,174.0,434.0,608.0,179.0,67.0,55.0,169.0,245.0,22.864197530864196,0.0,MVP-17
8.0,Bernard King,25.0,GSW,SF,79.0,77.0,2861.0,9.367088607594937,16.544303797468356,0.566,1.0,5.0,0.2,739.0,1302.0,0.568,0.567,4.455696202531645,6.3164556962025316,0.705,140.0,329.0,469.0,282.0,78.0,23.0,267.0,285.0,23.20253164556962,0.0,"MVP-14,AS,NBA2"
9.0,Kareem Abdul-Jabbar,34.0,LAL,C,76.0,76.0,2677.0,9.907894736842104,17.11842105263158,0.579,0.0,3.0,0.0,753.0,1298.0,0.58,0.579,4.105263157894737,5.815789473684211,0.706,172.0,487.0,659.0,225.0,63.0,207.0,230.0,224.0,23.92105263157895,1.0,"MVP-10,AS"
10.0,World B. Free,28.0,GSW,SG,78.0,78.0,2796.0,8.333333333333334,18.615384615384617,0.448,10.0,56.0,0.179,640.0,1396.0,0.458,0.451,6.141025641025641,8.294871794871796,0.74,118.0,130.0,248.0,419.0,71.0,8.0,208.0,222.0,22.935897435897434,0.0,
11.0,Kelly Tripucka,22.0,DET,SF,82.0,82.0,3077.0,7.7560975609756095,15.621951219512194,0.496,5.0,22.0,0.227,631.0,1259.0,0.501,0.498,6.036585365853658,7.573170731707317,0.797,219.0,224.0,443.0,270.0,89.0,16.0,280.0,241.0,21.609756097560975,0.0,"MVP-11,ROY-2,AS"
12.0,Larry Bird,25.0,BOS,PF,77.0,58.0,2923.0,9.233766233766234,18.363636363636363,0.503,11.0,52.0,0.212,700.0,1362.0,0.514,0.507,4.259740259740259,4.935064935064935,0.863,200.0,637.0,837.0,447.0,143.0,66.0,254.0,244.0,22.87012987012987,3.0,"MVP-2,AS,NBA1"
13.0,Kiki Vandeweghe,23.0,DEN,PF,82.0,78.0,2775.0,8.609756097560975,15.365853658536585,0.56,1.0,13.0,0.077,705.0,1247.0,0.565,0.561,4.2317073170731705,4.939024390243903,0.857,149.0,312.0,461.0,247.0,52.0,29.0,189.0,217.0,21.463414634146343,0.0,
14.0,Jamaal Wilkes,28.0,LAL,SF,82.0,82.0,2906.0,9.073170731707316,17.28048780487805,0.525,0.0,4.0,0.0,744.0,1413.0,0.527,0.525,3.0,4.097560975609756,0.732,153.0,240.0,393.0,143.0,89.0,24.0,164.0,240.0,21.146341463414632,0.0,MVP-21
15.0,Jay Vincent,22.0,DAL,PF,81.0,62.0,2626.0,8.876543209876543,17.876543209876544,0.497,1.0,4.0,0.25,718.0,1444.0,0.497,0.497,3.617283950617284,5.049382716049383,0.716,182.0,383.0,565.0,176.0,89.0,22.0,194.0,308.0,21.382716049382715,0.0,"MVP-21,ROY-3"
16.0,Mike Mitchell,26.0,2TM,SF,84.0,83.0,3063.0,8.964285714285714,17.583333333333332,0.51,0.0,7.0,0.0,753.0,1470.0,0.512,0.51,2.619047619047619,3.5952380952380953,0.728,244.0,346.0,590.0,82.0,60.0,43.0,153.0,277.0,20.547619047619047,0.0,
17.0,Ray Williams,27.0,NJN,SG,82.0,69.0,2732.0,7.7926829268292686,16.865853658536587,0.462,9.0,54.0,0.167,630.0,1329.0,0.474,0.465,4.719512195121951,5.670731707317073,0.832,117.0,208.0,325.0,488.0,199.0,43.0,290.0,302.0,20.414634146341463,0.0,MVP-16
18.0,Mychal Thompson,27.0,POR,C,79.0,78.0,3129.0,8.620253164556962,16.49367088607595,0.523,0.0,0.0,,681.0,1303.0,0.523,0.523,3.5443037974683542,5.6455696202531644,0.628,258.0,663.0,921.0,319.0,69.0,107.0,245.0,233.0,20.78481012658228,0.0,MVP-21
19.0,Jack Sikma,26.0,SEA,C,82.0,82.0,3049.0,7.085365853658536,14.78048780487805,0.479,2.0,13.0,0.154,579.0,1199.0,0.483,0.48,5.451219512195122,6.378048780487805,0.855,223.0,815.0,1038.0,277.0,102.0,107.0,213.0,268.0,19.646341463414632,1.0,"MVP-9,AS"
20.0,Robert Parish,28.0,BOS,C,80.0,78.0,2534.0,8.3625,15.4375,0.542,0.0,0.0,,669.0,1235.0,0.542,0.542,3.15,4.4375,0.71,288.0,578.0,866.0,140.0,68.0,192.0,221.0,267.0,19.875,0.0,"MVP-4,AS,NBA2"
21.0,Darrell Griffith,23.0,UTA,SG,80.0,79.0,2597.0,8.6125,17.8625,0.482,15.0,52.0,0.288,674.0,1377.0,0.489,0.487,2.3625,3.3875,0.697,128.0,177.0,305.0,187.0,95.0,34.0,193.0,213.0,19.775,0.0,
22.0,Sidney Moncrief,24.0,MIL,SG,80.0,80.0,2980.0,6.95,13.2875,0.523,1.0,14.0,0.071,555.0,1049.0,0.529,0.524,5.85,7.1625,0.817,221.0,313.0,534.0,382.0,138.0,22.0,208.0,206.0,19.7625,0.0,"MVP-7,AS,NBA2"
23.0,Dennis Johnson,27.0,PHO,SG,80.0,77.0,2937.0,7.2125,15.35,0.47,8.0,42.0,0.19,569.0,1186.0,0.48,0.473,4.9875,6.1875,0.806,142.0,268.0,410.0,369.0,105.0,55.0,233.0,253.0,19.5125,0.0,"MVP-21,AS"
24.0,Jim Paxson,24.0,POR,SG,82.0,82.0,2756.0,8.073170731707316,15.341463414634147,0.526,8.0,35.0,0.229,654.0,1223.0,0.535,0.529,2.682926829268293,3.5,0.767,75.0,146.0,221.0,276.0,129.0,12.0,144.0,159.0,18.926829268292682,0.0,
25.0,Artis Gilmore,32.0,CHI,C,82.0,82.0,2796.0,6.658536585365853,10.207317073170731,0.652,1.0,1.0,1.0,545.0,836.0,0.652,0.653,5.170731707317073,6.7317073170731705,0.768,224.0,611.0,835.0,136.0,49.0,220.0,227.0,287.0,18.5,0.0,AS
