Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
1.0,CJ McCollum,28.0,POR,SG,70.0,70.0,2556.0,11.4,25.3,0.451,3.6,9.5,0.379,7.8,15.7,0.494,0.522,2.6,3.4,0.757,0.9,4.7,5.5,5.8,1.0,0.8,2.4,3.4,29.0,111.0,118.0,
2.0,Devin Booker,23.0,PHO,SG,70.0,70.0,2512.0,11.8,24.2,0.489,2.7,7.5,0.354,9.2,16.7,0.549,0.544,8.8,9.6,0.919,0.5,5.1,5.6,8.6,0.9,0.3,5.0,4.0,35.1,115.0,114.0,AS
3.0,James Harden,30.0,HOU,SG,68.0,68.0,2483.0,12.5,28.2,0.444,5.6,15.7,0.355,7.0,12.5,0.556,0.543,12.9,14.9,0.865,1.3,7.0,8.3,9.5,2.3,1.1,5.7,4.2,43.5,120.0,108.0,"MVP-3,AS,NBA1"
4.0,Harrison Barnes,27.0,SAC,PF,72.0,72.0,2482.0,7.1,15.5,0.46,2.0,5.2,0.381,5.1,10.3,0.501,0.525,4.2,5.2,0.801,1.5,5.4,6.9,3.1,0.8,0.2,1.7,1.8,20.4,116.0,116.0,
5.0,Damian Lillard,29.0,POR,PG,66.0,66.0,2474.0,12.0,26.0,0.463,5.2,13.0,0.401,6.8,13.0,0.524,0.563,8.9,10.0,0.888,0.6,4.8,5.5,10.2,1.3,0.4,3.7,2.2,38.1,126.0,117.0,"MVP-8,AS,NBA2"
6.0,Tobias Harris,27.0,PHI,PF,72.0,72.0,2469.0,10.9,23.0,0.471,2.6,7.0,0.367,8.3,16.0,0.517,0.527,3.4,4.2,0.806,1.4,8.4,9.7,4.5,1.0,0.8,2.0,3.2,27.7,113.0,110.0,
7.0,P.J. Tucker,34.0,HOU,PF,72.0,72.0,2467.0,3.3,8.0,0.415,2.0,5.6,0.358,1.3,2.4,0.551,0.541,0.7,0.9,0.813,2.1,6.8,8.9,2.2,1.4,0.7,1.4,4.3,9.4,114.0,111.0,
8.0,Shai Gilgeous-Alexander,21.0,OKC,SG,70.0,70.0,2428.0,9.6,20.3,0.471,1.7,5.0,0.347,7.8,15.3,0.512,0.514,5.8,7.1,0.807,0.9,7.3,8.2,4.6,1.6,0.9,2.7,2.3,26.6,111.0,109.0,
9.0,Bam Adebayo,22.0,MIA,PF,72.0,72.0,2417.0,8.9,16.0,0.557,0.0,0.3,0.143,8.8,15.7,0.564,0.558,5.3,7.7,0.691,3.6,11.3,14.8,7.4,1.7,1.9,4.1,3.7,23.1,116.0,106.0,"DPOY-5,AS"
10.0,Donovan Mitchell,23.0,UTA,SG,69.0,69.0,2364.0,12.4,27.6,0.449,3.6,9.7,0.366,8.8,17.9,0.494,0.513,5.7,6.6,0.863,1.1,5.2,6.3,6.1,1.4,0.3,3.8,3.5,34.1,110.0,111.0,AS
11.0,Nikola Jokić,24.0,DEN,C,73.0,73.0,2336.0,12.0,22.7,0.528,1.7,5.4,0.314,10.3,17.3,0.594,0.565,5.2,6.4,0.817,3.5,11.5,15.0,10.8,1.8,0.9,4.8,4.7,30.8,119.0,108.0,"MVP-9,AS,NBA2"
12.0,Rudy Gobert,27.0,UTA,C,68.0,68.0,2333.0,8.1,11.6,0.693,0.0,0.0,,8.1,11.6,0.693,0.693,5.3,8.4,0.63,4.8,14.3,19.1,2.1,1.1,2.8,2.7,4.5,21.4,130.0,104.0,"DPOY-3,AS,NBA3"
13.0,DeMar DeRozan,30.0,SAS,SF,68.0,68.0,2316.0,11.5,21.6,0.531,0.2,0.7,0.257,11.3,20.9,0.54,0.535,7.9,9.3,0.845,0.9,6.8,7.7,7.8,1.4,0.4,3.4,3.7,31.0,118.0,115.0,
14.0,LeBron James,35.0,LAL,PG,67.0,67.0,2316.0,13.2,26.8,0.493,3.0,8.7,0.348,10.2,18.0,0.564,0.55,5.4,7.8,0.693,1.4,9.4,10.8,14.0,1.6,0.7,5.4,2.4,34.9,116.0,106.0,"MVP-2,AS,NBA1"
15.0,Jayson Tatum,21.0,BOS,PF,66.0,66.0,2265.0,11.8,26.1,0.45,4.0,10.0,0.403,7.7,16.1,0.48,0.527,5.4,6.7,0.812,1.4,8.4,9.8,4.3,2.0,1.2,3.3,2.9,33.0,111.0,106.0,"MVP-12,AS,NBA3"
16.0,Buddy Hield,27.0,SAC,SG,72.0,44.0,2216.0,10.9,25.4,0.429,5.9,15.1,0.394,5.0,10.4,0.479,0.545,2.5,3.0,0.846,1.2,5.9,7.2,4.7,1.4,0.4,3.7,3.6,30.3,106.0,114.0,
