Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards
1.0,Jerry West,31.0,LAL,PG,74.0,,42.0,11.2,22.6,0.497,8.7,10.6,0.824,4.6,7.5,2.2,31.2,"MVP-2,AS,NBA1"
2.0,Kareem Abdul-Jabbar,22.0,MIL,C,82.0,,43.1,11.4,22.1,0.518,5.9,9.1,0.653,14.5,4.1,3.5,28.8,"MVP-3,ROY-1,AS,NBA2"
3.0,Elvin Hayes,24.0,SDR,C,82.0,,44.7,11.1,24.6,0.452,5.2,7.6,0.688,16.9,2.0,3.3,27.5,AS
5.0,Billy Cunningham,26.0,PHI,SF,81.0,,39.4,9.9,21.1,0.469,6.3,8.6,0.729,13.6,4.3,4.1,26.1,"MVP-5,AS,NBA1"
6.0,Lou Hudson,25.0,ATL,SF,80.0,,38.6,10.4,19.6,0.531,4.6,5.6,0.824,4.7,3.5,2.8,25.4,"MVP-7,AS,NBA2"
7.0,Oscar Robertson,31.0,CIN,PG,69.0,,41.5,9.4,18.4,0.511,6.6,8.1,0.809,6.1,8.1,2.5,25.3,"MVP-16,AS,NBA2"
8.0,Connie Hawkins,27.0,PHO,SF,81.0,,40.9,8.8,17.9,0.49,7.1,9.1,0.779,10.4,4.8,3.5,24.6,"MVP-5,AS,NBA1"
9.0,Bob Rule,25.0,SEA,C,80.0,,37.0,9.9,21.3,0.463,4.8,6.8,0.714,10.3,1.8,3.5,24.6,AS
10.0,John Havlicek,29.0,BOS,SG,81.0,,41.6,9.1,19.6,0.464,6.0,7.1,0.844,7.8,6.8,2.6,24.2,"MVP-10,AS,NBA2"
12.0,Earl Monroe,25.0,BAL,PG,82.0,,37.2,8.5,19.0,0.446,6.5,7.8,0.83,3.1,4.9,3.1,23.4,MVP-16
13.0,Dave Bing,26.0,DET,PG,70.0,,33.3,8.2,18.5,0.444,6.5,8.3,0.783,4.3,6.0,2.8,22.9,
14.0,Tom Van Arsdale,26.0,CIN,SF,71.0,,35.8,8.7,19.4,0.451,5.4,6.9,0.774,6.5,2.2,3.5,22.8,AS
15.0,Jeff Mullins,27.0,SFW,SG,74.0,,38.7,8.9,19.3,0.46,4.3,5.1,0.847,5.2,4.9,3.2,22.1,AS
16.0,Hal Greer,33.0,PHI,SG,80.0,,37.8,8.8,19.4,0.455,4.4,5.4,0.815,4.7,5.1,3.8,22.0,AS
19.0,Flynn Robinson,28.0,MIL,PG,81.0,,34.1,8.2,17.2,0.477,5.4,6.0,0.898,3.2,5.5,3.1,21.8,AS
20.0,Willis Reed,27.0,NYK,C,81.0,81.0,38.1,8.7,17.1,0.507,4.3,5.7,0.756,13.9,2.0,3.5,21.7,"MVP-1,AS,NBA1"
21.0,Chet Walker,29.0,CHI,SF,78.0,,34.9,7.6,16.0,0.477,6.2,7.3,0.85,7.7,2.5,2.6,21.5,AS
22.0,Dick Van Arsdale,26.0,PHO,SG,77.0,,38.5,7.7,15.1,0.508,6.0,7.5,0.798,3.4,4.4,3.7,21.3,AS
23.0,Joe Caldwell,28.0,ATL,SG,82.0,,34.8,8.2,16.2,0.507,4.6,6.7,0.688,5.0,3.5,3.1,21.1,"MVP-12,AS"
24.0,Bob Love,27.0,CHI,PF,82.0,,38.1,7.8,16.7,0.466,5.4,6.4,0.842,8.7,1.8,3.2,21.0,MVP-16
25.0,Walt Frazier,24.0,NYK,PG,77.0,77.0,39.5,7.8,15.0,0.518,5.3,7.1,0.748,6.0,8.2,2.6,20.9,"MVP-4,AS,NBA1"
26.0,Jimmy Walker,25.0,DET,SG,81.0,,35.4,8.2,17.2,0.478,4.4,5.4,0.807,3.0,3.1,2.5,20.8,AS
27.0,Clem Haskins,26.0,CHI,SG,82.0,,39.2,8.1,18.1,0.45,4.0,5.2,0.783,4.6,7.6,2.9,20.3,
28.0,Gail Goodrich,26.0,PHO,PG,81.0,,39.9,7.0,15.4,0.454,6.0,7.5,0.808,4.2,7.5,3.1,20.0,
29.0,Archie Clark,28.0,PHI,PG,76.0,,36.5,7.8,15.8,0.496,4.1,5.2,0.785,4.0,5.0,2.6,19.7,
30.0,Jack Marin,25.0,BAL,SF,82.0,,35.9,8.1,16.6,0.489,3.5,4.1,0.844,6.5,2.6,3.0,19.7,
31.0,Happy Hairston,27.0,2TM,PF,70.0,,34.7,6.9,13.9,0.496,4.7,5.9,0.789,11.1,1.7,3.3,18.5,
32.0,Lenny Wilkens,32.0,SEA,PG,75.0,,37.4,6.0,14.2,0.42,5.8,7.4,0.788,5.0,9.1,2.8,17.8,AS
33.0,Jon McGlocklin,26.0,MIL,SG,82.0,,36.2,7.8,14.7,0.53,2.1,2.4,0.854,3.1,3.7,2.0,17.6,
34.0,Gus Johnson,31.0,BAL,PF,78.0,,37.4,7.4,16.4,0.451,2.5,3.5,0.724,13.9,3.4,3.4,17.3,"AS,NBA2"
35.0,Connie Dierking,33.0,CIN,C,76.0,,32.2,6.9,16.4,0.419,3.0,4.0,0.752,8.2,2.2,3.6,16.7,
36.0,Wes Unseld,23.0,BAL,C,82.0,,39.4,6.4,12.4,0.518,3.3,5.2,0.638,16.7,3.5,3.0,16.2,MVP-8
37.0,Joe Ellis,25.0,SFW,SF,76.0,,31.3,6.6,16.1,0.41,2.6,3.6,0.741,7.8,1.8,3.7,15.8,
38.0,Johnny Green,36.0,CIN,PF,78.0,,29.2,6.2,11.0,0.559,3.3,5.5,0.592,10.8,1.4,3.4,15.6,
40.0,Don Nelson,29.0,BOS,PF,82.0,,27.1,5.6,11.2,0.501,4.1,5.3,0.775,7.3,1.8,2.9,15.4,
41.0,Walt Hazzard,27.0,ATL,PG,82.0,,33.6,6.0,12.9,0.467,3.3,4.0,0.809,4.0,6.8,3.2,15.3,MVP-12
43.0,Bob Boozer,32.0,SEA,PF,82.0,,31.1,6.0,12.3,0.491,3.2,3.9,0.822,8.7,1.3,2.9,15.2,
44.0,Jerry Lucas,29.0,2TM,PF,67.0,,36.1,6.0,11.9,0.507,3.0,3.8,0.784,14.2,2.6,2.4,15.1,
45.0,Dick Barnett,33.0,NYK,SG,82.0,82.0,33.8,6.0,12.7,0.475,2.8,4.0,0.714,2.7,3.6,2.7,14.9,
46.0,Jim Barnett,25.0,SDR,SG,80.0,,26.3,5.6,12.5,0.451,3.6,4.6,0.79,3.8,3.6,2.8,14.9,
47.0,Bill Bridges,30.0,ATL,PF,82.0,,39.9,5.4,11.4,0.475,4.0,5.5,0.734,14.4,4.2,3.6,14.8,"MVP-8,AS"
48.0,Fred Foster,23.0,CIN,SF,74.0,,28.1,6.2,13.9,0.449,2.4,3.3,0.724,4.2,1.4,2.8,14.8,
49.0,Ron Williams,25.0,SFW,PG,80.0,,30.4,5.7,13.1,0.432,3.5,4.2,0.822,2.4,5.3,3.6,14.8,
50.0,Dave DeBusschere,29.0,NYK,PF,79.0,79.0,33.3,6.2,13.7,0.451,2.2,3.2,0.688,10.0,2.5,3.1,14.6,AS
