Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
1.0,Kobe Bryant,28.0,LAL,SG,77.0,77.0,3140.0,10.558441558441558,22.818181818181817,0.463,137.0,398.0,0.344,676.0,1359.0,0.497,0.502,8.662337662337663,9.974025974025974,0.868,75.0,364.0,439.0,413.0,111.0,36.0,255.0,205.0,31.558441558441558,0.0,"MVP-3,DPOY-24,AS,NBA1"
2.0,LeBron James,22.0,CLE,SF,78.0,78.0,3190.0,9.897435897435898,20.78205128205128,0.476,99.0,310.0,0.319,673.0,1311.0,0.513,0.507,6.269230769230769,8.987179487179487,0.698,83.0,443.0,526.0,470.0,125.0,55.0,250.0,171.0,27.333333333333332,1.0,"MVP-5,AS,NBA2"
3.0,Gilbert Arenas,25.0,WAS,PG,74.0,73.0,2942.0,8.743243243243244,20.91891891891892,0.418,205.0,584.0,0.351,442.0,964.0,0.459,0.484,8.18918918918919,9.702702702702704,0.844,61.0,277.0,338.0,443.0,139.0,13.0,236.0,249.0,28.445945945945947,0.0,"MVP-8,AS,NBA2"
4.0,Vince Carter,30.0,NJN,SG,82.0,82.0,3126.0,8.853658536585366,19.48780487804878,0.454,156.0,437.0,0.357,570.0,1161.0,0.491,0.503,5.634146341463414,7.024390243902439,0.802,114.0,378.0,492.0,393.0,82.0,30.0,217.0,266.0,25.24390243902439,2.0,AS
5.0,Dirk Nowitzki,28.0,DAL,PF,78.0,78.0,2820.0,8.628205128205128,17.192307692307693,0.502,72.0,173.0,0.416,601.0,1168.0,0.515,0.529,6.384615384615385,7.064102564102564,0.904,122.0,571.0,693.0,263.0,52.0,62.0,167.0,171.0,24.564102564102566,0.0,"MVP-1,AS,NBA1"
6.0,Carmelo Anthony,22.0,DEN,SF,65.0,65.0,2486.0,10.63076923076923,22.353846153846153,0.476,40.0,149.0,0.268,651.0,1304.0,0.499,0.489,7.061538461538461,8.738461538461538,0.808,143.0,248.0,391.0,249.0,77.0,23.0,234.0,203.0,28.93846153846154,1.0,"MVP-15,AS,NBA3"
7.0,Ben Gordon,23.0,CHI,SG,82.0,51.0,2704.0,7.426829268292683,16.317073170731707,0.455,155.0,375.0,0.413,454.0,963.0,0.471,0.513,4.634146341463414,5.365853658536586,0.864,35.0,223.0,258.0,296.0,64.0,17.0,249.0,252.0,21.378048780487806,0.0,
8.0,Tracy McGrady,27.0,HOU,SG,71.0,71.0,2539.0,8.985915492957746,20.845070422535212,0.431,126.0,381.0,0.331,512.0,1099.0,0.466,0.474,4.859154929577465,6.873239436619718,0.707,56.0,322.0,378.0,458.0,92.0,36.0,213.0,136.0,24.6056338028169,0.0,"MVP-6,AS,NBA2"
9.0,Allen Iverson,31.0,2TM,SG,65.0,64.0,2761.0,8.938461538461539,20.2,0.442,62.0,197.0,0.315,519.0,1116.0,0.465,0.466,7.461538461538462,9.384615384615385,0.795,23.0,170.0,193.0,468.0,123.0,13.0,268.0,95.0,26.29230769230769,0.0,AS
10.0,Kevin Garnett,30.0,MIN,PF,76.0,76.0,2995.0,8.394736842105264,17.644736842105264,0.476,12.0,56.0,0.214,626.0,1285.0,0.487,0.48,5.473684210526316,6.552631578947368,0.835,183.0,792.0,975.0,313.0,89.0,126.0,205.0,184.0,22.42105263157895,3.0,"MVP-9,DPOY-13,AS,NBA3"
11.0,Amar'e Stoudemire,24.0,PHO,C,82.0,78.0,2689.0,7.402439024390244,12.865853658536585,0.575,0.0,3.0,0.0,607.0,1052.0,0.577,0.575,5.573170731707317,7.134146341463414,0.781,222.0,564.0,786.0,84.0,78.0,110.0,232.0,295.0,20.378048780487806,0.0,"MVP-14,AS,NBA1"
12.0,Elton Brand,27.0,LAC,PF,80.0,80.0,3077.0,8.0625,15.1375,0.533,1.0,1.0,1.0,644.0,1210.0,0.532,0.533,4.3875,5.7625,0.761,268.0,476.0,744.0,235.0,77.0,179.0,202.0,238.0,20.525,0.0,
13.0,Kevin Martin,23.0,SAC,SG,80.0,80.0,2818.0,6.3125,13.3375,0.473,127.0,333.0,0.381,378.0,734.0,0.515,0.533,6.0125,7.125,0.844,69.0,273.0,342.0,173.0,98.0,11.0,135.0,181.0,20.225,0.0,
14.0,Zach Randolph,25.0,POR,PF,68.0,67.0,2425.0,8.823529411764707,18.91176470588235,0.467,14.0,48.0,0.292,586.0,1238.0,0.473,0.472,5.794117647058823,7.073529411764706,0.819,199.0,489.0,688.0,147.0,53.0,15.0,215.0,184.0,23.647058823529413,0.0,
15.0,Tim Duncan,30.0,SAS,C,80.0,80.0,2726.0,7.725,14.1375,0.546,1.0,9.0,0.111,617.0,1122.0,0.55,0.547,4.525,7.1,0.637,213.0,633.0,846.0,273.0,66.0,190.0,224.0,203.0,19.9875,0.0,"MVP-4,DPOY-3,AS,NBA1"
16.0,Eddy Curry,24.0,NYK,C,81.0,81.0,2849.0,7.222222222222222,12.54320987654321,0.576,1.0,1.0,1.0,584.0,1015.0,0.575,0.576,5.0,8.135802469135802,0.615,195.0,376.0,571.0,68.0,34.0,40.0,295.0,265.0,19.45679012345679,0.0,
17.0,Chris Bosh,22.0,TOR,C,69.0,69.0,2658.0,7.869565217391305,15.855072463768115,0.496,12.0,35.0,0.343,531.0,1059.0,0.501,0.502,6.7101449275362315,8.55072463768116,0.785,186.0,555.0,741.0,175.0,39.0,90.0,179.0,163.0,22.6231884057971,0.0,"MVP-7,AS,NBA2"
18.0,Carlos Boozer,25.0,UTA,PF,74.0,74.0,2557.0,8.743243243243244,15.594594594594595,0.561,0.0,0.0,,647.0,1154.0,0.561,0.561,3.445945945945946,5.027027027027027,0.685,235.0,632.0,867.0,221.0,70.0,21.0,194.0,217.0,20.93243243243243,0.0,"MVP-9,AS"
19.0,Luol Deng,21.0,CHI,SF,82.0,82.0,3071.0,7.682926829268292,14.853658536585366,0.517,1.0,7.0,0.143,629.0,1211.0,0.519,0.518,3.402439024390244,4.378048780487805,0.777,148.0,431.0,579.0,204.0,97.0,48.0,153.0,167.0,18.78048780487805,0.0,DPOY-20
20.0,Richard Hamilton,28.0,DET,SG,75.0,75.0,2763.0,7.293333333333333,15.6,0.468,44.0,129.0,0.341,503.0,1041.0,0.483,0.486,4.626666666666667,5.373333333333333,0.861,75.0,207.0,282.0,285.0,59.0,15.0,159.0,232.0,19.8,0.0,AS
22.0,Leandro Barbosa,24.0,PHO,SG,80.0,18.0,2613.0,6.6125,13.8875,0.476,190.0,438.0,0.434,339.0,673.0,0.504,0.562,2.45,2.9,0.845,22.0,192.0,214.0,317.0,96.0,15.0,146.0,210.0,18.05,0.0,6MOY-1
23.0,Dwight Howard,21.0,ORL,C,82.0,82.0,3023.0,6.414634146341464,10.646341463414634,0.603,1.0,2.0,0.5,525.0,871.0,0.603,0.603,4.7560975609756095,8.121951219512194,0.586,283.0,725.0,1008.0,158.0,70.0,156.0,317.0,245.0,17.597560975609756,0.0,"DPOY-16,AS,NBA3"
24.0,Tony Parker,24.0,SAS,PG,77.0,77.0,2499.0,7.402597402597403,14.233766233766234,0.52,15.0,38.0,0.395,555.0,1058.0,0.525,0.527,3.5584415584415585,4.545454545454546,0.783,34.0,216.0,250.0,420.0,82.0,6.0,191.0,137.0,18.558441558441558,0.0,"MVP-15,AS"
27.0,Steve Nash,32.0,PHO,PG,76.0,76.0,2682.0,6.802631578947368,12.776315789473685,0.532,156.0,343.0,0.455,361.0,628.0,0.575,0.613,2.9210526315789473,3.25,0.899,30.0,239.0,269.0,884.0,57.0,6.0,287.0,117.0,18.57894736842105,0.0,"MVP-2,AS,NBA1"
28.0,Mehmet Okur,27.0,UTA,C,80.0,80.0,2664.0,6.125,13.2625,0.462,129.0,336.0,0.384,361.0,725.0,0.498,0.523,3.7,4.8375,0.765,160.0,419.0,579.0,156.0,36.0,38.0,125.0,257.0,17.5625,0.0,AS
29.0,Mike Bibby,28.0,SAC,PG,82.0,82.0,2784.0,5.7439024390243905,14.21951219512195,0.404,173.0,481.0,0.36,298.0,685.0,0.435,0.478,3.5121951219512195,4.2317073170731705,0.83,39.0,224.0,263.0,388.0,88.0,6.0,197.0,139.0,17.109756097560975,0.0,
30.0,Shawn Marion,28.0,PHO,SF,80.0,80.0,3010.0,7.0125,13.3875,0.524,80.0,252.0,0.317,481.0,819.0,0.587,0.561,2.5125,3.1,0.81,172.0,613.0,785.0,134.0,156.0,122.0,114.0,216.0,17.5375,0.0,"DPOY-4,AS"
32.0,Antawn Jamison,30.0,WAS,PF,70.0,70.0,2662.0,7.314285714285714,16.271428571428572,0.45,138.0,379.0,0.364,374.0,760.0,0.492,0.51,3.2285714285714286,4.385714285714286,0.736,134.0,428.0,562.0,136.0,80.0,36.0,104.0,194.0,19.82857142857143,0.0,
33.0,Andre Iguodala,23.0,PHI,SG,76.0,76.0,3062.0,5.828947368421052,13.039473684210526,0.447,48.0,155.0,0.31,395.0,836.0,0.472,0.471,5.947368421052632,7.25,0.82,77.0,357.0,434.0,432.0,152.0,33.0,261.0,200.0,18.236842105263158,3.0,DPOY-24
34.0,Ricky Davis,27.0,MIN,SF,81.0,81.0,3021.0,6.246913580246914,13.444444444444445,0.465,123.0,310.0,0.397,383.0,779.0,0.492,0.521,2.950617283950617,3.5185185185185186,0.839,54.0,261.0,315.0,385.0,80.0,23.0,210.0,189.0,16.962962962962962,0.0,
35.0,Jason Terry,29.0,DAL,SG,81.0,80.0,2846.0,6.345679012345679,13.123456790123457,0.484,162.0,370.0,0.438,352.0,693.0,0.508,0.56,1.9753086419753085,2.45679012345679,0.804,41.0,190.0,231.0,422.0,81.0,17.0,152.0,170.0,16.666666666666668,0.0,
36.0,Rashard Lewis,27.0,SEA,SF,60.0,60.0,2348.0,7.716666666666667,16.75,0.461,151.0,387.0,0.39,312.0,618.0,0.505,0.536,4.416666666666667,5.25,0.841,91.0,305.0,396.0,145.0,68.0,39.0,118.0,143.0,22.366666666666667,0.0,
37.0,Jermaine O'Neal,28.0,IND,C,69.0,69.0,2459.0,7.217391304347826,16.536231884057973,0.436,0.0,7.0,0.0,498.0,1134.0,0.439,0.436,4.971014492753623,6.478260869565218,0.767,153.0,508.0,661.0,167.0,50.0,182.0,203.0,232.0,19.405797101449274,0.0,"DPOY-10,AS"
38.0,Kirk Hinrich,26.0,CHI,PG,80.0,80.0,2839.0,5.9375,13.2625,0.448,140.0,337.0,0.415,335.0,724.0,0.463,0.514,2.9625,3.55,0.835,32.0,242.0,274.0,500.0,100.0,23.0,191.0,274.0,16.5875,0.0,DPOY-13
39.0,Josh Howard,26.0,DAL,SF,70.0,69.0,2455.0,7.042857142857143,15.357142857142858,0.459,92.0,239.0,0.385,401.0,836.0,0.48,0.501,3.4714285714285715,4.2,0.827,130.0,345.0,475.0,127.0,82.0,56.0,123.0,180.0,18.87142857142857,0.0,"DPOY-18,AS"
40.0,Metta World Peace,27.0,SAC,SF,70.0,65.0,2641.0,6.542857142857143,14.857142857142858,0.44,93.0,260.0,0.358,365.0,780.0,0.468,0.485,4.385714285714286,5.928571428571429,0.74,102.0,352.0,454.0,235.0,149.0,43.0,146.0,205.0,18.8,0.0,DPOY-8
41.0,Gerald Wallace,24.0,CHA,SF,72.0,71.0,2640.0,6.638888888888889,13.222222222222221,0.502,39.0,120.0,0.325,439.0,832.0,0.528,0.523,4.291666666666667,6.208333333333333,0.691,142.0,376.0,518.0,185.0,144.0,69.0,160.0,209.0,18.11111111111111,0.0,DPOY-7
42.0,Deron Williams,22.0,UTA,PG,80.0,80.0,2950.0,6.175,13.5375,0.456,82.0,255.0,0.322,412.0,828.0,0.498,0.494,2.8375,3.7,0.767,41.0,226.0,267.0,745.0,78.0,13.0,246.0,254.0,16.2125,0.0,
43.0,Mike Miller,26.0,MEM,SG,70.0,69.0,2740.0,6.642857142857143,14.428571428571429,0.46,202.0,498.0,0.406,263.0,512.0,0.514,0.56,2.3,2.9,0.793,52.0,326.0,378.0,298.0,54.0,18.0,179.0,138.0,18.47142857142857,0.0,
44.0,Al Harrington,26.0,2TM,PF,78.0,78.0,2563.0,6.346153846153846,13.884615384615385,0.457,127.0,293.0,0.433,368.0,790.0,0.466,0.516,2.1538461538461537,3.1025641025641026,0.694,151.0,345.0,496.0,149.0,65.0,24.0,169.0,269.0,16.474358974358974,0.0,
45.0,Monta Ellis,21.0,GSW,SG,77.0,53.0,2638.0,6.233766233766234,13.116883116883116,0.475,39.0,143.0,0.273,441.0,867.0,0.509,0.495,3.5454545454545454,4.64935064935065,0.763,62.0,181.0,243.0,319.0,132.0,21.0,221.0,210.0,16.51948051948052,0.0,MIP-1
46.0,Corey Maggette,27.0,LAC,SF,75.0,31.0,2291.0,4.8933333333333335,10.773333333333333,0.454,13.0,65.0,0.2,354.0,743.0,0.476,0.462,6.92,8.44,0.82,90.0,352.0,442.0,208.0,65.0,14.0,201.0,244.0,16.88,0.0,6MOY-7
47.0,Baron Davis,27.0,GSW,PG,63.0,62.0,2221.0,7.174603174603175,16.349206349206348,0.439,85.0,280.0,0.304,367.0,750.0,0.489,0.48,4.365079365079365,5.857142857142857,0.745,51.0,225.0,276.0,509.0,135.0,29.0,193.0,181.0,20.063492063492063,1.0,MVP-15
48.0,Manu Ginóbili,29.0,SAS,SG,75.0,36.0,2060.0,5.28,11.386666666666667,0.464,128.0,323.0,0.396,268.0,531.0,0.505,0.539,4.266666666666667,4.96,0.86,59.0,268.0,327.0,263.0,109.0,27.0,157.0,155.0,16.533333333333335,0.0,6MOY-2
