Rk,Player,Age,Team,Pos,G,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards
1.0,Wilt Chamberlain,24.0,PHW,C,79.0,47.8,15.8,31.1,0.509,6.7,13.3,0.504,27.2,1.9,1.6,38.4,"MVP-4,AS,NBA1"
2.0,Elgin Baylor,26.0,LAL,SF,73.0,42.9,12.8,29.7,0.43,9.3,11.8,0.783,19.8,5.1,3.8,34.8,"MVP-3,AS,NBA1"
3.0,Oscar Robertson,22.0,CIN,PG,71.0,42.7,10.6,22.5,0.473,9.2,11.2,0.822,10.1,9.7,3.1,30.5,"MVP-5,ROY-1,AS,NBA1"
4.0,Bob Pettit,28.0,STL,PF,76.0,39.8,10.1,22.6,0.447,7.7,10.6,0.724,20.3,3.4,2.9,27.9,"MVP-2,AS,NBA1"
5.0,Jack Twyman,26.0,CIN,SF,79.0,37.0,10.1,20.7,0.488,5.1,7.0,0.731,8.5,2.8,3.5,25.3,MVP-11
6.0,Bailey Howell,24.0,DET,PF,77.0,38.3,7.9,16.8,0.469,7.8,10.4,0.753,14.4,2.5,3.9,23.6,"MVP-9,AS"
7.0,Dolph Schayes,32.0,SYR,PF,79.0,38.1,7.5,20.2,0.372,8.6,9.9,0.868,12.2,3.7,3.7,23.6,"MVP-8,AS,NBA2"
8.0,Willie Naulls,26.0,NYK,SF,79.0,37.7,9.3,21.8,0.428,4.7,5.8,0.816,13.4,2.4,3.4,23.4,"MVP-16,AS"
9.0,Paul Arizin,32.0,PHW,SF,79.0,37.2,8.2,19.4,0.425,6.7,8.1,0.833,8.6,2.4,4.2,23.2,"MVP-16,AS"
10.0,Gene Shue,29.0,DET,PG,78.0,43.1,8.3,19.8,0.421,6.0,7.0,0.856,4.3,6.8,2.7,22.6,"MVP-10,AS,NBA2"
11.0,Cliff Hagan,29.0,STL,SF,77.0,35.1,8.6,19.4,0.444,5.0,6.1,0.82,9.3,4.9,3.7,22.1,"MVP-14,AS"
12.0,Clyde Lovellette,31.0,STL,C,67.0,31.5,8.9,19.7,0.453,4.1,4.9,0.83,10.1,2.6,3.7,22.0,"MVP-13,AS"
13.0,Richie Guerin,28.0,NYK,SG,79.0,38.3,7.7,19.6,0.396,6.3,7.9,0.792,7.9,6.4,3.9,21.8,"MVP-15,AS"
14.0,Tom Heinsohn,26.0,BOS,PF,74.0,30.5,8.5,21.2,0.4,4.4,5.7,0.767,9.9,1.9,3.5,21.3,"MVP-7,AS,NBA2"
15.0,Hal Greer,24.0,SYR,SG,79.0,35.0,7.9,17.5,0.451,3.9,5.0,0.774,5.8,3.8,3.1,19.6,AS
16.0,Bob Cousy,32.0,BOS,PG,76.0,32.5,6.8,18.2,0.371,4.6,5.9,0.779,4.4,7.7,2.6,18.1,"MVP-6,AS,NBA1"
17.0,Jerry West,22.0,LAL,SG,79.0,35.4,6.7,16.0,0.419,4.2,6.3,0.666,7.7,4.2,2.7,17.6,"MVP-12,AS"
18.0,Dick Barnett,24.0,SYR,SG,78.0,26.5,6.9,15.3,0.452,3.1,4.3,0.712,3.6,2.8,2.2,16.9,
19.0,Bill Russell,26.0,BOS,C,78.0,44.3,6.8,16.0,0.426,3.3,6.0,0.55,23.9,3.4,2.0,16.9,"MVP-1,AS,NBA2"
20.0,Bill Sharman,34.0,BOS,SG,61.0,25.2,6.3,14.9,0.422,3.4,3.7,0.921,3.7,2.4,2.1,16.0,
21.0,Dick Garmaker,28.0,NYK,PG,71.0,31.5,5.8,13.3,0.44,3.9,5.0,0.768,3.9,3.1,3.4,15.6,
22.0,Frank Ramsey,29.0,BOS,SG,79.0,25.6,5.7,13.9,0.407,3.7,4.5,0.833,5.5,1.8,3.6,15.1,
23.0,Sam Jones,27.0,BOS,SG,78.0,26.0,6.2,13.7,0.449,2.7,3.4,0.787,5.4,2.8,1.9,15.0,
24.0,Rudy LaRusso,23.0,LAL,PF,79.0,32.8,5.3,12.6,0.419,4.1,5.2,0.79,9.9,1.7,3.5,14.6,
25.0,Larry Costello,29.0,SYR,PG,75.0,28.9,5.4,11.3,0.482,3.6,4.5,0.799,3.9,5.5,3.8,14.5,"AS,NBA2"
26.0,Wayne Embry,23.0,CIN,C,79.0,28.3,5.8,12.8,0.451,2.8,4.2,0.668,10.9,1.6,3.6,14.4,AS
28.0,Tom Gola,28.0,PHW,SG,74.0,36.6,5.7,12.7,0.447,2.8,3.8,0.747,9.4,3.9,4.3,14.2,AS
29.0,Dave Gambee,23.0,SYR,SF,79.0,26.5,5.0,12.0,0.419,3.7,4.5,0.827,7.4,1.3,3.5,13.7,
30.0,Red Kerr,28.0,SYR,C,79.0,33.9,5.3,13.4,0.397,2.8,3.8,0.729,12.0,2.5,2.9,13.4,
31.0,Don Ohl,24.0,DET,SG,79.0,27.5,5.4,13.7,0.394,2.5,3.5,0.719,3.2,3.4,2.8,13.3,
32.0,Guy Rodgers,25.0,PHW,PG,78.0,37.2,5.1,13.2,0.386,2.6,3.8,0.687,6.5,8.7,3.4,12.8,
33.0,Bucky Bockhorn,27.0,CIN,SG,79.0,33.8,5.3,13.4,0.397,1.9,2.6,0.731,5.5,4.3,3.6,12.6,
34.0,George Lee,24.0,DET,SF,74.0,23.4,4.2,10.5,0.399,3.7,5.3,0.701,6.6,1.2,2.1,12.1,
35.0,Phil Jordon,27.0,2TM,C,79.0,26.1,4.6,11.8,0.386,2.6,3.6,0.718,8.5,2.3,3.5,11.7,
36.0,Walter Dukes,30.0,DET,C,73.0,28.0,3.9,9.7,0.405,3.8,5.5,0.703,14.1,1.9,4.3,11.7,AS
37.0,Lenny Wilkens,23.0,STL,PG,75.0,25.3,4.4,10.4,0.425,2.9,4.0,0.713,4.5,2.8,2.9,11.7,
38.0,Bob Ferry,23.0,DET,C,79.0,21.0,4.4,9.8,0.451,2.4,3.2,0.741,6.3,1.6,2.6,11.3,
39.0,Hot Rod Hundley,26.0,LAL,PG,79.0,27.6,4.1,11.7,0.351,2.8,3.7,0.753,3.7,4.4,1.8,11.0,AS
40.0,Frank Selvy,28.0,LAL,SG,77.0,28.0,4.0,10.0,0.405,2.7,3.6,0.753,3.9,3.2,2.8,10.8,
