Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Trp-Dbl,Awards
1.0,Kareem Abdul-Jabbar,22.0,MIL,C,82.0,,3534.0,11.439024390243903,22.073170731707318,0.518,5.914634146341464,9.060975609756097,0.653,1190.0,337.0,283.0,28.79268292682927,0.0,"MVP-3,ROY-1,AS,NBA2"
2.0,Jerry West,31.0,LAL,PG,74.0,,3106.0,11.22972972972973,22.60810810810811,0.497,8.743243243243244,10.608108108108109,0.824,338.0,554.0,160.0,31.2027027027027,0.0,"MVP-2,AS,NBA1"
3.0,Elvin Hayes,24.0,SDR,C,82.0,,3665.0,11.146341463414634,24.634146341463413,0.452,5.219512195121951,7.585365853658536,0.688,1386.0,162.0,270.0,27.51219512195122,0.0,AS
4.0,Billy Cunningham,26.0,PHI,SF,81.0,,3194.0,9.901234567901234,21.11111111111111,0.469,6.296296296296297,8.641975308641975,0.729,1101.0,352.0,331.0,26.098765432098766,0.0,"MVP-5,AS,NBA1"
5.0,Lou Hudson,25.0,ATL,SF,80.0,,3091.0,10.375,19.55,0.531,4.6375,5.625,0.824,373.0,276.0,225.0,25.3875,0.0,"MVP-7,AS,NBA2"
6.0,Connie Hawkins,27.0,PHO,SF,81.0,,3312.0,8.753086419753087,17.864197530864196,0.49,7.1234567901234565,9.148148148148149,0.779,846.0,391.0,287.0,24.62962962962963,2.0,"MVP-5,AS,NBA1"
7.0,Bob Rule,25.0,SEA,C,80.0,,2959.0,9.8625,21.3125,0.463,4.8375,6.775,0.714,825.0,144.0,278.0,24.5625,0.0,AS
8.0,John Havlicek,29.0,BOS,SG,81.0,,3369.0,9.08641975308642,19.567901234567902,0.464,6.0246913580246915,7.135802469135802,0.844,635.0,550.0,211.0,24.19753086419753,8.0,"MVP-10,AS,NBA2"
9.0,Earl Monroe,25.0,BAL,PG,82.0,,3051.0,8.475609756097562,18.98780487804878,0.446,6.487804878048781,7.817073170731708,0.83,257.0,402.0,258.0,23.4390243902439,0.0,MVP-16
10.0,Flynn Robinson,28.0,MIL,PG,81.0,,2762.0,8.185185185185185,17.17283950617284,0.477,5.419753086419753,6.037037037037037,0.898,263.0,449.0,254.0,21.790123456790123,0.0,AS
11.0,Hal Greer,33.0,PHI,SG,80.0,,3024.0,8.8125,19.3875,0.455,4.4,5.4,0.815,376.0,405.0,300.0,22.025,0.0,AS
12.0,Willis Reed,27.0,NYK,C,81.0,81.0,3089.0,8.666666666666666,17.098765432098766,0.507,4.333333333333333,5.728395061728395,0.756,1126.0,161.0,287.0,21.666666666666668,0.0,"MVP-1,AS,NBA1"
13.0,Oscar Robertson,31.0,CIN,PG,69.0,,2865.0,9.376811594202898,18.36231884057971,0.511,6.579710144927536,8.130434782608695,0.809,422.0,558.0,175.0,25.333333333333332,6.0,"MVP-16,AS,NBA2"
14.0,Joe Caldwell,28.0,ATL,SG,82.0,,2857.0,8.21951219512195,16.20731707317073,0.507,4.621951219512195,6.719512195121951,0.688,407.0,287.0,255.0,21.0609756097561,0.0,"MVP-12,AS"
15.0,Bob Love,27.0,CHI,PF,82.0,,3123.0,7.804878048780488,16.74390243902439,0.466,5.390243902439025,6.402439024390244,0.842,712.0,148.0,260.0,21.0,0.0,MVP-16
16.0,Jimmy Walker,25.0,DET,SG,81.0,,2869.0,8.222222222222221,17.209876543209877,0.478,4.382716049382716,5.432098765432099,0.807,242.0,248.0,203.0,20.82716049382716,0.0,AS
17.0,Chet Walker,29.0,CHI,SF,78.0,,2726.0,7.641025641025641,16.012820512820515,0.477,6.1923076923076925,7.282051282051282,0.85,604.0,192.0,203.0,21.474358974358974,0.0,AS
18.0,Clem Haskins,26.0,CHI,SG,82.0,,3214.0,8.146341463414634,18.121951219512194,0.45,4.048780487804878,5.170731707317073,0.783,378.0,624.0,237.0,20.341463414634145,1.0,
19.0,Dick Van Arsdale,26.0,PHO,SG,77.0,,2966.0,7.688311688311688,15.142857142857142,0.508,5.961038961038961,7.467532467532467,0.798,264.0,338.0,282.0,21.337662337662337,0.0,AS
20.0,Jeff Mullins,27.0,SFW,SG,74.0,,2861.0,8.864864864864865,19.27027027027027,0.46,4.324324324324325,5.108108108108108,0.847,382.0,360.0,240.0,22.054054054054053,0.0,AS
21.0,Gail Goodrich,26.0,PHO,PG,81.0,,3234.0,7.012345679012346,15.444444444444445,0.454,6.0246913580246915,7.45679012345679,0.808,340.0,605.0,251.0,20.049382716049383,1.0,
22.0,Tom Van Arsdale,26.0,CIN,SF,71.0,,2544.0,8.732394366197184,19.380281690140844,0.451,5.366197183098592,6.929577464788732,0.774,463.0,155.0,247.0,22.830985915492956,0.0,AS
23.0,Jack Marin,25.0,BAL,SF,82.0,,2947.0,8.121951219512194,16.621951219512194,0.489,3.4878048780487805,4.134146341463414,0.844,537.0,217.0,248.0,19.73170731707317,0.0,
24.0,Walt Frazier,24.0,NYK,PG,77.0,77.0,3040.0,7.792207792207792,15.03896103896104,0.518,5.311688311688312,7.103896103896104,0.748,465.0,629.0,203.0,20.896103896103895,2.0,"MVP-4,AS,NBA1"
25.0,Dave Bing,26.0,DET,PG,70.0,,2334.0,8.214285714285714,18.5,0.444,6.485714285714286,8.285714285714286,0.783,299.0,418.0,196.0,22.914285714285715,0.0,
26.0,Archie Clark,28.0,PHI,PG,76.0,,2772.0,7.815789473684211,15.763157894736842,0.496,4.092105263157895,5.2105263157894735,0.785,301.0,380.0,201.0,19.723684210526315,0.0,
27.0,Jon McGlocklin,26.0,MIL,SG,82.0,,2966.0,7.7926829268292686,14.707317073170731,0.53,2.0609756097560976,2.4146341463414633,0.854,252.0,303.0,164.0,17.646341463414632,0.0,
28.0,Gus Johnson,31.0,BAL,PF,78.0,,2919.0,7.410256410256411,16.435897435897434,0.451,2.5256410256410255,3.4871794871794872,0.724,1086.0,264.0,269.0,17.346153846153847,2.0,"AS,NBA2"
29.0,Lenny Wilkens,32.0,SEA,PG,75.0,,2802.0,5.973333333333334,14.213333333333333,0.42,5.84,7.413333333333333,0.788,378.0,683.0,212.0,17.786666666666665,4.0,AS
30.0,Wes Unseld,23.0,BAL,C,82.0,,3234.0,6.414634146341464,12.378048780487806,0.518,3.3292682926829267,5.219512195121951,0.638,1370.0,291.0,250.0,16.158536585365855,1.0,MVP-8
32.0,Happy Hairston,27.0,2TM,PF,70.0,,2427.0,6.9,13.9,0.496,4.6571428571428575,5.9,0.789,775.0,121.0,230.0,18.457142857142856,0.0,
33.0,Connie Dierking,33.0,CIN,C,76.0,,2448.0,6.855263157894737,16.355263157894736,0.419,3.026315789473684,4.026315789473684,0.752,624.0,169.0,275.0,16.736842105263158,0.0,
34.0,Don Nelson,29.0,BOS,PF,82.0,,2224.0,5.621951219512195,11.21951219512195,0.501,4.109756097560975,5.304878048780488,0.775,601.0,148.0,238.0,15.353658536585366,0.0,
35.0,Walt Hazzard,27.0,ATL,PG,82.0,,2757.0,6.012195121951219,12.878048780487806,0.467,3.2560975609756095,4.024390243902439,0.809,329.0,561.0,264.0,15.28048780487805,0.0,MVP-12
36.0,Bob Boozer,32.0,SEA,PF,82.0,,2549.0,6.012195121951219,12.25609756097561,0.491,3.207317073170732,3.902439024390244,0.822,717.0,110.0,237.0,15.231707317073171,0.0,
37.0,Dick Barnett,33.0,NYK,SG,82.0,82.0,2772.0,6.024390243902439,12.670731707317072,0.475,2.8292682926829267,3.9634146341463414,0.714,221.0,298.0,220.0,14.878048780487806,0.0,
38.0,Bill Bridges,30.0,ATL,PF,82.0,,3269.0,5.402439024390244,11.365853658536585,0.475,4.036585365853658,5.5,0.734,1181.0,345.0,292.0,14.841463414634147,4.0,"MVP-8,AS"
39.0,Johnny Green,36.0,CIN,PF,78.0,,2278.0,6.166666666666667,11.025641025641026,0.559,3.2564102564102564,5.5,0.592,841.0,112.0,268.0,15.58974358974359,0.0,
41.0,Joe Ellis,25.0,SFW,SF,76.0,,2380.0,6.592105263157895,16.092105263157894,0.41,2.6315789473684212,3.5526315789473686,0.741,594.0,139.0,281.0,15.81578947368421,0.0,
42.0,John Block,25.0,SDR,PF,82.0,,2152.0,5.524390243902439,12.5,0.442,3.5,4.475609756097561,0.782,609.0,137.0,275.0,14.548780487804878,0.0,
43.0,Jim Barnett,25.0,SDR,SG,80.0,,2105.0,5.625,12.475,0.451,3.6125,4.575,0.79,305.0,287.0,222.0,14.8625,0.0,
44.0,Stu Lantz,23.0,SDR,PG,82.0,,2471.0,5.548780487804878,12.524390243902438,0.443,3.3902439024390243,4.402439024390244,0.77,255.0,287.0,238.0,14.487804878048781,0.0,
45.0,Ron Williams,25.0,SFW,PG,80.0,,2435.0,5.65,13.075,0.432,3.4625,4.2125,0.822,190.0,424.0,287.0,14.7625,0.0,
46.0,Dave DeBusschere,29.0,NYK,PF,79.0,79.0,2627.0,6.177215189873418,13.69620253164557,0.451,2.2278481012658227,3.240506329113924,0.688,790.0,194.0,244.0,14.582278481012658,0.0,AS
47.0,Jim Davis,28.0,ATL,C,82.0,,2623.0,5.341463414634147,11.5,0.464,2.926829268292683,3.8780487804878048,0.755,796.0,238.0,335.0,13.609756097560975,0.0,
48.0,Fred Foster,23.0,CIN,SF,74.0,,2077.0,6.22972972972973,13.864864864864865,0.449,2.3783783783783785,3.2837837837837838,0.724,310.0,107.0,209.0,14.837837837837839,0.0,
49.0,Dick Snyder,25.0,2TM,SG,82.0,,2437.0,5.560975609756097,10.524390243902438,0.528,2.0609756097560976,2.5365853658536586,0.813,323.0,342.0,277.0,13.182926829268293,0.0,
50.0,Darrall Imhoff,31.0,PHI,C,79.0,,2474.0,5.443037974683544,10.075949367088608,0.54,2.721518987341772,4.189873417721519,0.65,754.0,211.0,294.0,13.60759493670886,0.0,
51.0,Bob Dandridge,22.0,MIL,SF,81.0,,2461.0,5.3580246913580245,11.049382716049383,0.485,2.45679012345679,3.259259259259259,0.754,625.0,292.0,279.0,13.17283950617284,0.0,
52.0,Jim Fox,26.0,PHO,C,81.0,,2041.0,5.098765432098766,9.728395061728396,0.524,2.691358024691358,3.493827160493827,0.77,570.0,93.0,261.0,12.88888888888889,0.0,
