Rk,Player,Age,Team,Pos,G,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Trp-Dbl,Awards
1.0,Wilt Chamberlain,23.0,PHW,C,72.0,3338.0,14.791666666666666,32.09722222222222,0.461,8.01388888888889,13.76388888888889,0.582,1941.0,168.0,150.0,37.59722222222222,0.0,"MVP-1,ROY-1,AS,NBA1"
2.0,Jack Twyman,25.0,CIN,SF,75.0,3023.0,11.6,27.506666666666668,0.422,7.973333333333334,10.16,0.785,664.0,260.0,275.0,31.173333333333332,1.0,"MVP-6,AS,NBA2"
3.0,Elgin Baylor,25.0,MNL,SF,70.0,2873.0,10.785714285714286,25.442857142857143,0.424,8.057142857142857,11.0,0.732,1150.0,243.0,234.0,29.62857142857143,0.0,"MVP-5,AS,NBA1"
4.0,Bob Pettit,27.0,STL,PF,72.0,2896.0,9.291666666666666,21.194444444444443,0.438,7.555555555555555,10.027777777777779,0.753,1221.0,257.0,204.0,26.13888888888889,0.0,"MVP-3,AS,NBA1"
5.0,Cliff Hagan,28.0,STL,SF,75.0,2798.0,9.586666666666666,20.653333333333332,0.464,5.613333333333333,6.986666666666666,0.803,803.0,299.0,270.0,24.786666666666665,0.0,"MVP-14,AS"
6.0,Gene Shue,28.0,DET,PG,75.0,3338.0,8.266666666666667,20.013333333333332,0.413,6.293333333333333,7.213333333333333,0.872,409.0,295.0,146.0,22.826666666666668,0.0,"MVP-7,AS,NBA1"
7.0,Dolph Schayes,31.0,SYR,PF,75.0,2741.0,7.706666666666667,19.2,0.401,7.1066666666666665,7.96,0.893,959.0,256.0,263.0,22.52,0.0,"MVP-8,AS,NBA2"
8.0,Tom Heinsohn,25.0,BOS,PF,75.0,2420.0,8.973333333333333,21.2,0.423,3.7733333333333334,5.1466666666666665,0.733,794.0,171.0,275.0,21.72,0.0,MVP-10
9.0,Richie Guerin,27.0,NYK,SG,74.0,2429.0,7.824324324324325,18.635135135135137,0.42,6.175675675675675,7.986486486486487,0.773,505.0,468.0,242.0,21.824324324324323,2.0,"MVP-12,AS,NBA2"
10.0,Paul Arizin,31.0,PHW,SF,72.0,2618.0,8.23611111111111,19.444444444444443,0.424,5.833333333333333,7.305555555555555,0.798,621.0,165.0,263.0,22.305555555555557,0.0,AS
11.0,George Yardley,31.0,SYR,SF,73.0,2402.0,7.47945205479452,16.506849315068493,0.453,5.219178082191781,6.397260273972603,0.816,579.0,122.0,227.0,20.17808219178082,0.0,AS
12.0,Bob Cousy,31.0,BOS,PG,75.0,2588.0,7.573333333333333,19.746666666666666,0.384,4.253333333333333,5.373333333333333,0.792,352.0,715.0,146.0,19.4,4.0,"MVP-4,AS,NBA1"
13.0,Clyde Lovellette,30.0,STL,C,68.0,1953.0,8.088235294117647,17.264705882352942,0.468,4.647058823529412,5.661764705882353,0.821,721.0,127.0,248.0,20.823529411764707,0.0,AS
14.0,Willie Naulls,25.0,NYK,SF,65.0,2250.0,8.476923076923077,19.784615384615385,0.428,4.4,5.2615384615384615,0.836,921.0,138.0,214.0,21.353846153846153,0.0,"MVP-12,AS"
15.0,Bill Sharman,33.0,BOS,SG,71.0,1916.0,7.873239436619718,17.253521126760564,0.456,3.5492957746478875,4.098591549295775,0.866,262.0,144.0,154.0,19.295774647887324,0.0,"AS,NBA2"
16.0,Bill Russell,25.0,BOS,C,74.0,3146.0,7.5,16.06756756756757,0.467,3.2432432432432434,5.297297297297297,0.612,1778.0,277.0,210.0,18.243243243243242,0.0,"MVP-2,AS,NBA2"
17.0,Bailey Howell,23.0,DET,PF,75.0,2346.0,6.8,14.92,0.456,4.16,5.626666666666667,0.739,790.0,63.0,282.0,17.76,0.0,
18.0,Kenny Sears,26.0,NYK,PF,64.0,2099.0,6.4375,13.484375,0.477,5.671875,6.53125,0.868,876.0,127.0,191.0,18.546875,0.0,
19.0,Tom Gola,27.0,PHW,SG,75.0,2870.0,5.68,13.106666666666667,0.433,3.6,4.533333333333333,0.794,779.0,409.0,311.0,14.96,9.0,"MVP-8,AS"
20.0,Frank Ramsey,28.0,BOS,SG,73.0,2009.0,5.780821917808219,14.547945205479452,0.397,3.73972602739726,4.7534246575342465,0.787,506.0,137.0,251.0,15.301369863013699,0.0,
21.0,Red Kerr,27.0,SYR,C,75.0,2372.0,5.8133333333333335,14.813333333333333,0.392,3.1066666666666665,4.133333333333334,0.752,913.0,167.0,207.0,14.733333333333333,0.0,
22.0,Walter Dukes,29.0,DET,C,66.0,2140.0,4.757575757575758,13.196969696969697,0.361,5.696969696969697,7.696969696969697,0.74,883.0,80.0,310.0,15.212121212121213,0.0,"MVP-11,AS"
23.0,Phil Jordon,26.0,CIN,C,75.0,2066.0,5.08,12.933333333333334,0.393,3.2266666666666666,4.506666666666667,0.716,624.0,207.0,227.0,13.386666666666667,0.0,
24.0,Larry Costello,28.0,SYR,PG,71.0,2469.0,5.23943661971831,11.577464788732394,0.453,3.507042253521127,4.070422535211268,0.862,388.0,449.0,234.0,13.985915492957746,1.0,AS
25.0,Rudy LaRusso,22.0,MNL,PF,71.0,2092.0,5.0,12.859154929577464,0.389,3.732394366197183,5.028169014084507,0.742,679.0,83.0,222.0,13.732394366197184,0.0,
26.0,Charlie Tyra,24.0,NYK,C,74.0,2033.0,5.486486486486487,12.864864864864865,0.426,1.7972972972972974,2.554054054054054,0.704,598.0,80.0,258.0,12.77027027027027,0.0,
27.0,Hot Rod Hundley,25.0,MNL,PG,73.0,2279.0,5.0,13.95890410958904,0.358,2.780821917808219,3.73972602739726,0.744,390.0,338.0,194.0,12.780821917808218,1.0,AS
28.0,Hal Greer,23.0,SYR,SG,70.0,1979.0,5.542857142857143,11.642857142857142,0.476,2.1142857142857143,2.7,0.783,303.0,188.0,208.0,13.2,0.0,
29.0,Sam Jones,26.0,BOS,SG,74.0,1512.0,4.797297297297297,10.567567567567568,0.454,2.27027027027027,2.972972972972973,0.764,375.0,125.0,101.0,11.864864864864865,0.0,
30.0,Larry Foust,31.0,2TM,C,72.0,1964.0,4.333333333333333,10.63888888888889,0.407,3.513888888888889,4.444444444444445,0.791,621.0,96.0,241.0,12.180555555555555,0.0,
31.0,Dick Garmaker,27.0,2TM,,70.0,1932.0,4.614285714285714,11.642857142857142,0.396,2.9,3.757142857142857,0.772,313.0,206.0,186.0,12.128571428571428,0.0,AS
32.0,Bucky Bockhorn,26.0,CIN,SG,75.0,2103.0,4.306666666666667,10.826666666666666,0.398,1.9333333333333333,2.5866666666666664,0.747,382.0,256.0,249.0,10.546666666666667,0.0,
33.0,Guy Rodgers,24.0,PHW,PG,68.0,2483.0,4.970588235294118,12.794117647058824,0.389,1.6323529411764706,2.661764705882353,0.613,391.0,482.0,196.0,11.573529411764707,0.0,
34.0,Ed Conlin,26.0,DET,SG,70.0,1636.0,4.285714285714286,11.871428571428572,0.361,2.585714285714286,3.4,0.761,346.0,126.0,158.0,11.157142857142857,0.0,
35.0,Wayne Embry,22.0,CIN,C,73.0,1594.0,4.1506849315068495,9.452054794520548,0.439,2.287671232876712,4.4520547945205475,0.514,692.0,83.0,226.0,10.58904109589041,0.0,
36.0,Win Wilfong,26.0,CIN,PG,72.0,1992.0,3.9305555555555554,10.61111111111111,0.37,2.236111111111111,2.875,0.778,352.0,265.0,229.0,10.097222222222221,0.0,
37.0,Dave Piontek,25.0,2TM,SF,77.0,1833.0,3.792207792207792,9.454545454545455,0.401,1.6753246753246753,2.6233766233766236,0.639,461.0,118.0,211.0,9.25974025974026,0.0,
40.0,Woody Sauldsberry,25.0,PHW,PF,71.0,1848.0,4.577464788732394,13.71830985915493,0.334,0.7746478873239436,1.4507042253521127,0.534,447.0,112.0,203.0,9.929577464788732,0.0,
42.0,Hub Reed,23.0,2TM,C,71.0,1820.0,3.8028169014084505,8.464788732394366,0.449,1.8873239436619718,2.591549295774648,0.728,614.0,69.0,230.0,9.492957746478874,0.0,
44.0,Jack George,31.0,NYK,PG,69.0,1604.0,3.6231884057971016,9.420289855072463,0.385,2.246376811594203,2.927536231884058,0.767,197.0,240.0,148.0,9.492753623188406,0.0,
46.0,Bob Hopkins,25.0,SYR,PF,75.0,1616.0,3.4266666666666667,8.8,0.389,1.8133333333333332,2.32,0.782,465.0,55.0,193.0,8.666666666666666,0.0,
47.0,Med Park,26.0,CIN,SG,74.0,1849.0,3.054054054054054,7.864864864864865,0.388,2.554054054054054,3.5135135135135136,0.727,301.0,214.0,180.0,8.662162162162161,0.0,
48.0,Johnny McCarthy,25.0,STL,SG,75.0,2383.0,3.2,9.733333333333333,0.329,1.9866666666666666,3.013333333333333,0.659,301.0,328.0,233.0,8.386666666666667,0.0,
50.0,Jim Palmer,26.0,2TM,C,74.0,1482.0,3.324324324324324,7.756756756756757,0.429,1.6081081081081081,2.3513513513513513,0.684,389.0,70.0,224.0,8.256756756756756,0.0,
51.0,Al Ferrari,26.0,STL,SG,71.0,1567.0,3.0422535211267605,7.366197183098592,0.413,2.4788732394366195,3.1690140845070425,0.782,162.0,188.0,205.0,8.56338028169014,0.0,
52.0,Earl Lloyd,31.0,DET,SF,68.0,1610.0,3.485294117647059,9.779411764705882,0.356,1.8823529411764706,2.3529411764705883,0.8,322.0,89.0,226.0,8.852941176470589,0.0,
53.0,Slick Leonard,27.0,MNL,PG,73.0,2074.0,3.164383561643836,9.821917808219178,0.322,1.8630136986301369,2.643835616438356,0.705,245.0,252.0,171.0,8.191780821917808,0.0,
56.0,Frank Selvy,27.0,2TM,SG,62.0,1308.0,3.306451612903226,8.403225806451612,0.393,2.467741935483871,3.3548387096774195,0.736,175.0,111.0,101.0,9.080645161290322,0.0,
57.0,Tom Hawkins,23.0,MNL,SF,69.0,1467.0,3.1884057971014492,8.391304347826088,0.38,1.536231884057971,2.3768115942028984,0.646,428.0,54.0,188.0,7.913043478260869,0.0,
59.0,Mike Farmer,23.0,NYK,SF,67.0,1536.0,3.1641791044776117,8.477611940298507,0.373,1.044776119402985,1.2388059701492538,0.843,385.0,57.0,130.0,7.373134328358209,0.0,
61.0,Dick McGuire,34.0,DET,PG,68.0,1466.0,2.6323529411764706,5.911764705882353,0.445,1.8235294117647058,2.9558823529411766,0.617,264.0,358.0,112.0,7.088235294117647,0.0,
66.0,Slater Martin,34.0,STL,PG,64.0,1756.0,2.21875,5.984375,0.371,1.765625,2.421875,0.729,187.0,330.0,174.0,6.203125,0.0,
