Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
61.0,Cedric Henderson,22.0,CLE,SF,82.0,71.0,2527.0,7.4,15.3,0.48,0.0,0.1,0.0,7.4,15.2,0.483,0.48,2.9,4.0,0.716,1.5,5.4,6.9,3.6,2.0,1.0,3.5,5.0,17.6,96.0,100.0,
62.0,Bryant Reeves,24.0,VAN,C,74.0,74.0,2527.0,10.1,19.4,0.523,0.0,0.1,0.0,10.1,19.3,0.525,0.523,4.6,6.5,0.706,4.0,8.0,12.1,3.2,0.8,1.6,3.2,5.7,24.9,110.0,112.0,
63.0,Lindsey Hunter,27.0,DET,PG,71.0,67.0,2505.0,6.9,17.9,0.383,1.8,5.8,0.321,5.0,12.2,0.412,0.434,3.1,4.3,0.74,1.3,4.0,5.4,4.9,2.7,0.2,2.4,3.8,18.7,101.0,104.0,
64.0,Rodney Rogers,26.0,LAC,SF,76.0,70.0,2499.0,8.9,19.4,0.456,1.5,4.4,0.34,7.4,15.0,0.49,0.494,4.7,6.8,0.686,3.2,5.6,8.8,4.2,1.9,0.8,4.0,5.0,23.9,104.0,111.0,
65.0,Brevin Knight,22.0,CLE,PG,80.0,76.0,2483.0,5.6,12.7,0.441,0.0,0.2,0.0,5.6,12.6,0.446,0.441,4.3,5.4,0.801,1.4,4.0,5.4,14.1,4.2,0.4,4.2,5.8,15.6,109.0,97.0,DPOY-11
66.0,Clyde Drexler,35.0,HOU,SG,70.0,70.0,2473.0,9.6,22.6,0.427,2.3,7.1,0.317,7.4,15.5,0.477,0.477,5.9,7.4,0.801,2.2,5.1,7.4,8.1,2.7,0.9,4.0,4.1,27.5,109.0,108.0,
67.0,Jeff Hornacek,34.0,UTA,SG,80.0,80.0,2460.0,8.7,18.1,0.482,1.2,2.8,0.441,7.5,15.3,0.489,0.516,6.2,7.0,0.885,1.4,4.5,5.9,7.6,2.4,0.3,2.9,3.8,24.9,120.0,107.0,
68.0,David Robinson,32.0,SAS,C,73.0,73.0,2457.0,12.0,23.5,0.511,0.0,0.1,0.25,12.0,23.4,0.512,0.511,10.7,14.6,0.735,5.3,11.8,17.1,4.4,1.4,4.2,4.5,4.5,34.8,114.0,94.0,"MVP-7,DPOY-3,AS,NBA2"
69.0,Theo Ratliff,24.0,2TM,C,82.0,67.0,2447.0,6.7,13.0,0.513,0.0,0.0,,6.7,13.0,0.513,0.513,4.3,6.1,0.701,4.8,7.1,11.9,1.2,1.1,5.6,2.5,6.4,17.7,111.0,102.0,
70.0,Antonio McDyess,23.0,PHO,PF,81.0,81.0,2441.0,10.7,19.9,0.536,0.0,0.0,0.0,10.7,19.9,0.537,0.536,5.0,7.1,0.702,4.4,8.8,13.2,2.3,2.2,2.9,3.1,6.3,26.3,111.0,98.0,
71.0,Mark Jackson,32.0,IND,PG,82.0,82.0,2413.0,5.6,13.5,0.416,1.0,3.1,0.314,4.7,10.4,0.447,0.452,3.1,4.1,0.761,1.5,5.8,7.3,16.1,1.9,0.0,3.9,3.0,15.3,111.0,103.0,
72.0,Larry Johnson,28.0,NYK,SF,70.0,70.0,2412.0,9.7,19.9,0.485,0.3,1.4,0.238,9.3,18.5,0.504,0.494,4.8,6.4,0.756,3.9,5.1,9.0,3.4,0.9,0.3,2.9,4.4,24.5,109.0,104.0,
73.0,Zydrunas Ilgauskas,22.0,CLE,C,82.0,81.0,2379.0,10.2,19.7,0.518,0.0,0.1,0.25,10.2,19.6,0.519,0.519,5.2,6.8,0.762,6.3,10.0,16.2,1.6,1.2,3.0,3.3,6.5,25.6,111.0,97.0,
74.0,Hubert Davis,27.0,DAL,SG,81.0,30.0,2378.0,7.9,17.2,0.456,2.3,5.2,0.439,5.6,12.1,0.464,0.522,2.2,2.6,0.836,0.8,3.0,3.8,3.5,1.0,0.1,2.0,2.6,20.2,109.0,112.0,
75.0,P.J. Brown,28.0,MIA,PF,74.0,74.0,2362.0,6.4,13.6,0.471,0.0,0.0,,6.4,13.6,0.471,0.471,3.5,4.6,0.766,5.4,9.2,14.7,2.4,1.5,2.3,2.2,6.1,16.3,112.0,100.0,
76.0,John Wallace,23.0,TOR,SF,82.0,36.0,2361.0,10.3,21.5,0.478,0.0,0.0,0.5,10.3,21.4,0.478,0.479,4.6,6.4,0.717,2.6,5.6,8.2,2.4,1.4,2.2,3.8,5.2,25.2,100.0,112.0,
77.0,Clifford Robinson,31.0,PHO,SF,80.0,64.0,2359.0,9.5,19.9,0.479,0.6,1.9,0.321,8.9,18.0,0.496,0.494,5.5,8.0,0.689,3.4,5.7,9.1,3.8,2.0,2.0,3.1,5.5,25.2,108.0,101.0,
78.0,Billy Owens,28.0,SAC,SF,78.0,78.0,2348.0,7.5,16.2,0.464,0.6,1.6,0.371,6.9,14.6,0.474,0.482,2.6,4.4,0.589,3.8,9.1,12.9,4.9,2.1,0.8,3.4,5.1,18.2,100.0,104.0,
79.0,Joe Smith,22.0,2TM,PF,79.0,55.0,2344.0,10.4,24.0,0.434,0.0,0.2,0.0,10.4,23.9,0.437,0.434,5.1,6.6,0.775,4.5,6.1,10.6,2.1,1.4,1.1,3.5,5.9,26.0,98.0,107.0,
80.0,Jayson Williams,29.0,NJN,C,65.0,65.0,2343.0,7.2,14.5,0.498,0.0,0.1,0.0,7.2,14.4,0.501,0.498,4.4,6.6,0.666,10.0,9.9,19.9,1.5,1.0,1.1,2.1,5.3,18.8,121.0,105.0,AS
81.0,Walter McCarty,23.0,BOS,SF,82.0,64.0,2340.0,6.5,16.1,0.404,1.2,3.8,0.309,5.3,12.2,0.434,0.441,3.2,4.3,0.742,3.1,4.9,8.0,3.9,2.4,1.0,3.1,6.0,17.3,100.0,106.0,
82.0,Arvydas Sabonis,33.0,POR,C,73.0,73.0,2333.0,9.3,18.9,0.493,0.7,2.6,0.261,8.6,16.3,0.53,0.511,7.4,9.3,0.798,3.4,13.3,16.7,5.0,1.5,1.8,4.3,6.1,26.7,112.0,97.0,
