Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
143.0,Kevin Huerter,20.0,ATL,SG,75.0,59.0,2048.0,3.6666666666666665,8.76,0.419,136.0,353.0,0.385,139.0,304.0,0.457,0.522,0.5466666666666666,0.7466666666666667,0.732,60.0,185.0,245.0,214.0,65.0,25.0,109.0,155.0,9.693333333333333,0.0,
144.0,Landry Shamet,21.0,2TM,SG,79.0,27.0,1802.0,3.037974683544304,7.050632911392405,0.431,167.0,396.0,0.422,73.0,161.0,0.453,0.581,0.9493670886075949,1.1772151898734178,0.806,21.0,113.0,134.0,117.0,37.0,10.0,45.0,155.0,9.139240506329115,0.0,
146.0,Jonathan Isaac,21.0,ORL,PF,75.0,64.0,1996.0,3.493333333333333,8.146666666666667,0.429,86.0,266.0,0.323,176.0,345.0,0.51,0.499,1.4666666666666666,1.8,0.815,99.0,312.0,411.0,80.0,59.0,98.0,75.0,143.0,9.6,0.0,
147.0,Reggie Bullock,27.0,2TM,SG,63.0,60.0,1879.0,3.888888888888889,9.428571428571429,0.412,148.0,393.0,0.377,97.0,201.0,0.483,0.537,1.1587301587301588,1.3492063492063493,0.859,22.0,151.0,173.0,129.0,40.0,12.0,65.0,109.0,11.285714285714286,0.0,
149.0,Tomáš Satoranský,27.0,WAS,PG,80.0,54.0,2164.0,3.2125,6.625,0.485,64.0,162.0,0.395,193.0,368.0,0.524,0.545,1.6375,2.0,0.819,82.0,197.0,279.0,399.0,82.0,13.0,120.0,172.0,8.8625,1.0,
150.0,Terry Rozier,24.0,BOS,PG,79.0,14.0,1791.0,3.2658227848101267,8.430379746835444,0.387,119.0,337.0,0.353,139.0,329.0,0.422,0.477,0.9240506329113924,1.1772151898734178,0.785,32.0,275.0,307.0,231.0,68.0,21.0,68.0,101.0,8.962025316455696,0.0,
151.0,Marcus Smart,24.0,BOS,SG,80.0,60.0,2200.0,2.9875,7.0875,0.422,126.0,346.0,0.364,113.0,221.0,0.511,0.533,1.3,1.6125,0.806,57.0,177.0,234.0,321.0,143.0,28.0,123.0,201.0,8.85,0.0,DPOY-8
153.0,Tyreke Evans,29.0,IND,SG,69.0,18.0,1402.0,3.7246376811594204,9.565217391304348,0.389,77.0,216.0,0.356,180.0,444.0,0.405,0.448,1.6666666666666667,2.318840579710145,0.719,33.0,168.0,201.0,166.0,58.0,18.0,118.0,117.0,10.231884057971014,0.0,
154.0,Robin Lopez,30.0,CHI,C,74.0,36.0,1606.0,4.108108108108108,7.22972972972973,0.568,7.0,31.0,0.226,297.0,504.0,0.589,0.575,1.2027027027027026,1.662162162162162,0.724,140.0,146.0,286.0,89.0,11.0,78.0,96.0,124.0,9.513513513513514,0.0,
155.0,Fred VanVleet,24.0,TOR,PG,64.0,28.0,1760.0,3.84375,9.375,0.41,112.0,296.0,0.378,134.0,304.0,0.441,0.503,1.515625,1.796875,0.843,21.0,146.0,167.0,307.0,57.0,20.0,82.0,110.0,10.953125,0.0,
156.0,Nicolas Batum,30.0,CHO,SF,75.0,72.0,2354.0,3.3733333333333335,7.493333333333333,0.45,116.0,298.0,0.389,137.0,264.0,0.519,0.553,1.0266666666666666,1.1866666666666668,0.865,71.0,319.0,390.0,247.0,71.0,43.0,117.0,140.0,9.32,0.0,
158.0,Allonzo Trier,23.0,NYK,SG,64.0,3.0,1459.0,3.625,8.09375,0.448,52.0,132.0,0.394,180.0,386.0,0.466,0.498,2.796875,3.484375,0.803,31.0,166.0,197.0,119.0,28.0,14.0,116.0,117.0,10.859375,0.0,
159.0,Dewayne Dedmon,29.0,ATL,C,64.0,52.0,1609.0,4.046875,8.21875,0.492,83.0,217.0,0.382,176.0,309.0,0.57,0.571,1.4375,1.765625,0.814,105.0,375.0,480.0,90.0,69.0,71.0,84.0,214.0,10.828125,0.0,
160.0,DeAndre' Bembry,24.0,ATL,SG,82.0,15.0,1931.0,3.3536585365853657,7.512195121951219,0.446,50.0,173.0,0.289,225.0,443.0,0.508,0.487,1.0609756097560976,1.6585365853658536,0.64,54.0,304.0,358.0,202.0,105.0,41.0,142.0,190.0,8.378048780487806,0.0,
161.0,Mikal Bridges,22.0,PHO,SF,82.0,56.0,2417.0,2.951219512195122,6.865853658536586,0.43,105.0,313.0,0.335,137.0,250.0,0.548,0.523,1.1585365853658536,1.4390243902439024,0.805,56.0,208.0,264.0,173.0,129.0,38.0,70.0,201.0,8.341463414634147,0.0,
162.0,Jalen Brunson,22.0,DAL,PG,73.0,38.0,1591.0,3.6164383561643834,7.739726027397261,0.467,63.0,181.0,0.348,201.0,384.0,0.523,0.523,1.1917808219178083,1.643835616438356,0.725,25.0,144.0,169.0,230.0,37.0,4.0,88.0,127.0,9.287671232876713,0.0,
163.0,Gerald Green,33.0,HOU,SG,73.0,0.0,1473.0,3.164383561643836,7.917808219178082,0.4,156.0,441.0,0.354,75.0,137.0,0.547,0.535,0.7808219178082192,0.9315068493150684,0.838,30.0,152.0,182.0,40.0,33.0,27.0,55.0,126.0,9.246575342465754,0.0,
