Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
1.0,Michael Jordan,25.0,CHI,SG,81.0,81.0,3255.0,14.7,27.3,0.538,0.4,1.5,0.276,14.3,25.8,0.553,0.546,10.2,12.1,0.85,2.3,7.6,9.9,9.9,3.6,1.0,4.4,3.8,40.0,123.0,103.0,"MVP-2,DPOY-5,AS,NBA1"
2.0,Dale Ellis,28.0,SEA,SG,82.0,82.0,3190.0,12.9,25.7,0.501,2.4,5.1,0.478,10.4,20.6,0.507,0.549,5.7,6.9,0.816,2.3,2.8,5.1,2.5,1.6,0.3,3.3,3.0,33.9,119.0,112.0,"AS,NBA3"
3.0,Kevin Johnson,22.0,PHO,PG,81.0,81.0,3179.0,8.2,16.3,0.505,0.0,0.3,0.091,8.2,16.0,0.514,0.506,7.3,8.3,0.882,0.7,4.2,4.9,14.3,2.0,0.3,4.7,3.3,23.8,118.0,107.0,"MVP-8,MIP-1,NBA2"
4.0,John Stockton,26.0,UTA,PG,82.0,82.0,3171.0,7.7,14.3,0.538,0.2,1.0,0.242,7.4,13.2,0.561,0.547,6.0,7.0,0.863,1.3,2.5,3.8,17.3,4.1,0.2,4.8,3.7,21.6,122.0,101.0,"MVP-7,AS,NBA2"
5.0,Kenny Smith,23.0,SAC,PG,81.0,81.0,3145.0,8.3,18.0,0.462,0.7,1.9,0.359,7.6,16.0,0.475,0.482,4.0,5.4,0.737,0.7,2.7,3.4,9.4,1.5,0.1,3.8,2.6,21.3,106.0,113.0,
6.0,Otis Thorpe,26.0,HOU,PF,82.0,82.0,3135.0,7.8,14.5,0.542,0.0,0.0,0.0,7.8,14.4,0.543,0.542,4.9,6.8,0.729,4.1,7.7,11.8,3.0,1.2,0.6,3.4,3.9,20.6,113.0,106.0,
7.0,Karl Malone,25.0,UTA,PF,80.0,80.0,3126.0,12.7,24.4,0.519,0.1,0.3,0.313,12.6,24.2,0.521,0.521,11.0,14.4,0.766,4.1,9.3,13.4,3.4,2.3,1.1,4.5,4.5,36.5,115.0,99.0,"MVP-3,AS,NBA1"
8.0,Terry Porter,25.0,POR,PG,81.0,81.0,3102.0,8.0,17.1,0.471,1.2,3.3,0.361,6.9,13.8,0.497,0.506,4.1,4.8,0.84,1.3,4.2,5.5,11.5,2.2,0.1,3.7,2.8,21.3,116.0,109.0,
9.0,Chris Mullin,25.0,GSW,SF,82.0,82.0,3093.0,12.0,23.6,0.509,0.3,1.4,0.23,11.7,22.1,0.527,0.516,7.1,8.0,0.892,2.2,4.8,7.0,6.0,2.5,0.6,4.3,2.6,31.5,115.0,108.0,"MVP-13,AS,NBA2"
10.0,Charles Barkley,25.0,PHI,PF,79.0,79.0,3088.0,11.0,19.1,0.579,0.6,2.6,0.216,10.5,16.5,0.636,0.594,9.5,12.6,0.753,6.4,9.2,15.6,5.1,2.0,1.1,4.0,4.1,32.1,127.0,108.0,"MVP-6,AS,NBA1"
11.0,Clyde Drexler,26.0,POR,SG,78.0,78.0,3064.0,12.5,25.2,0.496,0.4,1.6,0.26,12.1,23.6,0.511,0.504,6.6,8.3,0.799,4.4,4.9,9.3,6.8,3.2,0.8,3.8,4.1,32.0,117.0,106.0,AS
12.0,Hakeem Olajuwon,26.0,HOU,C,82.0,82.0,3024.0,12.3,24.3,0.508,0.0,0.2,0.0,12.3,24.1,0.511,0.508,7.1,10.2,0.696,5.3,12.0,17.2,2.3,3.3,4.4,4.3,5.1,31.7,108.0,95.0,"MVP-5,DPOY-2,AS,NBA1"
13.0,Ken Norman,24.0,LAC,SF,80.0,79.0,3020.0,9.7,19.3,0.502,0.1,0.3,0.19,9.6,19.0,0.507,0.504,2.6,4.1,0.63,3.7,6.4,10.2,4.2,1.6,1.0,3.1,3.4,22.1,104.0,111.0,
14.0,Chuck Person,24.0,IND,SF,80.0,79.0,3012.0,11.4,23.3,0.489,1.0,3.3,0.307,10.4,20.1,0.519,0.511,3.9,4.9,0.792,2.3,6.0,8.3,4.6,1.3,0.3,4.9,4.5,27.8,102.0,112.0,
15.0,Tom Chambers,29.0,PHO,PF,81.0,81.0,3002.0,11.8,25.1,0.471,0.4,1.3,0.326,11.4,23.8,0.479,0.48,7.8,9.1,0.851,2.2,8.3,10.5,3.5,1.3,0.8,3.5,4.1,31.9,110.0,105.0,"MVP-9,AS,NBA2"
16.0,Dominique Wilkins,29.0,ATL,SF,80.0,80.0,2997.0,13.3,28.6,0.464,0.5,1.7,0.276,12.8,26.9,0.475,0.472,7.2,8.5,0.844,4.2,4.8,9.0,3.4,1.9,0.8,2.9,2.2,34.2,114.0,108.0,"AS,NBA3"
17.0,Alex English,35.0,DEN,SF,82.0,82.0,2990.0,13.8,28.1,0.491,0.0,0.1,0.25,13.8,28.0,0.492,0.492,4.9,5.7,0.858,2.2,2.7,4.9,5.7,1.0,0.2,3.0,2.6,32.5,109.0,112.0,AS
18.0,Derek Harper,27.0,DAL,PG,81.0,81.0,2968.0,9.1,19.0,0.477,1.7,4.7,0.356,7.4,14.3,0.517,0.521,3.9,4.8,0.806,0.8,3.1,3.8,9.6,2.9,0.7,3.5,3.7,23.7,113.0,109.0,
19.0,James Worthy,27.0,LAL,SF,81.0,81.0,2960.0,11.4,20.8,0.548,0.0,0.4,0.087,11.3,20.4,0.556,0.548,4.1,5.2,0.782,2.7,5.2,7.9,4.7,1.7,0.9,2.9,2.8,26.8,117.0,108.0,AS
20.0,Rolando Blackman,29.0,DAL,SG,78.0,78.0,2946.0,10.1,21.2,0.476,0.5,1.4,0.353,9.6,19.8,0.485,0.488,5.4,6.3,0.854,1.2,3.5,4.6,4.9,1.1,0.3,2.8,2.3,26.1,110.0,112.0,
21.0,Isiah Thomas,27.0,DET,PG,80.0,76.0,2924.0,9.8,21.1,0.464,0.6,2.1,0.273,9.2,19.0,0.485,0.477,4.9,6.0,0.818,0.8,3.9,4.7,11.4,2.3,0.3,5.1,3.6,25.1,106.0,105.0,"MVP-17,AS"
22.0,Mark Eaton,32.0,UTA,C,82.0,82.0,2914.0,3.2,6.8,0.462,0.0,0.0,,3.2,6.8,0.462,0.462,2.2,3.4,0.66,3.8,10.4,14.2,1.4,0.7,5.3,2.4,4.9,8.5,99.0,98.0,"MVP-13,DPOY-1,AS"
23.0,Patrick Ewing,26.0,NYK,C,80.0,80.0,2896.0,11.5,20.4,0.567,0.0,0.1,0.0,11.5,20.3,0.57,0.567,5.7,7.7,0.746,3.4,8.4,11.8,3.0,1.9,4.5,4.2,4.9,28.8,115.0,103.0,"MVP-4,DPOY-6,AS,NBA2"
24.0,Magic Johnson,29.0,LAL,PG,77.0,77.0,2886.0,9.6,18.9,0.509,1.0,3.1,0.314,8.6,15.8,0.548,0.535,8.5,9.4,0.911,1.8,8.2,10.1,16.4,2.3,0.4,5.2,2.9,28.7,125.0,105.0,"MVP-1,AS,NBA1"
25.0,Moses Malone,33.0,ATL,C,81.0,80.0,2878.0,9.1,18.6,0.491,0.0,0.2,0.0,9.1,18.4,0.496,0.491,9.5,12.1,0.789,6.5,9.7,16.2,1.9,1.3,1.7,4.2,2.6,27.8,116.0,105.0,"MVP-13,AS"
