Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
1.0,Bradley Beal,25.0,WAS,SG,82.0,82.0,3028.0,11.9,25.2,0.475,3.3,9.3,0.351,8.7,15.8,0.548,0.54,5.7,7.0,0.808,1.4,5.0,6.4,7.0,1.9,0.9,3.5,3.5,32.8,113.0,114.0,AS
2.0,James Harden,29.0,HOU,PG,78.0,78.0,2867.0,14.4,32.7,0.442,6.5,17.6,0.368,8.0,15.1,0.528,0.541,12.9,14.7,0.879,1.1,7.7,8.9,10.0,2.7,1.0,6.6,4.2,48.2,118.0,108.0,"MVP-2,AS,NBA1"
3.0,Kemba Walker,28.0,CHO,PG,82.0,82.0,2863.0,12.4,28.6,0.434,4.4,12.4,0.356,8.0,16.2,0.494,0.511,6.5,7.6,0.844,0.9,5.2,6.1,8.2,1.7,0.6,3.6,2.2,35.7,112.0,114.0,"AS,NBA3"
4.0,Tobias Harris,26.0,2TM,PF,82.0,82.0,2847.0,10.1,20.8,0.487,2.6,6.5,0.397,7.5,14.3,0.528,0.549,4.4,5.1,0.866,1.1,9.6,10.7,3.8,0.8,0.6,2.5,3.1,27.3,114.0,111.0,
5.0,Paul George,28.0,OKC,SF,77.0,77.0,2841.0,11.6,26.5,0.438,4.8,12.4,0.386,6.8,14.1,0.484,0.529,7.4,8.9,0.839,1.7,8.6,10.3,5.2,2.8,0.6,3.4,3.5,35.5,116.0,105.0,"MVP-3,DPOY-3,AS,NBA1"
6.0,Damian Lillard,28.0,POR,PG,80.0,80.0,2838.0,11.6,26.2,0.444,4.0,11.0,0.369,7.6,15.2,0.499,0.522,8.0,8.8,0.912,1.2,5.2,6.3,9.4,1.5,0.6,3.6,2.5,35.3,121.0,112.0,"MVP-6,AS,NBA2"
7.0,P.J. Tucker,33.0,HOU,PF,82.0,82.0,2802.0,3.6,9.2,0.396,2.6,6.8,0.377,1.1,2.4,0.449,0.535,0.7,1.0,0.695,2.1,6.3,8.4,1.7,2.3,0.7,1.1,4.4,10.5,114.0,110.0,
8.0,Kevin Durant,30.0,GSW,SF,78.0,78.0,2702.0,12.7,24.4,0.521,2.4,6.8,0.353,10.3,17.5,0.587,0.571,7.9,8.9,0.885,0.6,8.2,8.8,8.0,1.0,1.5,4.0,2.7,35.7,121.0,110.0,"MVP-8,AS,NBA2"
9.0,Ben Simmons,22.0,PHI,PG,79.0,79.0,2700.0,9.4,16.8,0.563,0.0,0.1,0.0,9.4,16.7,0.566,0.563,4.5,7.5,0.6,3.0,9.2,12.2,10.7,2.0,1.1,4.8,3.7,23.4,114.0,108.0,AS
10.0,DeMar DeRozan,29.0,SAS,SG,77.0,77.0,2688.0,11.5,23.9,0.481,0.1,0.8,0.156,11.3,23.0,0.492,0.483,6.6,8.0,0.83,1.0,7.4,8.4,8.6,1.6,0.7,3.6,3.2,29.7,110.0,111.0,
