Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,DRtg,Awards
1.0,Elvin Hayes,31.0,WSB,PF,82.0,,3364.0,10.2,20.4,0.501,5.7,8.3,0.687,3.9,10.0,13.9,2.1,1.2,3.0,4.2,26.2,95.0,"MVP-7,AS,NBA1"
2.0,Jo Jo White,30.0,BOS,PG,82.0,82.0,3333.0,8.5,19.9,0.429,4.5,5.1,0.869,1.2,4.0,5.1,6.6,1.6,0.3,2.6,21.6,100.0,"MVP-11,AS,NBA2"
3.0,Rudy Tomjanovich,28.0,HOU,PF,81.0,,3130.0,11.1,21.7,0.51,4.3,5.2,0.839,2.6,7.7,10.4,2.6,0.9,0.4,3.0,26.5,104.0,AS
4.0,Billy Knight,24.0,IND,SF,78.0,,3117.0,11.9,24.3,0.493,5.9,7.3,0.816,3.2,5.2,8.4,3.7,1.7,0.3,2.8,29.8,103.0,AS
5.0,Norm Van Lier,29.0,CHI,PG,82.0,81.0,3097.0,4.6,11.3,0.412,3.7,4.7,0.778,1.7,4.1,5.7,9.9,2.0,0.2,4.2,13.0,99.0,"MVP-11,AS"
6.0,Randy Smith,28.0,BUF,SG,82.0,,3094.0,10.1,21.7,0.467,4.3,5.6,0.762,1.9,4.7,6.6,6.4,2.5,0.1,3.8,24.5,101.0,
7.0,Pete Maravich,29.0,NOJ,SG,73.0,,3041.0,13.0,30.1,0.433,7.4,8.8,0.835,1.3,4.2,5.5,5.8,1.2,0.3,2.8,33.5,102.0,"MVP-3,AS,NBA1"
8.0,Ron Boone,30.0,KCK,SG,82.0,82.0,3021.0,11.2,23.6,0.474,4.8,5.7,0.844,1.9,2.9,4.8,5.0,1.8,0.3,3.9,27.2,103.0,
9.0,Kareem Abdul-Jabbar,29.0,LAL,C,82.0,82.0,3016.0,13.5,23.3,0.579,5.7,8.1,0.701,4.0,12.5,16.6,4.8,1.5,4.0,4.0,32.7,92.0,"MVP-1,AS,NBA1"
10.0,David Thompson,22.0,DEN,SG,82.0,82.0,3001.0,11.8,23.4,0.507,6.9,9.0,0.766,2.0,2.8,4.8,4.8,1.6,0.8,3.4,30.6,99.0,"MVP-7,AS,NBA1"
11.0,Don Buse,26.0,IND,PG,81.0,,2947.0,4.0,9.7,0.416,1.7,2.2,0.786,1.0,3.1,4.1,10.4,4.3,0.2,2.0,9.8,99.0,AS
12.0,Julius Erving,26.0,PHI,SF,82.0,77.0,2940.0,10.3,20.7,0.499,6.0,7.8,0.777,2.9,7.6,10.5,4.6,2.4,1.7,3.8,26.7,95.0,"MVP-5,AS,NBA2"
13.0,Larry Kenon,24.0,SAS,PF,78.0,,2936.0,10.3,21.0,0.492,4.3,5.2,0.823,4.1,8.7,12.9,3.3,2.4,0.9,2.8,24.9,99.0,
14.0,John Havlicek,36.0,BOS,SF,79.0,,2913.0,8.9,19.7,0.452,3.6,4.4,0.816,1.7,4.2,5.9,6.1,1.3,0.3,3.2,21.4,100.0,AS
