Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Trp-Dbl,Awards
1.0,Wilt Chamberlain,28.0,2TM,C,73.0,,3301.0,14.561643835616438,28.534246575342465,0.51,5.589041095890411,12.054794520547945,0.464,1673.0,250.0,146.0,34.71232876712329,0.0,"MVP-5,AS,NBA2"
2.0,Jerry West,26.0,LAL,PG,74.0,,3066.0,11.108108108108109,22.364864864864863,0.497,8.756756756756756,10.662162162162161,0.821,447.0,364.0,221.0,30.972972972972972,1.0,"MVP-3,AS,NBA1"
3.0,Oscar Robertson,26.0,CIN,PG,75.0,,3421.0,10.76,22.413333333333334,0.48,8.866666666666667,10.573333333333334,0.839,674.0,861.0,205.0,30.386666666666667,22.0,"MVP-2,AS,NBA1"
4.0,Sam Jones,31.0,BOS,SG,80.0,,2885.0,10.2625,22.725,0.452,5.35,6.525,0.82,411.0,223.0,176.0,25.875,0.0,"MVP-4,AS,NBA2"
5.0,Elgin Baylor,30.0,LAL,SF,74.0,,3056.0,10.31081081081081,25.716216216216218,0.401,6.527027027027027,8.243243243243244,0.792,950.0,280.0,235.0,27.14864864864865,0.0,"AS,NBA1"
6.0,Walt Bellamy,25.0,BAL,C,80.0,,3301.0,9.1625,18.0125,0.509,6.4375,9.4,0.685,1166.0,191.0,260.0,24.7625,0.0,AS
7.0,Willis Reed,22.0,NYK,C,80.0,80.0,3042.0,7.8625,18.2125,0.432,3.775,5.0875,0.742,1175.0,133.0,339.0,19.5,0.0,"ROY-1,AS"
8.0,Bailey Howell,28.0,BAL,PF,80.0,,2975.0,6.4375,13.0,0.495,6.3,7.8625,0.801,869.0,208.0,345.0,19.175,0.0,
9.0,Terry Dischinger,24.0,DET,SG,80.0,,2698.0,7.1,14.4125,0.493,4.0,5.3,0.755,479.0,198.0,253.0,18.2,0.0,AS
10.0,Don Ohl,28.0,BAL,SG,77.0,,2821.0,7.376623376623376,16.844155844155843,0.438,3.688311688311688,5.038961038961039,0.732,336.0,250.0,274.0,18.441558441558442,0.0,AS
11.0,Gus Johnson,26.0,BAL,SF,76.0,,2899.0,7.592105263157895,18.144736842105264,0.418,3.4342105263157894,5.078947368421052,0.676,988.0,270.0,258.0,18.61842105263158,0.0,"AS,NBA2"
12.0,Jerry Lucas,24.0,CIN,PF,66.0,,2864.0,8.454545454545455,16.984848484848484,0.498,4.515151515151516,5.545454545454546,0.814,1321.0,157.0,214.0,21.424242424242426,0.0,"AS,NBA1"
13.0,Hal Greer,28.0,PHI,SG,70.0,,2600.0,7.7,17.785714285714285,0.433,4.785714285714286,5.9,0.811,355.0,313.0,254.0,20.185714285714287,1.0,"AS,NBA2"
14.0,John Havlicek,24.0,BOS,SG,75.0,,2169.0,7.6,18.933333333333334,0.401,3.1333333333333333,4.213333333333333,0.744,371.0,199.0,200.0,18.333333333333332,0.0,
15.0,Zelmo Beaty,25.0,STL,C,80.0,,2916.0,6.3125,13.0875,0.482,4.2625,5.9625,0.715,966.0,111.0,328.0,16.8875,0.0,
16.0,Dave DeBusschere,24.0,DET,PF,79.0,,2769.0,6.430379746835443,15.139240506329115,0.425,3.8734177215189876,5.531645569620253,0.7,874.0,253.0,242.0,16.734177215189874,1.0,
17.0,Lenny Wilkens,27.0,STL,PG,78.0,,2854.0,5.564102564102564,13.435897435897436,0.414,5.333333333333333,7.153846153846154,0.746,365.0,431.0,283.0,16.46153846153846,0.0,AS
18.0,Nate Thurmond,23.0,SFW,PF,77.0,,3173.0,6.740259740259741,16.103896103896105,0.419,3.051948051948052,4.636363636363637,0.658,1395.0,157.0,232.0,16.532467532467532,0.0,AS
19.0,Adrian Smith,28.0,CIN,SG,80.0,,2745.0,5.7875,12.7,0.456,3.55,4.275,0.83,220.0,240.0,199.0,15.125,0.0,
20.0,Jim Barnes,23.0,NYK,PF,75.0,69.0,2586.0,6.053333333333334,14.266666666666667,0.424,3.3466666666666667,5.053333333333334,0.662,729.0,93.0,312.0,15.453333333333333,0.0,ROY-3
21.0,Jack Twyman,30.0,CIN,SF,80.0,,2236.0,5.9875,13.5125,0.443,2.475,2.9875,0.828,383.0,137.0,239.0,14.45,0.0,
22.0,Guy Rodgers,29.0,SFW,SG,79.0,,2699.0,5.886075949367089,15.50632911392405,0.38,2.8227848101265822,4.113924050632911,0.686,323.0,565.0,256.0,14.594936708860759,1.0,
23.0,Bob Boozer,27.0,NYK,SF,80.0,51.0,2139.0,5.3,12.0375,0.44,3.6,4.6875,0.768,604.0,108.0,183.0,14.2,0.0,
24.0,Luke Jackson,23.0,PHI,PF,76.0,,2590.0,5.5131578947368425,13.328947368421053,0.414,3.789473684210526,5.315789473684211,0.713,980.0,93.0,251.0,14.81578947368421,0.0,"ROY-2,AS"
26.0,Bill Russell,30.0,BOS,C,78.0,,3466.0,5.5,12.564102564102564,0.438,3.128205128205128,5.461538461538462,0.573,1878.0,410.0,204.0,14.128205128205128,2.0,"MVP-1,AS,NBA1"
27.0,Rudy LaRusso,27.0,LAL,PF,77.0,,2588.0,4.9480519480519485,10.74025974025974,0.461,4.1688311688311686,5.3896103896103895,0.773,725.0,198.0,258.0,14.064935064935066,0.0,
28.0,Eddie Miles,24.0,DET,PG,76.0,,2074.0,5.776315789473684,13.078947368421053,0.442,2.1842105263157894,2.9342105263157894,0.744,258.0,157.0,201.0,13.736842105263158,0.0,
29.0,Chet Walker,24.0,PHI,SF,79.0,,2187.0,4.772151898734177,11.848101265822784,0.403,3.6455696202531644,4.9113924050632916,0.742,528.0,132.0,200.0,13.189873417721518,0.0,
30.0,Kevin Loughery,24.0,BAL,PG,80.0,,2417.0,5.075,11.9625,0.424,2.65,3.5125,0.754,235.0,296.0,320.0,12.8,0.0,
31.0,Ray Scott,26.0,DET,PF,66.0,,2167.0,6.090909090909091,16.545454545454547,0.368,3.3333333333333335,4.757575757575758,0.701,634.0,239.0,209.0,15.515151515151516,0.0,
32.0,Dick Barnett,28.0,LAL,SG,74.0,,2026.0,5.0675675675675675,12.27027027027027,0.413,3.6486486486486487,4.5675675675675675,0.799,200.0,159.0,209.0,13.783783783783784,0.0,
33.0,Dave Gambee,27.0,PHI,SF,80.0,,1993.0,4.45,10.8,0.412,3.7375,4.6,0.813,468.0,113.0,277.0,12.6375,0.0,
34.0,Cliff Hagan,33.0,STL,SF,77.0,,1739.0,5.103896103896104,11.7012987012987,0.436,2.779220779220779,3.4805194805194803,0.799,276.0,136.0,182.0,12.987012987012987,0.0,
35.0,Tom Meschery,26.0,SFW,SF,79.0,,2408.0,4.569620253164557,11.60759493670886,0.394,3.518987341772152,4.6835443037974684,0.751,655.0,106.0,279.0,12.658227848101266,0.0,
36.0,Howard Komives,23.0,NYK,PG,80.0,63.0,2378.0,4.7625,12.75,0.374,2.65,3.175,0.835,195.0,265.0,246.0,12.175,0.0,ROY-4
