Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Awards
1.0,Bob McAdoo,24.0,BUF,C,78.0,,42.7,12.0,24.6,0.487,7.2,9.4,0.762,3.1,9.3,12.4,4.0,1.2,2.1,3.8,31.1,"MVP-2,AS"
2.0,Kareem Abdul-Jabbar,28.0,LAL,C,82.0,82.0,41.2,11.1,21.1,0.529,5.5,7.8,0.703,3.3,13.5,16.9,5.0,1.5,4.1,3.6,27.7,"MVP-1,AS,NBA1"
3.0,Pete Maravich,28.0,NOJ,SG,62.0,,38.3,9.7,21.2,0.459,6.4,7.9,0.811,0.7,4.1,4.8,5.4,1.4,0.4,3.2,25.9,"MVP-15,NBA1"
4.0,Tiny Archibald,27.0,KCK,PG,78.0,,40.8,9.2,20.3,0.453,6.4,8.0,0.802,0.9,1.9,2.7,7.9,1.6,0.2,2.2,24.8,"MVP-9,AS,NBA1"
5.0,Fred Brown,27.0,SEA,SG,76.0,,33.1,9.8,20.0,0.488,3.6,4.1,0.869,1.5,2.7,4.2,2.7,1.9,0.2,2.4,23.1,"MVP-13,AS"
6.0,George McGinnis,25.0,PHI,PF,77.0,77.0,38.3,8.4,20.2,0.417,6.2,8.3,0.74,3.4,9.2,12.6,4.7,2.6,0.5,4.3,23.0,"MVP-5,AS,NBA1"
7.0,Randy Smith,27.0,BUF,SG,82.0,82.0,38.6,8.6,17.3,0.494,4.7,5.7,0.817,1.3,3.8,5.1,5.9,1.9,0.0,3.3,21.8,"MVP-24,AS,NBA2"
8.0,John Drew,21.0,ATL,SF,77.0,,30.5,7.6,15.2,0.502,6.3,8.5,0.744,3.7,4.9,8.6,1.9,1.8,0.4,3.4,21.6,"MVP-20,AS"
9.0,Bob Dandridge,28.0,MIL,SF,73.0,,37.5,8.9,17.8,0.502,3.7,4.5,0.824,2.3,5.1,7.4,2.8,1.5,0.5,3.6,21.5,"MVP-24,AS"
10.0,Bob Lanier,27.0,DET,C,64.0,,36.9,8.5,15.9,0.532,4.4,5.8,0.768,3.4,8.3,11.7,3.4,1.2,1.3,3.2,21.3,
