Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,DRtg,Awards
68.0,Don Chaney,27.0,BOS,SG,81.0,,2258.0,6.7,14.5,0.464,2.9,3.5,0.828,4.1,3.2,7.3,3.4,1.6,1.2,4.8,16.3,96.0,
69.0,Corky Calhoun,23.0,PHO,SF,77.0,,2207.0,5.3,11.5,0.461,1.9,2.6,0.76,2.3,5.8,8.1,2.7,1.4,0.6,5.0,12.6,102.0,
70.0,Jim Fox,30.0,SEA,C,78.0,,2179.0,6.4,13.5,0.478,4.8,5.9,0.823,4.9,9.4,14.3,4.5,1.1,0.4,4.9,17.7,98.0,
71.0,Butch Beard,26.0,GSW,PG,79.0,,2134.0,6.5,12.7,0.512,3.6,4.8,0.739,2.8,5.2,8.0,6.2,2.2,0.2,5.0,16.6,99.0,
72.0,Don Kojis,35.0,KCO,SF,77.0,,2091.0,8.7,18.1,0.478,4.5,5.9,0.772,2.7,5.6,8.3,2.4,1.7,0.3,3.4,21.9,101.0,
73.0,Dean Meminger,25.0,NYK,SG,78.0,50.0,2079.0,6.1,12.0,0.508,2.3,3.6,0.644,2.8,3.5,6.3,3.6,1.4,0.2,3.6,14.5,97.0,
74.0,Rick Roberson,26.0,POR,C,69.0,,2060.0,7.8,17.1,0.457,4.4,6.8,0.649,5.4,9.7,15.1,2.9,1.4,1.2,5.4,20.0,101.0,
75.0,Chris Ford,25.0,DET,SG,82.0,,2059.0,5.8,13.0,0.444,1.2,1.7,0.74,2.4,4.3,6.7,6.1,3.2,0.3,3.5,12.8,93.0,
76.0,Ron Behagen,23.0,KCO,PF,80.0,,2059.0,7.8,18.2,0.432,3.6,4.7,0.764,4.1,8.3,12.5,2.9,1.2,0.8,6.4,19.2,99.0,ROY-2
77.0,Kenny McIntosh,25.0,SEA,SF,69.0,,2056.0,4.7,12.1,0.389,1.4,2.3,0.607,2.4,5.3,7.7,2.0,1.1,0.6,3.8,10.8,100.0,
78.0,Phil Jackson,28.0,NYK,PF,82.0,21.0,2050.0,8.2,17.1,0.477,4.3,5.6,0.776,2.8,8.0,10.8,3.0,1.0,1.5,6.3,20.7,94.0,
79.0,Keith Erickson,29.0,PHO,SF,66.0,,2033.0,8.5,17.8,0.477,3.8,4.8,0.801,2.0,6.9,8.9,4.4,1.4,0.4,4.2,20.8,101.0,
80.0,Herm Gilliam,27.0,ATL,PG,62.0,,2003.0,8.3,18.3,0.454,2.3,2.9,0.791,1.3,4.5,5.8,7.7,2.9,0.4,4.1,18.9,98.0,
82.0,Mike Bantom,22.0,PHO,PF,76.0,,1982.0,6.9,17.4,0.399,3.1,4.7,0.662,3.8,7.7,11.5,3.6,1.1,1.0,6.4,17.0,101.0,
83.0,Jon McGlocklin,30.0,MIL,SG,79.0,,1910.0,7.8,16.5,0.475,1.7,1.9,0.9,0.8,2.5,3.3,5.7,1.0,0.2,3.1,17.4,99.0,
84.0,Steve Patterson,25.0,CLE,C,76.0,,1910.0,6.3,14.5,0.437,1.7,2.7,0.616,5.4,9.6,14.9,4.0,1.2,1.4,4.7,14.3,98.0,
85.0,Larry Jones,31.0,PHI,PG,72.0,60.0,1876.0,6.2,14.7,0.423,4.7,5.6,0.838,1.7,2.7,4.3,5.4,2.0,0.4,2.7,17.1,101.0,
86.0,Matt Guokas,29.0,3TM,SG,75.0,,1871.0,4.6,9.4,0.492,0.9,1.4,0.65,0.7,2.1,2.9,5.7,1.3,0.5,3.6,10.2,104.0,
87.0,Jim Brewer,22.0,CLE,PF,82.0,,1862.0,5.2,13.6,0.383,2.0,3.0,0.65,5.1,7.9,13.0,3.7,1.1,0.9,4.8,12.4,99.0,
88.0,Clem Haskins,30.0,PHO,SG,81.0,,1822.0,8.8,19.0,0.46,4.1,4.9,0.842,1.9,3.5,5.3,6.2,1.9,0.4,4.0,21.6,103.0,
89.0,Freddie Boyd,23.0,PHI,PG,75.0,26.0,1818.0,7.0,17.4,0.402,3.4,4.8,0.723,0.4,1.9,2.3,6.1,1.5,0.2,4.2,17.4,103.0,
90.0,Bill Bridges,34.0,LAL,PF,65.0,,1812.0,5.1,12.2,0.421,2.8,3.9,0.707,4.6,7.3,11.8,3.5,1.4,0.7,5.2,13.0,97.0,
