Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,DRtg,Awards
1.0,Bob McAdoo,23.0,BUF,C,82.0,,3539.0,13.8,26.9,0.512,8.1,10.0,0.805,3.9,10.7,14.5,2.3,1.2,2.2,3.5,35.6,95.0,"MVP-1,AS,NBA1"
2.0,Elvin Hayes,29.0,WSB,PF,82.0,,3465.0,9.6,21.8,0.443,5.3,7.0,0.766,2.9,10.2,13.1,2.7,2.1,2.4,3.1,24.6,88.0,"MVP-3,AS,NBA1"
3.0,Sam Lacey,26.0,KCO,C,81.0,,3378.0,5.3,12.5,0.427,2.0,2.6,0.754,3.1,12.5,15.6,5.8,1.9,2.3,3.7,12.6,92.0,"MVP-10,AS"
4.0,Tiny Archibald,26.0,KCO,PG,82.0,,3244.0,10.8,23.6,0.456,9.2,10.6,0.872,0.7,2.5,3.1,7.9,1.7,0.1,2.7,30.8,100.0,"MVP-6,AS,NBA1"
5.0,Rick Barry,30.0,GSW,SF,80.0,,3235.0,14.2,30.6,0.464,5.4,6.0,0.904,1.3,5.0,6.3,6.8,3.1,0.5,3.1,33.8,97.0,"MVP-4,AS,NBA1"
6.0,Dave Bing,31.0,DET,PG,79.0,,3222.0,8.6,19.8,0.434,5.1,6.3,0.809,1.3,3.0,4.2,9.0,1.7,0.4,3.3,22.2,102.0,AS
7.0,Jo Jo White,28.0,BOS,PG,82.0,,3220.0,9.2,20.2,0.457,2.6,3.1,0.834,1.2,3.2,4.4,6.4,1.8,0.2,2.9,21.1,97.0,"AS,NBA2"
8.0,Walt Frazier,29.0,NYK,PG,78.0,78.0,3204.0,9.8,20.2,0.483,4.8,5.8,0.828,1.3,5.4,6.8,6.9,2.8,0.2,3.0,24.3,97.0,"MVP-15,AS,NBA1"
9.0,Sidney Wicks,25.0,POR,PF,82.0,,3162.0,10.0,20.2,0.497,5.7,8.1,0.706,3.3,9.4,12.7,4.2,1.6,1.2,4.2,25.8,96.0,"MVP-12,AS"
10.0,Rudy Tomjanovich,26.0,HOU,PF,81.0,,3134.0,10.3,19.7,0.525,4.3,5.4,0.79,2.7,6.4,9.1,3.5,1.1,0.4,3.4,25.0,101.0,"MVP-21,AS"
11.0,John Havlicek,34.0,BOS,SF,82.0,,3132.0,9.3,20.4,0.455,4.2,4.8,0.87,2.2,4.8,7.0,6.2,1.6,0.2,3.3,22.7,96.0,"MVP-7,AS,NBA2"
12.0,Jimmy Walker,30.0,KCO,SG,81.0,,3122.0,8.1,17.1,0.475,3.6,4.3,0.855,0.8,2.8,3.5,3.3,1.3,0.2,3.3,19.9,101.0,
13.0,Geoff Petrie,26.0,POR,PG,80.0,,3109.0,8.9,19.5,0.456,3.8,4.6,0.839,0.6,2.5,3.1,6.3,1.2,0.2,3.2,21.6,102.0,
14.0,Fred Carter,29.0,PHI,PG,77.0,75.0,3046.0,10.9,24.3,0.447,3.9,5.3,0.738,1.1,4.1,5.2,5.1,1.2,0.3,3.9,25.7,101.0,
15.0,Bob Dandridge,27.0,MIL,SF,80.0,,3031.0,10.7,22.6,0.473,3.3,4.1,0.805,2.2,6.3,8.5,3.8,1.9,0.7,5.1,24.7,97.0,AS
16.0,Randy Smith,26.0,BUF,SG,82.0,,3001.0,9.1,18.7,0.484,3.5,4.4,0.8,1.4,3.7,5.1,7.9,2.0,0.0,3.7,21.6,100.0,
17.0,Bob Lanier,26.0,DET,C,76.0,,2987.0,11.7,22.9,0.51,5.8,7.2,0.802,3.6,11.0,14.6,5.6,1.2,2.7,3.8,29.1,96.0,"MVP-13,AS"
18.0,Wes Unseld,28.0,WSB,C,73.0,,2904.0,4.3,8.5,0.502,2.0,2.9,0.685,5.0,11.8,16.8,4.6,1.8,1.1,2.8,10.5,88.0,"MVP-9,AS"
19.0,Phil Chenier,24.0,WSB,SG,77.0,,2869.0,10.9,24.2,0.45,4.7,5.8,0.825,1.2,3.4,4.6,3.9,2.8,0.9,2.5,26.5,92.0,"MVP-8,AS,NBA2"
20.0,Billy Cunningham,31.0,PHI,SF,80.0,73.0,2859.0,9.9,23.1,0.428,5.6,7.2,0.777,2.1,9.7,11.8,7.2,1.5,0.6,4.4,25.4,96.0,
21.0,Pete Maravich,27.0,NOJ,SG,79.0,,2853.0,10.1,24.0,0.419,6.0,7.4,0.811,1.4,5.1,6.5,7.5,1.8,0.3,3.5,26.1,100.0,
22.0,Tom Van Arsdale,31.0,2TM,SF,82.0,6.0,2843.0,9.4,22.1,0.428,5.1,6.8,0.759,1.2,3.2,4.4,3.6,1.4,0.0,4.1,24.0,102.0,
