Rk,Player,Age,Team,Pos,G,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards
1.0,Neil Johnston,24.0,PHW,C,72.0,45.8,8.2,18.3,0.449,8.0,10.7,0.747,11.1,2.8,3.6,24.4,"AS,NBA1"
2.0,Bob Cousy,25.0,BOS,PG,72.0,39.7,6.8,17.5,0.385,5.7,7.3,0.787,5.5,7.2,2.8,19.2,"AS,NBA1"
3.0,Ed Macauley,25.0,BOS,C,71.0,39.3,6.5,13.4,0.486,5.9,7.8,0.758,8.0,3.8,2.4,18.9,"AS,NBA2"
4.0,George Mikan,29.0,MNL,C,72.0,32.8,6.1,16.1,0.38,5.9,7.6,0.777,14.3,2.4,3.7,18.1,"AS,NBA1"
5.0,Ray Felix,23.0,BLB,C,72.0,37.1,5.7,13.7,0.417,6.2,9.8,0.638,13.3,1.1,3.5,17.6,"ROY-1,AS"
6.0,Dolph Schayes,25.0,SYR,C,72.0,36.9,5.1,13.5,0.38,6.8,8.2,0.827,12.1,3.0,3.2,17.1,"AS,NBA1"
7.0,Bill Sharman,27.0,BOS,SG,72.0,34.3,5.7,12.7,0.45,4.6,5.4,0.844,3.5,3.2,2.9,16.0,AS
8.0,Larry Foust,25.0,FTW,C,72.0,37.4,5.2,12.8,0.409,4.7,6.6,0.712,13.4,2.2,3.6,15.1,AS
9.0,Carl Braun,26.0,NYK,SG,72.0,33.0,4.9,12.3,0.4,4.9,6.0,0.825,3.4,2.9,3.6,14.8,"AS,NBA2"
10.0,Joe Graboski,24.0,PHW,PF,71.0,38.9,5.0,14.1,0.354,3.3,4.9,0.674,9.4,2.3,3.1,13.3,
11.0,Bobby Wanzer,32.0,ROC,SG,72.0,35.3,4.5,11.6,0.386,4.4,5.9,0.734,5.4,3.5,2.4,13.3,"AS,NBA2"
12.0,Harry Gallatin,26.0,NYK,PF,72.0,37.4,3.6,8.9,0.404,6.0,7.7,0.784,15.3,2.1,2.9,13.2,"AS,NBA1"
13.0,Arnie Risen,29.0,ROC,C,72.0,33.1,4.5,12.1,0.368,4.3,6.0,0.714,10.1,1.7,3.9,13.2,AS
14.0,Paul Seymour,26.0,SYR,SG,71.0,38.4,4.5,11.8,0.377,4.2,5.2,0.813,4.1,5.1,2.6,13.1,"AS,NBA2"
15.0,Max Zaslofsky,28.0,3TM,SG,65.0,28.9,4.3,11.6,0.368,3.9,5.5,0.714,2.5,2.4,2.2,12.5,
16.0,Bob Davies,34.0,ROC,PG,72.0,29.7,4.0,10.8,0.371,4.3,6.0,0.718,2.7,4.5,3.1,12.3,AS
