Rk,Player,Age,Team,Pos,G,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards
1.0,Wilt Chamberlain,27.0,SFW,C,80.0,46.1,15.1,28.7,0.524,6.8,12.7,0.531,22.3,5.0,2.3,36.9,"MVP-2,AS,NBA1"
2.0,Oscar Robertson,25.0,CIN,PG,79.0,45.1,10.6,22.0,0.483,10.1,11.9,0.853,9.9,11.0,3.5,31.4,"MVP-1,AS,NBA1"
3.0,Jerry West,25.0,LAL,PG,72.0,40.4,10.3,21.2,0.484,8.1,9.8,0.832,6.0,5.6,2.8,28.7,"MVP-5,AS,NBA1"
4.0,Bob Pettit,31.0,STL,PF,80.0,41.2,9.9,21.4,0.463,7.6,9.6,0.789,15.3,3.2,3.8,27.4,"MVP-4,AS,NBA1"
5.0,Walt Bellamy,24.0,BAL,C,80.0,42.4,10.1,19.8,0.513,6.7,10.3,0.651,17.0,1.6,3.8,27.0,AS
6.0,Elgin Baylor,29.0,LAL,SF,78.0,40.6,9.7,22.8,0.425,6.0,7.5,0.804,12.0,4.4,3.0,25.4,"MVP-6,AS,NBA1"
7.0,Hal Greer,27.0,PHI,SG,80.0,39.5,8.9,20.1,0.444,5.4,6.6,0.829,6.1,4.7,3.6,23.3,"MVP-6,AS,NBA2"
8.0,Bailey Howell,27.0,DET,SF,77.0,35.1,7.8,16.5,0.472,6.1,7.5,0.809,10.1,2.7,3.8,21.6,AS
9.0,Terry Dischinger,23.0,BAL,SF,80.0,35.2,7.6,15.2,0.496,5.7,7.3,0.776,8.3,2.0,4.0,20.8,AS
10.0,John Havlicek,23.0,BOS,SF,80.0,32.3,8.0,19.2,0.417,3.9,5.3,0.746,5.4,3.0,2.8,19.9,NBA2
11.0,Sam Jones,30.0,BOS,SG,76.0,31.3,8.1,17.9,0.45,3.3,4.2,0.783,4.6,2.7,2.5,19.4,"MVP-9,AS"
12.0,Dick Barnett,27.0,LAL,SG,78.0,33.6,6.9,15.3,0.452,4.5,5.8,0.773,3.2,3.1,3.0,18.4,
13.0,Cliff Hagan,32.0,STL,SF,77.0,29.6,7.4,16.6,0.447,3.5,4.3,0.813,4.9,2.5,3.5,18.4,
14.0,Jerry Lucas,23.0,CIN,PF,79.0,41.4,6.9,13.1,0.527,3.9,5.0,0.779,17.4,2.6,3.8,17.7,"MVP-9,ROY-1,AS,NBA2"
15.0,Ray Scott,25.0,DET,PF,80.0,37.1,6.7,16.3,0.412,4.1,5.7,0.719,13.5,3.1,3.7,17.6,
16.0,Wayne Embry,26.0,CIN,C,80.0,36.4,7.0,15.2,0.458,3.4,5.2,0.65,11.6,1.4,4.1,17.3,"MVP-9,AS"
17.0,Gus Johnson,25.0,BAL,PF,78.0,36.5,7.3,17.0,0.43,2.7,4.1,0.658,13.6,2.2,4.1,17.3,"MVP-6,ROY-2"
18.0,Don Ohl,27.0,DET,SG,71.0,33.3,7.0,17.2,0.408,3.2,4.7,0.68,2.5,3.2,3.1,17.3,AS
19.0,Chet Walker,23.0,PHI,SF,76.0,36.5,6.5,14.7,0.44,4.3,6.1,0.711,10.3,1.6,3.1,17.3,AS
20.0,Len Chappell,23.0,2TM,PF,79.0,31.7,6.7,15.0,0.448,3.6,5.1,0.715,9.8,1.1,2.7,17.1,AS
21.0,Red Kerr,31.0,PHI,C,80.0,36.7,6.7,15.6,0.429,3.4,4.5,0.751,12.7,3.4,2.3,16.8,
22.0,Tom Heinsohn,29.0,BOS,PF,76.0,26.8,6.4,16.1,0.398,3.7,4.5,0.827,6.1,2.4,3.5,16.5,"AS,NBA2"
23.0,Jack Twyman,29.0,CIN,SF,68.0,29.4,6.6,14.6,0.45,2.8,3.4,0.829,5.4,2.0,3.9,15.9,
24.0,Art Heyman,22.0,NYK,SG,75.0,29.8,5.8,13.4,0.431,3.9,5.6,0.685,4.0,3.4,3.1,15.4,
25.0,Billy McGill,24.0,2TM,C,74.0,24.1,6.2,12.7,0.487,2.8,3.8,0.723,5.6,1.6,2.9,15.1,
26.0,Bill Russell,29.0,BOS,C,78.0,44.6,6.0,13.8,0.433,3.0,5.5,0.55,24.7,4.7,2.4,15.0,"MVP-3,AS,NBA2"
27.0,Bob Boozer,26.0,2TM,SF,81.0,29.4,5.8,13.5,0.427,3.4,4.6,0.723,7.4,1.2,2.9,14.9,
28.0,Johnny Green,30.0,NYK,PF,80.0,26.7,6.0,12.8,0.47,2.4,4.9,0.497,10.0,2.0,3.1,14.5,
29.0,Rod Thorn,22.0,BAL,SG,75.0,34.6,5.5,13.5,0.405,3.4,4.7,0.731,4.8,3.7,2.5,14.4,
30.0,Tom Meschery,25.0,SFW,SF,80.0,30.3,5.5,11.9,0.458,2.6,3.7,0.702,7.7,1.9,3.6,13.5,
31.0,Wayne Hightower,24.0,SFW,PF,79.0,32.1,5.0,12.9,0.385,3.3,4.2,0.79,7.2,1.7,3.4,13.2,
32.0,Zelmo Beaty,24.0,STL,C,59.0,32.6,4.9,11.0,0.444,3.4,4.6,0.741,10.7,1.3,4.4,13.1,
33.0,Richie Guerin,31.0,2TM,SG,80.0,29.6,4.4,10.6,0.415,4.3,5.3,0.818,3.2,4.7,3.5,13.1,
35.0,Johnny Egan,25.0,2TM,PG,66.0,35.2,5.1,11.5,0.441,2.9,3.7,0.794,2.9,5.4,2.7,13.0,
36.0,Rudy LaRusso,26.0,LAL,PF,79.0,34.8,4.3,9.8,0.434,3.8,5.0,0.751,10.1,2.4,3.4,12.3,
37.0,Lenny Wilkens,26.0,STL,PG,78.0,32.4,4.3,10.4,0.413,3.5,4.7,0.74,4.3,4.6,3.7,12.0,AS
