Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
1.0,Chris Mullin,27.0,GSW,SF,82.0,82.0,3315.0,10.9,20.3,0.536,0.6,1.9,0.301,10.3,18.4,0.56,0.55,7.2,8.1,0.884,2.0,4.2,6.2,4.6,2.4,0.9,3.4,2.5,29.5,121.0,110.0,"AS,NBA2"
2.0,Karl Malone,27.0,UTA,PF,82.0,82.0,3302.0,12.9,24.5,0.527,0.1,0.2,0.286,12.9,24.3,0.529,0.528,10.4,13.6,0.77,3.6,11.2,14.8,4.1,1.4,1.2,3.7,4.1,36.4,117.0,102.0,"MVP-5,AS,NBA1"
3.0,Tim Hardaway,24.0,GSW,PG,82.0,82.0,3215.0,10.7,22.4,0.476,1.4,3.6,0.385,9.3,18.7,0.494,0.508,4.4,5.5,0.803,1.3,3.5,4.8,11.4,3.1,0.2,3.9,3.3,27.1,114.0,110.0,"MVP-19,AS"
4.0,Tyrone Corbin,28.0,MIN,SF,82.0,82.0,3196.0,9.5,21.3,0.448,0.0,0.2,0.2,9.5,21.2,0.45,0.449,4.8,6.0,0.798,3.0,6.6,9.6,5.6,2.6,0.9,3.4,4.2,23.9,105.0,109.0,
5.0,Pooh Richardson,24.0,MIN,PG,82.0,82.0,3154.0,10.5,22.3,0.47,0.7,2.1,0.328,9.8,20.1,0.485,0.486,1.5,2.7,0.539,1.4,3.4,4.7,12.1,2.2,0.2,2.9,1.9,23.1,110.0,113.0,
6.0,Sam Mitchell,27.0,MIN,PF,82.0,60.0,3121.0,7.4,16.8,0.441,0.0,0.1,0.0,7.4,16.7,0.445,0.441,5.1,6.6,0.775,3.1,5.5,8.7,2.2,1.1,0.9,1.7,5.6,19.9,111.0,113.0,
7.0,Hersey Hawkins,24.0,PHI,SG,80.0,80.0,3110.0,9.5,20.2,0.472,1.7,4.4,0.4,7.8,15.8,0.491,0.515,7.7,8.9,0.871,0.8,4.2,5.0,4.8,2.9,0.6,3.4,2.9,28.5,114.0,108.0,AS
8.0,Patrick Ewing,28.0,NYK,C,81.0,81.0,3104.0,13.8,26.8,0.514,0.0,0.1,0.0,13.8,26.7,0.516,0.514,7.6,10.1,0.745,3.2,11.6,14.7,4.0,1.3,4.2,4.7,4.7,35.1,107.0,101.0,"MVP-11,DPOY-7,AS,NBA2"
9.0,John Stockton,28.0,UTA,PG,82.0,82.0,3103.0,8.1,15.9,0.507,0.9,2.7,0.345,7.1,13.2,0.541,0.537,5.9,7.0,0.836,0.7,3.1,3.8,18.9,3.8,0.3,4.8,3.8,22.9,120.0,104.0,"MVP-12,DPOY-7,AS,NBA3"
10.0,David Robinson,25.0,SAS,C,82.0,81.0,3095.0,11.9,21.5,0.552,0.0,0.1,0.143,11.8,21.4,0.554,0.552,9.3,12.2,0.762,5.3,11.5,16.7,3.3,2.0,5.0,4.2,4.2,33.1,119.0,96.0,"MVP-3,DPOY-2,AS,NBA1"
11.0,Dominique Wilkins,31.0,ATL,SF,81.0,81.0,3078.0,12.2,25.9,0.47,1.3,3.9,0.341,10.8,22.0,0.492,0.495,7.5,9.1,0.829,4.1,7.4,11.6,4.2,1.9,1.0,3.2,2.5,33.2,116.0,109.0,"MVP-8,AS,NBA2"
12.0,Joe Dumars,27.0,DET,SG,80.0,80.0,3046.0,10.7,22.2,0.481,0.2,0.8,0.311,10.4,21.4,0.488,0.487,6.4,7.1,0.89,1.1,2.1,3.2,7.6,1.5,0.1,3.2,2.3,27.9,115.0,108.0,"MVP-15,DPOY-4,AS,NBA3"
13.0,Sean Elliott,22.0,SAS,SF,82.0,82.0,3044.0,7.6,15.6,0.49,0.3,1.0,0.313,7.3,14.6,0.502,0.5,5.2,6.4,0.808,2.3,5.0,7.3,3.8,1.1,0.5,2.4,3.0,20.8,115.0,107.0,
14.0,Otis Thorpe,28.0,HOU,PF,82.0,82.0,3039.0,8.8,15.8,0.556,0.0,0.1,0.429,8.8,15.7,0.557,0.557,5.4,7.7,0.696,4.6,9.0,13.6,3.2,1.2,0.3,3.5,4.5,23.0,116.0,104.0,
15.0,Michael Jordan,27.0,CHI,SG,82.0,82.0,3034.0,16.4,30.4,0.539,0.5,1.5,0.312,15.9,28.9,0.551,0.547,9.4,11.1,0.851,2.0,6.2,8.1,7.5,3.7,1.4,3.3,3.8,42.7,125.0,102.0,"MVP-1,DPOY-7,AS,NBA1"
16.0,Mitch Richmond,25.0,GSW,SG,77.0,77.0,3027.0,10.8,21.8,0.494,0.6,1.8,0.348,10.1,20.0,0.506,0.508,6.0,7.1,0.847,2.3,4.7,6.9,3.6,1.9,0.5,3.5,3.2,28.2,111.0,111.0,
17.0,Scottie Pippen,25.0,CHI,SF,82.0,82.0,3014.0,10.0,19.2,0.52,0.3,1.1,0.309,9.6,18.1,0.534,0.529,4.0,5.7,0.706,2.7,7.2,9.9,8.5,3.2,1.5,3.9,4.5,24.3,114.0,102.0,DPOY-7
18.0,James Worthy,29.0,LAL,SF,78.0,74.0,3008.0,12.1,24.7,0.492,0.4,1.5,0.289,11.7,23.1,0.505,0.501,3.6,4.5,0.797,1.8,4.2,6.0,4.7,1.8,0.6,2.2,2.0,28.3,113.0,107.0,"AS,NBA3"
19.0,Lionel Simmons,22.0,SAC,SF,79.0,79.0,2978.0,9.3,22.1,0.422,0.1,0.2,0.273,9.3,22.0,0.423,0.423,5.4,7.4,0.736,3.3,8.6,11.9,5.4,1.9,1.4,3.9,4.2,24.2,97.0,106.0,ROY-2
20.0,Reggie Miller,25.0,IND,SG,82.0,82.0,2972.0,9.7,18.9,0.512,1.8,5.2,0.348,7.9,13.7,0.575,0.56,9.0,9.8,0.918,1.3,3.3,4.6,5.4,1.8,0.2,2.6,2.7,30.2,130.0,114.0,
21.0,Rolando Blackman,31.0,DAL,SG,80.0,80.0,2965.0,10.9,22.6,0.482,0.7,2.0,0.351,10.2,20.7,0.494,0.497,4.8,5.6,0.865,1.1,3.3,4.4,5.2,1.2,0.3,2.7,2.6,27.3,110.0,114.0,
