Rk,Player,Age,Team,Pos,G,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Trp-Dbl,Awards
1.0,Bob Pettit,26.0,STL,PF,72.0,2873.0,9.98611111111111,22.77777777777778,0.438,9.26388888888889,12.208333333333334,0.759,1182.0,221.0,200.0,29.23611111111111,0.0,"MVP-1,AS,NBA1"
2.0,Jack Twyman,24.0,CIN,SF,72.0,2713.0,9.86111111111111,23.48611111111111,0.42,6.069444444444445,7.75,0.783,653.0,209.0,277.0,25.791666666666668,0.0,"MVP-10,AS"
3.0,Paul Arizin,30.0,PHW,SF,70.0,2799.0,9.028571428571428,20.942857142857143,0.431,8.385714285714286,10.314285714285715,0.813,637.0,119.0,264.0,26.442857142857143,0.0,"MVP-5,AS,NBA2"
4.0,Elgin Baylor,24.0,MNL,SF,70.0,2855.0,8.642857142857142,21.17142857142857,0.408,7.6,9.785714285714286,0.777,1050.0,287.0,270.0,24.885714285714286,1.0,"MVP-3,ROY-1,AS,NBA1"
5.0,Cliff Hagan,27.0,STL,SF,72.0,2702.0,8.972222222222221,19.680555555555557,0.456,5.763888888888889,7.444444444444445,0.774,783.0,245.0,275.0,23.708333333333332,1.0,"MVP-9,AS,NBA2"
6.0,Dolph Schayes,30.0,SYR,PF,72.0,2645.0,7.0,18.11111111111111,0.387,7.305555555555555,8.458333333333334,0.864,962.0,178.0,280.0,21.305555555555557,0.0,"MVP-6,AS,NBA2"
7.0,Kenny Sears,25.0,NYK,PF,71.0,2498.0,6.915492957746479,14.112676056338028,0.49,7.126760563380282,8.28169014084507,0.861,658.0,136.0,237.0,20.95774647887324,0.0,"MVP-8,AS"
8.0,Bill Sharman,32.0,BOS,SG,72.0,2382.0,7.805555555555555,19.125,0.408,4.75,5.097222222222222,0.932,292.0,179.0,173.0,20.36111111111111,0.0,"AS,NBA1"
9.0,Bob Cousy,30.0,BOS,PG,65.0,2403.0,7.446153846153846,19.384615384615383,0.384,5.061538461538461,5.923076923076923,0.855,359.0,557.0,135.0,19.953846153846154,3.0,"MVP-4,AS,NBA1"
10.0,Richie Guerin,26.0,NYK,SG,71.0,2558.0,6.23943661971831,14.732394366197184,0.424,5.704225352112676,7.112676056338028,0.802,518.0,364.0,255.0,18.183098591549296,1.0,"MVP-11,AS,NBA2"
11.0,Red Kerr,26.0,SYR,C,72.0,2671.0,6.972222222222222,15.819444444444445,0.441,3.9027777777777777,5.097222222222222,0.766,1008.0,142.0,183.0,17.84722222222222,0.0,AS
12.0,Gene Shue,27.0,DET,PG,72.0,2745.0,6.444444444444445,16.625,0.388,4.694444444444445,5.847222222222222,0.803,335.0,231.0,129.0,17.583333333333332,0.0,"MVP-14,AS"
13.0,Tom Heinsohn,24.0,BOS,PF,66.0,2089.0,7.045454545454546,18.060606060606062,0.39,4.7272727272727275,5.924242424242424,0.798,638.0,164.0,271.0,18.818181818181817,0.0,
14.0,George Yardley,30.0,2TM,SF,61.0,1839.0,7.311475409836065,17.081967213114755,0.428,5.19672131147541,6.672131147540983,0.779,431.0,65.0,159.0,19.81967213114754,0.0,AS
15.0,Bill Russell,24.0,BOS,C,70.0,2979.0,6.514285714285714,14.242857142857142,0.457,3.657142857142857,6.114285714285714,0.598,1612.0,222.0,161.0,16.685714285714287,0.0,"MVP-2,AS,NBA1"
16.0,Woody Sauldsberry,24.0,PHW,C,72.0,2743.0,6.958333333333333,19.166666666666668,0.363,1.5277777777777777,2.4444444444444446,0.625,826.0,71.0,276.0,15.444444444444445,0.0,AS
17.0,Larry Costello,27.0,SYR,PG,70.0,2750.0,5.914285714285715,13.542857142857143,0.437,4.0,4.985714285714286,0.802,365.0,379.0,263.0,15.82857142857143,0.0,"MVP-7,AS"
18.0,Frank Ramsey,27.0,BOS,SG,72.0,2013.0,5.319444444444445,14.069444444444445,0.378,4.736111111111111,6.055555555555555,0.782,491.0,147.0,266.0,15.375,0.0,
19.0,Willie Naulls,24.0,NYK,SF,68.0,2061.0,5.955882352941177,15.764705882352942,0.378,3.7941176470588234,4.573529411764706,0.83,723.0,102.0,233.0,15.705882352941176,0.0,
20.0,Joe Graboski,29.0,PHW,PF,72.0,2482.0,5.472222222222222,15.5,0.353,3.75,5.0,0.75,751.0,148.0,249.0,14.694444444444445,0.0,
21.0,Phil Jordon,25.0,DET,PF,72.0,2058.0,5.541666666666667,13.430555555555555,0.413,3.2083333333333335,4.208333333333333,0.762,594.0,83.0,193.0,14.291666666666666,0.0,
22.0,Clyde Lovellette,29.0,STL,C,70.0,1599.0,5.742857142857143,12.642857142857142,0.454,2.9285714285714284,3.5714285714285716,0.82,605.0,91.0,216.0,14.414285714285715,0.0,
23.0,Vern Mikkelsen,30.0,MNL,PF,72.0,2139.0,4.902777777777778,12.555555555555555,0.39,3.9722222222222223,4.930555555555555,0.806,570.0,159.0,246.0,13.777777777777779,0.0,
24.0,Dick Garmaker,26.0,MNL,SG,72.0,2493.0,4.861111111111111,12.291666666666666,0.395,3.9444444444444446,5.111111111111111,0.772,325.0,211.0,226.0,13.666666666666666,0.0,AS
25.0,Walter Dukes,28.0,DET,C,72.0,2338.0,4.416666666666667,12.555555555555555,0.352,4.125,6.277777777777778,0.657,958.0,64.0,332.0,12.958333333333334,0.0,
26.0,Tom Gola,26.0,PHW,SG,64.0,2333.0,4.84375,12.078125,0.401,4.390625,5.578125,0.787,710.0,269.0,243.0,14.078125,0.0,MVP-11
27.0,Larry Foust,30.0,MNL,C,72.0,1933.0,4.180555555555555,10.708333333333334,0.39,3.888888888888889,5.083333333333333,0.765,627.0,91.0,233.0,12.25,0.0,AS
28.0,Ed Conlin,25.0,2TM,SG,72.0,1955.0,4.569444444444445,12.375,0.369,2.736111111111111,3.8055555555555554,0.719,394.0,132.0,188.0,11.875,0.0,
29.0,Dave Piontek,24.0,CIN,PF,72.0,1674.0,4.236111111111111,11.291666666666666,0.375,2.1666666666666665,3.1527777777777777,0.687,385.0,124.0,162.0,10.63888888888889,0.0,
30.0,Sam Jones,25.0,BOS,SG,71.0,1466.0,4.295774647887324,9.901408450704226,0.434,2.1267605633802815,2.76056338028169,0.77,428.0,101.0,102.0,10.71830985915493,0.0,
31.0,Carl Braun,31.0,NYK,PG,72.0,1959.0,3.986111111111111,9.5,0.42,2.5,3.0277777777777777,0.826,251.0,349.0,178.0,10.472222222222221,0.0,
32.0,Hal Greer,22.0,SYR,SG,68.0,1625.0,4.529411764705882,9.985294117647058,0.454,2.014705882352941,2.588235294117647,0.778,196.0,101.0,189.0,11.073529411764707,0.0,
33.0,Wayne Embry,21.0,CIN,C,66.0,1590.0,4.121212121212121,10.636363636363637,0.387,3.121212121212121,4.757575757575758,0.656,597.0,96.0,232.0,11.363636363636363,0.0,
34.0,Ray Felix,28.0,NYK,C,72.0,1588.0,3.611111111111111,9.722222222222221,0.371,3.1805555555555554,4.458333333333333,0.713,569.0,49.0,275.0,10.402777777777779,0.0,
35.0,Bucky Bockhorn,25.0,CIN,SG,71.0,2251.0,4.140845070422535,10.859154929577464,0.381,1.943661971830986,2.76056338028169,0.704,460.0,206.0,215.0,10.225352112676056,0.0,
36.0,Al Bianchi,26.0,SYR,PG,72.0,1779.0,3.9583333333333335,10.5,0.377,2.0694444444444446,2.861111111111111,0.723,199.0,159.0,260.0,9.98611111111111,0.0,MVP-14
37.0,Jim Palmer,25.0,CIN,C,67.0,1624.0,3.8208955223880596,9.447761194029852,0.404,2.656716417910448,3.671641791044776,0.724,472.0,65.0,211.0,10.298507462686567,0.0,
38.0,Slater Martin,33.0,STL,PG,71.0,2504.0,3.4507042253521125,9.943661971830986,0.347,2.7746478873239435,3.5774647887323945,0.776,253.0,336.0,230.0,9.67605633802817,0.0,"AS,NBA2"
39.0,Hot Rod Hundley,24.0,MNL,PG,71.0,1664.0,3.647887323943662,10.126760563380282,0.36,2.3098591549295775,3.0704225352112675,0.752,250.0,205.0,139.0,9.605633802816902,0.0,
40.0,Bob Hopkins,24.0,SYR,PF,67.0,1518.0,3.671641791044776,9.119402985074627,0.403,2.626865671641791,3.4925373134328357,0.752,436.0,67.0,181.0,9.970149253731343,0.0,
41.0,Frank Selvy,26.0,NYK,SG,68.0,1448.0,3.426470588235294,8.897058823529411,0.385,2.9558823529411766,3.8529411764705883,0.767,248.0,96.0,113.0,9.808823529411764,0.0,
42.0,Dick McGuire,33.0,DET,PG,71.0,2063.0,3.267605633802817,7.647887323943662,0.427,2.6901408450704225,3.6338028169014085,0.74,285.0,443.0,147.0,9.225352112676056,1.0,"MVP-11,AS"
43.0,Jim Krebs,23.0,MNL,C,72.0,1578.0,3.763888888888889,9.430555555555555,0.399,1.2777777777777777,1.7083333333333333,0.748,491.0,50.0,212.0,8.805555555555555,0.0,
44.0,Jack George,30.0,2TM,PG,71.0,1881.0,3.2816901408450705,9.492957746478874,0.346,2.1549295774647885,2.859154929577465,0.754,293.0,221.0,149.0,8.71830985915493,0.0,
45.0,Charlie Tyra,23.0,NYK,C,69.0,1586.0,3.4782608695652173,8.782608695652174,0.396,1.8695652173913044,2.753623188405797,0.679,485.0,33.0,180.0,8.826086956521738,0.0,
47.0,Earl Lloyd,30.0,DET,SF,72.0,1796.0,3.25,9.305555555555555,0.349,1.9027777777777777,2.5277777777777777,0.753,500.0,90.0,291.0,8.402777777777779,0.0,
49.0,Jack McMahon,30.0,STL,SG,72.0,2235.0,3.4444444444444446,9.61111111111111,0.358,1.3333333333333333,2.1666666666666665,0.615,164.0,298.0,221.0,8.222222222222221,0.0,
50.0,Joe Holup,24.0,DET,SF,68.0,1502.0,3.073529411764706,8.529411764705882,0.36,2.235294117647059,2.9411764705882355,0.76,352.0,73.0,239.0,8.382352941176471,0.0,
52.0,Jim Loscutoff,28.0,BOS,SF,66.0,1680.0,3.6666666666666665,10.393939393939394,0.353,0.9393939393939394,1.2727272727272727,0.738,460.0,60.0,285.0,8.272727272727273,0.0,
53.0,Slick Leonard,26.0,MNL,PG,58.0,1598.0,3.5517241379310347,9.517241379310345,0.373,2.0689655172413794,2.7586206896551726,0.75,178.0,186.0,119.0,9.172413793103448,0.0,
59.0,Mike Farmer,22.0,NYK,SF,72.0,1545.0,2.4444444444444446,6.916666666666667,0.353,1.1527777777777777,1.375,0.838,315.0,66.0,152.0,6.041666666666667,0.0,
60.0,Chuck Share,31.0,STL,C,72.0,1713.0,2.0416666666666665,5.291666666666667,0.386,1.9305555555555556,2.5555555555555554,0.755,657.0,103.0,261.0,6.013888888888889,0.0,
