Rk,Player,Age,Team,Pos,G,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards
1.0,Bob Pettit,26.0,STL,PF,72.0,39.9,10.0,22.8,0.438,9.3,12.2,0.759,16.4,3.1,2.8,29.2,"MVP-1,AS,NBA1"
2.0,Paul Arizin,30.0,PHW,SF,70.0,40.0,9.0,20.9,0.431,8.4,10.3,0.813,9.1,1.7,3.8,26.4,"MVP-5,AS,NBA2"
3.0,Jack Twyman,24.0,CIN,SF,72.0,37.7,9.9,23.5,0.42,6.1,7.8,0.783,9.1,2.9,3.8,25.8,"MVP-10,AS"
4.0,Elgin Baylor,24.0,MNL,SF,70.0,40.8,8.6,21.2,0.408,7.6,9.8,0.777,15.0,4.1,3.9,24.9,"MVP-3,ROY-1,AS,NBA1"
5.0,Cliff Hagan,27.0,STL,SF,72.0,37.5,9.0,19.7,0.456,5.8,7.4,0.774,10.9,3.4,3.8,23.7,"MVP-9,AS,NBA2"
6.0,Dolph Schayes,30.0,SYR,PF,72.0,36.7,7.0,18.1,0.387,7.3,8.5,0.864,13.4,2.5,3.9,21.3,"MVP-6,AS,NBA2"
7.0,Kenny Sears,25.0,NYK,PF,71.0,35.2,6.9,14.1,0.49,7.1,8.3,0.861,9.3,1.9,3.3,21.0,"MVP-8,AS"
8.0,Bill Sharman,32.0,BOS,SG,72.0,33.1,7.8,19.1,0.408,4.8,5.1,0.932,4.1,2.5,2.4,20.4,"AS,NBA1"
9.0,Bob Cousy,30.0,BOS,PG,65.0,37.0,7.4,19.4,0.384,5.1,5.9,0.855,5.5,8.6,2.1,20.0,"MVP-4,AS,NBA1"
10.0,George Yardley,30.0,2TM,SF,61.0,30.1,7.3,17.1,0.428,5.2,6.7,0.779,7.1,1.1,2.6,19.8,AS
11.0,Tom Heinsohn,24.0,BOS,PF,66.0,31.7,7.0,18.1,0.39,4.7,5.9,0.798,9.7,2.5,4.1,18.8,
12.0,Richie Guerin,26.0,NYK,SG,71.0,36.0,6.2,14.7,0.424,5.7,7.1,0.802,7.3,5.1,3.6,18.2,"MVP-11,AS,NBA2"
13.0,Red Kerr,26.0,SYR,C,72.0,37.1,7.0,15.8,0.441,3.9,5.1,0.766,14.0,2.0,2.5,17.8,AS
14.0,Gene Shue,27.0,DET,PG,72.0,38.1,6.4,16.6,0.388,4.7,5.8,0.803,4.7,3.2,1.8,17.6,"MVP-14,AS"
15.0,Bill Russell,24.0,BOS,C,70.0,42.6,6.5,14.2,0.457,3.7,6.1,0.598,23.0,3.2,2.3,16.7,"MVP-2,AS,NBA1"
16.0,Larry Costello,27.0,SYR,PG,70.0,39.3,5.9,13.5,0.437,4.0,5.0,0.802,5.2,5.4,3.8,15.8,"MVP-7,AS"
17.0,Willie Naulls,24.0,NYK,SF,68.0,30.3,6.0,15.8,0.378,3.8,4.6,0.83,10.6,1.5,3.4,15.7,
18.0,Frank Ramsey,27.0,BOS,SG,72.0,28.0,5.3,14.1,0.378,4.7,6.1,0.782,6.8,2.0,3.7,15.4,
19.0,Woody Sauldsberry,24.0,PHW,C,72.0,38.1,7.0,19.2,0.363,1.5,2.4,0.625,11.5,1.0,3.8,15.4,AS
20.0,Joe Graboski,29.0,PHW,PF,72.0,34.5,5.5,15.5,0.353,3.8,5.0,0.75,10.4,2.1,3.5,14.7,
21.0,Clyde Lovellette,29.0,STL,C,70.0,22.8,5.7,12.6,0.454,2.9,3.6,0.82,8.6,1.3,3.1,14.4,
22.0,Phil Jordon,25.0,DET,PF,72.0,28.6,5.5,13.4,0.413,3.2,4.2,0.762,8.3,1.2,2.7,14.3,
23.0,Tom Gola,26.0,PHW,SG,64.0,36.5,4.8,12.1,0.401,4.4,5.6,0.787,11.1,4.2,3.8,14.1,MVP-11
24.0,Vern Mikkelsen,30.0,MNL,PF,72.0,29.7,4.9,12.6,0.39,4.0,4.9,0.806,7.9,2.2,3.4,13.8,
25.0,Dick Garmaker,26.0,MNL,SG,72.0,34.6,4.9,12.3,0.395,3.9,5.1,0.772,4.5,2.9,3.1,13.7,AS
26.0,Walter Dukes,28.0,DET,C,72.0,32.5,4.4,12.6,0.352,4.1,6.3,0.657,13.3,0.9,4.6,13.0,
28.0,Larry Foust,30.0,MNL,C,72.0,26.8,4.2,10.7,0.39,3.9,5.1,0.765,8.7,1.3,3.2,12.3,AS
29.0,Ed Conlin,25.0,2TM,SG,72.0,27.2,4.6,12.4,0.369,2.7,3.8,0.719,5.5,1.8,2.6,11.9,
30.0,Wayne Embry,21.0,CIN,C,66.0,24.1,4.1,10.6,0.387,3.1,4.8,0.656,9.0,1.5,3.5,11.4,
31.0,Hal Greer,22.0,SYR,SG,68.0,23.9,4.5,10.0,0.454,2.0,2.6,0.778,2.9,1.5,2.8,11.1,
32.0,Sam Jones,25.0,BOS,SG,71.0,20.6,4.3,9.9,0.434,2.1,2.8,0.77,6.0,1.4,1.4,10.7,
34.0,Dave Piontek,24.0,CIN,PF,72.0,23.3,4.2,11.3,0.375,2.2,3.2,0.687,5.3,1.7,2.3,10.6,
35.0,Carl Braun,31.0,NYK,PG,72.0,27.2,4.0,9.5,0.42,2.5,3.0,0.826,3.5,4.8,2.5,10.5,
36.0,Ray Felix,28.0,NYK,C,72.0,22.1,3.6,9.7,0.371,3.2,4.5,0.713,7.9,0.7,3.8,10.4,
37.0,Jim Palmer,25.0,CIN,C,67.0,24.2,3.8,9.4,0.404,2.7,3.7,0.724,7.0,1.0,3.1,10.3,
38.0,Bucky Bockhorn,25.0,CIN,SG,71.0,31.7,4.1,10.9,0.381,1.9,2.8,0.704,6.5,2.9,3.0,10.2,
39.0,Al Bianchi,26.0,SYR,PG,72.0,24.7,4.0,10.5,0.377,2.1,2.9,0.723,2.8,2.2,3.6,10.0,MVP-14
40.0,Bob Hopkins,24.0,SYR,PF,67.0,22.7,3.7,9.1,0.403,2.6,3.5,0.752,6.5,1.0,2.7,10.0,
41.0,Frank Selvy,26.0,NYK,SG,68.0,21.3,3.4,8.9,0.385,3.0,3.9,0.767,3.6,1.4,1.7,9.8,
42.0,Slater Martin,33.0,STL,PG,71.0,35.3,3.5,9.9,0.347,2.8,3.6,0.776,3.6,4.7,3.2,9.7,"AS,NBA2"
43.0,Hot Rod Hundley,24.0,MNL,PG,71.0,23.4,3.6,10.1,0.36,2.3,3.1,0.752,3.5,2.9,2.0,9.6,
45.0,Dick McGuire,33.0,DET,PG,71.0,29.1,3.3,7.6,0.427,2.7,3.6,0.74,4.0,6.2,2.1,9.2,"MVP-11,AS"
46.0,Jim Krebs,23.0,MNL,C,72.0,21.9,3.8,9.4,0.399,1.3,1.7,0.748,6.8,0.7,2.9,8.8,
47.0,Charlie Tyra,23.0,NYK,C,69.0,23.0,3.5,8.8,0.396,1.9,2.8,0.679,7.0,0.5,2.6,8.8,
48.0,Jack George,30.0,2TM,PG,71.0,26.5,3.3,9.5,0.346,2.2,2.9,0.754,4.1,3.1,2.1,8.7,
50.0,Joe Holup,24.0,DET,SF,68.0,22.1,3.1,8.5,0.36,2.2,2.9,0.76,5.2,1.1,3.5,8.4,
51.0,Earl Lloyd,30.0,DET,SF,72.0,24.9,3.3,9.3,0.349,1.9,2.5,0.753,6.9,1.3,4.0,8.4,
53.0,Jim Loscutoff,28.0,BOS,SF,66.0,25.5,3.7,10.4,0.353,0.9,1.3,0.738,7.0,0.9,4.3,8.3,
55.0,Jack McMahon,30.0,STL,SG,72.0,31.0,3.4,9.6,0.358,1.3,2.2,0.615,2.3,4.1,3.1,8.2,
64.0,Mike Farmer,22.0,NYK,SF,72.0,21.5,2.4,6.9,0.353,1.2,1.4,0.838,4.4,0.9,2.1,6.0,
65.0,Chuck Share,31.0,STL,C,72.0,23.8,2.0,5.3,0.386,1.9,2.6,0.755,9.1,1.4,3.6,6.0,
