Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards
1.0,Elvin Hayes,23.0,SDR,C,82.0,,45.1,11.3,25.4,0.447,5.7,9.1,0.626,17.1,1.4,3.2,28.4,"ROY-2,AS"
2.0,Jerry West,30.0,LAL,SG,61.0,,39.2,8.9,19.0,0.471,8.0,9.8,0.821,4.3,6.9,2.6,25.9,"AS,NBA2"
3.0,Earl Monroe,24.0,BAL,SG,80.0,,38.4,10.1,23.0,0.44,5.6,7.3,0.768,3.5,4.9,3.3,25.8,"AS,NBA1"
4.0,Elgin Baylor,34.0,LAL,SF,76.0,,40.3,9.6,21.5,0.447,5.5,7.5,0.743,10.6,5.4,2.7,24.8,"MVP-5,AS,NBA1"
5.0,Billy Cunningham,25.0,PHI,PF,82.0,,40.8,9.0,21.2,0.426,6.8,9.2,0.737,12.8,3.5,4.0,24.8,"MVP-3,AS,NBA1"
6.0,Oscar Robertson,30.0,CIN,PG,79.0,,43.8,8.3,17.1,0.486,8.1,9.7,0.838,6.4,9.8,2.9,24.7,"AS,NBA1"
7.0,Bob Rule,24.0,SEA,C,82.0,,37.9,9.5,20.2,0.469,5.0,7.4,0.682,11.5,1.7,3.9,24.0,
8.0,Gail Goodrich,25.0,PHO,PG,81.0,,40.0,8.9,21.6,0.411,6.1,8.2,0.747,5.4,6.4,3.1,23.8,AS
9.0,Dave Bing,25.0,DET,PG,77.0,,39.5,8.8,20.7,0.425,5.8,8.1,0.713,5.0,7.1,3.3,23.4,AS
10.0,Hal Greer,32.0,PHI,SG,82.0,,40.4,8.9,19.5,0.459,5.3,6.6,0.796,5.3,5.0,3.6,23.1,"AS,NBA2"
11.0,Jeff Mullins,26.0,SFW,SG,78.0,,37.4,8.9,19.4,0.459,4.9,5.8,0.843,5.9,4.3,3.2,22.8,AS
12.0,Kevin Loughery,28.0,BAL,PG,80.0,,39.2,9.0,20.5,0.438,4.7,5.8,0.803,3.3,4.8,3.7,22.6,
13.0,Don Kojis,30.0,SDR,SF,81.0,,38.6,8.5,19.5,0.434,5.5,7.4,0.748,9.6,2.6,3.7,22.5,AS
14.0,Lenny Wilkens,31.0,SEA,PG,82.0,,42.2,7.9,17.8,0.44,6.7,8.7,0.77,6.2,8.2,3.6,22.4,AS
15.0,Lou Hudson,24.0,ATL,SF,81.0,,35.4,8.8,18.0,0.492,4.2,5.4,0.777,6.6,2.7,3.1,21.9,AS
16.0,Bob Boozer,31.0,CHI,PF,79.0,,36.4,8.4,17.4,0.481,5.0,6.2,0.806,7.8,2.0,2.8,21.7,
17.0,John Havlicek,28.0,BOS,SG,82.0,,38.7,8.4,20.8,0.405,4.7,6.0,0.78,7.0,5.4,3.0,21.6,"AS,NBA2"
18.0,Zelmo Beaty,29.0,ATL,C,72.0,,35.8,8.2,17.4,0.47,5.1,7.0,0.731,11.1,1.8,3.8,21.5,
19.0,Nate Thurmond,27.0,SFW,C,71.0,,45.2,8.0,19.6,0.41,5.4,8.7,0.615,19.7,3.6,2.4,21.5,
20.0,Willis Reed,26.0,NYK,C,82.0,82.0,37.9,8.6,16.5,0.521,4.0,5.3,0.747,14.5,2.3,3.8,21.1,"MVP-2,AS,NBA2"
21.0,Dick Van Arsdale,25.0,PHO,SG,80.0,,42.4,7.7,17.3,0.442,5.7,8.1,0.705,6.9,4.8,3.1,21.0,AS
22.0,Rudy LaRusso,31.0,SFW,SF,75.0,,37.1,7.4,18.0,0.41,5.9,7.5,0.794,8.3,2.1,3.6,20.7,AS
23.0,Wilt Chamberlain,32.0,LAL,C,81.0,,45.3,7.9,13.6,0.583,4.7,10.6,0.446,21.1,4.5,1.8,20.5,AS
24.0,Flynn Robinson,27.0,2TM,PG,83.0,,31.5,7.5,17.4,0.433,5.0,5.9,0.839,3.7,4.5,3.1,20.0,
25.0,Bailey Howell,32.0,BOS,PF,78.0,,32.4,7.8,16.1,0.487,4.0,5.5,0.735,8.8,1.8,3.7,19.7,
26.0,Jon McGlocklin,25.0,MIL,SG,80.0,,36.1,8.3,17.0,0.487,3.1,3.7,0.842,4.3,3.9,2.3,19.6,AS
27.0,Tom Van Arsdale,25.0,CIN,SG,77.0,,39.7,7.1,16.0,0.444,5.2,6.9,0.747,4.6,2.7,3.9,19.4,
28.0,Jerry Lucas,28.0,CIN,PF,74.0,,41.6,7.5,13.6,0.551,3.3,4.4,0.755,18.4,4.1,2.8,18.3,AS
30.0,Happy Hairston,26.0,DET,PF,81.0,,35.7,6.5,14.0,0.469,5.0,6.8,0.731,11.8,1.3,3.1,18.1,
31.0,Chet Walker,28.0,PHI,SF,82.0,,33.6,6.8,14.0,0.484,4.5,5.6,0.804,7.8,1.8,3.0,18.0,
33.0,Dick Barnett,32.0,NYK,SG,82.0,76.0,36.0,6.9,14.9,0.463,3.8,4.9,0.774,3.1,3.5,2.9,17.6,
34.0,Walt Frazier,23.0,NYK,PG,80.0,55.0,36.9,6.6,13.2,0.505,4.3,5.7,0.746,6.2,7.9,3.1,17.5,
35.0,Walt Bellamy,29.0,2TM,C,88.0,31.0,35.9,6.4,12.5,0.51,4.6,7.0,0.649,12.5,2.0,3.6,17.4,
36.0,Clem Haskins,25.0,CHI,PG,79.0,,36.4,6.8,16.1,0.421,3.6,4.6,0.781,4.5,3.9,2.9,17.2,
37.0,Jerry Sloan,26.0,CHI,SG,78.0,,37.7,6.3,15.0,0.417,4.3,5.7,0.745,7.9,3.5,4.0,16.8,AS
38.0,Dave DeBusschere,28.0,2TM,PF,76.0,47.0,38.7,6.7,15.0,0.444,3.0,4.3,0.698,11.7,2.5,3.8,16.3,NBA2
39.0,Connie Dierking,32.0,CIN,C,82.0,,31.0,6.7,15.0,0.443,3.0,3.9,0.762,9.0,2.7,3.7,16.3,
40.0,Sam Jones,35.0,BOS,SG,70.0,,26.0,7.1,15.8,0.45,2.1,2.7,0.783,3.8,2.6,1.7,16.3,
41.0,Jack Marin,24.0,BAL,SF,82.0,,33.0,6.2,13.5,0.455,3.6,4.3,0.83,7.4,2.8,3.4,15.9,
42.0,Joe Caldwell,27.0,ATL,SG,81.0,,33.6,6.9,13.7,0.507,2.0,3.7,0.537,3.7,4.0,2.9,15.8,AS
43.0,John Block,24.0,SDR,PF,78.0,,31.9,5.7,13.6,0.422,3.8,5.1,0.748,9.0,1.8,3.2,15.3,
44.0,Len Chappell,28.0,MIL,PF,80.0,,27.6,5.7,12.6,0.454,3.1,4.2,0.737,8.0,1.2,3.1,14.6,
45.0,Jim Barnett,24.0,SDR,SG,80.0,,29.3,5.8,13.7,0.425,2.9,3.9,0.752,4.5,4.2,3.0,14.5,
46.0,Fred Hetzel,26.0,2TM,SF,84.0,,27.1,5.4,12.5,0.436,3.6,4.3,0.838,7.3,1.3,3.4,14.4,
48.0,Larry Siegfried,29.0,BOS,PG,79.0,,32.4,5.0,13.1,0.38,4.3,4.9,0.864,3.6,4.7,2.8,14.2,
49.0,Tom Meschery,30.0,SEA,SF,82.0,,32.6,5.6,12.4,0.453,2.7,3.6,0.736,10.0,2.4,3.7,14.0,
50.0,Jim Washington,25.0,CHI,SF,80.0,,33.8,5.5,12.8,0.43,3.0,4.5,0.677,10.6,1.3,2.8,14.0,
51.0,Wes Unseld,22.0,BAL,C,82.0,,36.2,5.2,10.9,0.476,3.4,5.6,0.605,18.2,2.6,3.4,13.8,"MVP-1,ROY-1,AS,NBA1"
52.0,Archie Clark,27.0,PHI,SG,82.0,,26.1,5.4,11.3,0.478,2.7,3.8,0.697,3.2,3.6,2.3,13.5,
53.0,Eddie Miles,28.0,DET,SG,80.0,,28.2,5.5,12.3,0.449,2.3,3.4,0.667,3.5,2.3,2.5,13.3,
54.0,Wali Jones,26.0,PHI,PG,81.0,,28.9,5.3,12.4,0.43,2.6,3.2,0.809,3.1,3.6,3.5,13.2,
55.0,Wayne Embry,31.0,MIL,C,78.0,,30.2,4.9,11.5,0.427,3.3,5.0,0.664,8.6,1.9,3.9,13.1,
56.0,John Tresvant,29.0,2TM,PF,77.0,,32.2,4.9,10.6,0.463,2.6,4.3,0.612,8.9,2.2,3.9,12.5,
57.0,Bill Bradley,25.0,NYK,SF,82.0,39.0,29.4,5.0,11.6,0.429,2.5,3.1,0.814,4.3,3.7,3.6,12.4,
58.0,Mel Counts,27.0,LAL,PF,77.0,,24.2,5.1,11.3,0.45,2.3,2.9,0.805,7.8,1.4,2.9,12.4,
59.0,Art Harris,22.0,SEA,SG,80.0,,32.0,5.2,13.2,0.395,2.0,3.1,0.641,3.8,3.2,4.1,12.4,
60.0,Don Ohl,32.0,ATL,SG,76.0,,26.3,5.1,11.9,0.427,1.9,2.7,0.707,2.2,2.9,3.1,12.1,
61.0,Dick Snyder,24.0,PHO,SF,81.0,,26.0,4.9,10.4,0.472,2.3,3.1,0.725,4.0,2.6,2.6,12.1,
62.0,Joe Ellis,24.0,SFW,SF,74.0,,23.4,5.0,12.7,0.395,2.0,2.7,0.731,6.5,1.8,3.5,12.0,
63.0,Bill Bridges,29.0,ATL,PF,80.0,,36.6,4.4,9.7,0.453,3.0,4.4,0.677,14.2,3.7,3.6,11.8,
