Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
1.0,Monta Ellis,25.0,GSW,SG,80.0,80.0,3227.0,11.4,25.3,0.451,2.1,5.9,0.361,9.2,19.3,0.478,0.493,5.3,6.8,0.789,0.7,3.7,4.4,7.1,2.6,0.4,4.0,3.2,30.3,107.0,112.0,
2.0,LaMarcus Aldridge,25.0,POR,PF,81.0,81.0,3211.0,12.0,24.1,0.5,0.1,0.4,0.174,12.0,23.7,0.505,0.501,6.0,7.5,0.791,4.7,7.3,12.1,2.9,1.4,1.6,2.6,3.7,30.1,114.0,107.0,NBA3
3.0,Luol Deng,25.0,CHI,SF,82.0,82.0,3208.0,8.8,19.1,0.46,1.9,5.5,0.345,6.9,13.6,0.506,0.51,4.2,5.6,0.753,1.9,6.0,7.9,3.8,1.3,0.8,2.6,2.7,23.7,111.0,102.0,DPOY-10
4.0,Dorell Wright,25.0,GSW,SF,82.0,82.0,3147.0,7.8,18.4,0.423,3.1,8.3,0.376,4.7,10.1,0.462,0.508,2.9,3.7,0.789,1.4,5.5,6.9,3.9,2.0,1.0,2.1,2.8,21.6,110.0,111.0,
5.0,Blake Griffin,21.0,LAC,PF,82.0,82.0,3112.0,11.6,22.9,0.506,0.1,0.4,0.292,11.4,22.5,0.51,0.508,7.4,11.5,0.642,4.5,11.9,16.4,5.2,1.0,0.7,3.7,4.2,30.7,111.0,107.0,"MVP-10,ROY-1,AS"
6.0,LeBron James,26.0,MIA,SF,79.0,79.0,3063.0,13.1,25.6,0.51,1.6,4.8,0.33,11.5,20.8,0.552,0.541,8.7,11.4,0.759,1.4,8.8,10.2,9.6,2.1,0.9,4.9,2.8,36.4,116.0,102.0,"MVP-3,DPOY-9,AS,NBA1"
7.0,Kevin Durant,22.0,OKC,SF,78.0,78.0,3038.0,12.1,26.2,0.462,2.5,7.1,0.35,9.6,19.2,0.504,0.509,10.1,11.5,0.88,1.0,8.1,9.1,3.6,1.5,1.3,3.7,2.7,36.8,115.0,107.0,"MVP-5,AS,NBA1"
8.0,Pau Gasol,30.0,LAL,C,82.0,82.0,3037.0,10.3,19.5,0.529,0.0,0.1,0.333,10.3,19.5,0.53,0.53,6.2,7.5,0.823,4.7,9.9,14.6,4.8,0.8,2.3,2.5,3.5,26.8,123.0,103.0,"AS,NBA2"
9.0,Derrick Rose,22.0,CHI,PG,81.0,81.0,3026.0,12.5,28.0,0.445,2.2,6.8,0.332,10.2,21.3,0.481,0.485,8.4,9.7,0.858,1.4,4.4,5.8,10.9,1.5,0.9,4.9,2.4,35.6,113.0,103.0,"MVP-1,AS,NBA1"
10.0,Al Jefferson,26.0,UTA,C,82.0,82.0,2940.0,11.7,23.7,0.496,0.0,0.0,,11.7,23.7,0.496,0.496,3.9,5.2,0.761,4.2,10.0,14.2,2.7,0.8,2.7,1.9,4.3,27.4,111.0,108.0,
11.0,Dwight Howard,25.0,ORL,C,78.0,78.0,2935.0,11.1,18.7,0.593,0.0,0.1,0.0,11.1,18.6,0.597,0.593,9.8,16.4,0.596,5.5,14.1,19.7,1.9,1.9,3.3,5.0,4.6,32.0,113.0,94.0,"MVP-2,DPOY-1,AS,NBA1"
12.0,Jrue Holiday,20.0,PHI,PG,82.0,82.0,2901.0,8.0,18.0,0.446,1.5,4.0,0.365,6.6,14.0,0.47,0.487,3.1,3.8,0.823,1.2,4.8,6.0,9.6,2.2,0.5,3.9,3.7,20.7,104.0,106.0,
13.0,Ray Allen,35.0,BOS,SG,80.0,80.0,2890.0,8.8,18.0,0.491,3.1,6.9,0.444,5.7,11.0,0.52,0.577,3.5,4.0,0.881,0.9,4.1,5.0,4.0,1.4,0.3,2.2,2.7,24.3,116.0,104.0,AS
14.0,Brook Lopez,22.0,NJN,C,82.0,82.0,2889.0,11.9,24.2,0.492,0.0,0.0,0.0,11.9,24.2,0.492,0.492,7.1,9.0,0.787,3.6,5.4,9.0,2.4,0.9,2.2,3.3,4.4,30.9,108.0,110.0,
15.0,Chris Paul,25.0,NOH,PG,80.0,80.0,2880.0,8.1,17.4,0.463,1.3,3.4,0.388,6.7,14.0,0.482,0.502,6.3,7.2,0.878,0.7,5.4,6.1,14.7,3.5,0.1,3.3,3.7,23.8,122.0,103.0,"MVP-13,DPOY-12,AS,NBA3"
16.0,Mike Conley,23.0,MEM,PG,81.0,81.0,2872.0,7.7,17.3,0.444,1.5,3.9,0.369,6.2,13.4,0.466,0.486,3.3,4.5,0.733,0.6,3.9,4.5,9.6,2.6,0.3,3.2,3.3,20.1,108.0,107.0,
17.0,Amar'e Stoudemire,28.0,NYK,C,78.0,78.0,2870.0,13.0,25.9,0.502,0.2,0.4,0.435,12.8,25.5,0.503,0.505,8.3,10.4,0.792,3.5,7.7,11.1,3.5,1.2,2.6,4.4,4.8,34.5,109.0,108.0,"MVP-9,AS,NBA2"
18.0,DeMar DeRozan,21.0,TOR,SG,82.0,82.0,2851.0,9.8,20.9,0.467,0.1,0.9,0.096,9.7,20.0,0.485,0.469,5.9,7.3,0.813,1.4,4.4,5.7,2.7,1.5,0.6,2.6,3.9,25.6,106.0,115.0,
19.0,Russell Westbrook,22.0,OKC,PG,82.0,82.0,2847.0,11.2,25.3,0.442,0.6,1.9,0.33,10.5,23.4,0.451,0.454,9.7,11.5,0.842,2.2,4.7,6.9,12.2,2.8,0.5,5.7,3.8,32.6,110.0,107.0,"AS,NBA2"
20.0,Dwyane Wade,29.0,MIA,SG,76.0,76.0,2823.0,12.9,25.9,0.5,1.2,3.9,0.306,11.8,22.0,0.534,0.523,9.2,12.2,0.758,2.3,6.8,9.1,6.5,2.1,1.6,4.4,3.7,36.3,114.0,102.0,"MVP-7,DPOY-16,AS,NBA2"
21.0,Elton Brand,31.0,PHI,PF,81.0,81.0,2809.0,9.4,18.3,0.512,0.0,0.0,0.0,9.4,18.3,0.512,0.512,4.0,5.1,0.78,4.4,8.2,12.6,2.2,1.7,2.0,1.9,4.5,22.7,114.0,103.0,
22.0,Chris Bosh,26.0,MIA,PF,77.0,77.0,2795.0,9.9,20.0,0.496,0.1,0.5,0.24,9.8,19.5,0.502,0.499,7.3,8.9,0.815,2.7,9.4,12.1,2.7,1.1,0.9,2.6,3.2,27.2,115.0,103.0,AS
23.0,Kobe Bryant,32.0,LAL,SG,82.0,82.0,2779.0,14.1,31.2,0.451,2.2,6.8,0.323,11.9,24.4,0.487,0.487,9.2,11.1,0.828,1.6,6.4,8.0,7.4,1.9,0.2,4.6,3.3,39.6,111.0,105.0,"MVP-4,DPOY-11,AS,NBA1"
24.0,Boris Diaw,28.0,CHA,PF,82.0,82.0,2778.0,7.3,14.9,0.492,1.5,4.4,0.345,5.8,10.6,0.553,0.543,1.6,2.4,0.683,2.0,6.0,8.0,6.5,1.4,0.9,3.2,3.7,17.8,107.0,109.0,
25.0,Paul Pierce,33.0,BOS,SF,80.0,80.0,2774.0,9.7,19.5,0.497,2.1,5.7,0.374,7.6,13.9,0.547,0.551,7.4,8.6,0.86,0.7,7.6,8.2,5.0,1.5,1.0,3.3,4.4,28.9,116.0,101.0,AS
26.0,Danny Granger,27.0,IND,SF,79.0,79.0,2763.0,9.8,23.1,0.425,2.9,7.5,0.386,6.9,15.6,0.443,0.487,7.2,8.5,0.848,1.6,6.2,7.8,3.7,1.6,1.1,3.8,3.9,29.7,107.0,106.0,
