Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
71.0,Mychal Thompson,24.0,POR,C,73.0,,29.4,6.3,12.8,0.49,2.1,3.7,0.572,2.7,5.6,8.3,2.4,0.9,1.8,2.8,3.7,14.7,
72.0,Mitch Kupchak,24.0,WSB,PF,66.0,,24.3,5.6,10.4,0.539,3.4,4.5,0.743,2.3,4.2,6.5,1.3,0.3,0.3,1.8,2.1,14.6,
73.0,Billy Knight,26.0,2TM,SF,79.0,,26.5,5.6,10.6,0.528,3.2,3.7,0.841,1.2,3.2,4.4,1.9,0.8,0.1,2.8,2.0,14.3,
74.0,Fred Brown,30.0,SEA,PG,77.0,,25.5,5.8,12.4,0.469,2.4,2.7,0.888,0.5,1.7,2.2,3.4,1.5,0.3,2.1,1.8,14.0,
75.0,Nick Weatherspoon,28.0,SDC,SF,82.0,,32.2,5.8,12.2,0.48,2.1,2.9,0.739,2.2,3.4,5.5,1.6,1.0,0.5,2.2,3.5,13.8,
76.0,Rick Barry,34.0,HOU,SF,80.0,,32.1,5.8,12.5,0.461,2.0,2.1,0.947,0.5,3.0,3.5,6.3,1.2,0.5,2.5,2.4,13.5,
77.0,Lonnie Shelton,23.0,SEA,PF,76.0,,28.4,5.9,11.3,0.519,1.7,2.5,0.693,2.4,3.8,6.2,1.4,1.0,1.0,2.5,3.5,13.5,
78.0,Jim Chones,29.0,CLE,C,82.0,82.0,34.8,5.8,13.1,0.44,1.9,2.6,0.735,3.2,7.1,10.3,2.2,0.6,1.2,2.3,3.4,13.4,
79.0,Bill Robinzine,26.0,KCK,PF,82.0,,26.6,5.6,10.2,0.548,2.2,3.0,0.732,2.7,5.1,7.8,1.3,1.3,0.2,2.2,4.5,13.4,
80.0,Ron Brewer,23.0,POR,SG,81.0,,30.3,5.4,10.8,0.494,2.6,3.2,0.82,1.1,1.7,2.8,2.0,1.3,1.0,1.9,2.2,13.3,
81.0,Darryl Dawkins,22.0,PHI,C,78.0,12.0,26.1,5.5,10.7,0.517,2.0,3.0,0.672,1.6,6.5,8.1,1.6,0.4,1.8,2.5,3.8,13.1,
82.0,Terry Tyler,22.0,DET,PF,82.0,,31.2,5.6,11.5,0.482,1.8,2.7,0.658,2.6,5.3,7.9,1.1,1.3,2.5,1.7,3.1,12.9,
83.0,Gail Goodrich,35.0,NOJ,SG,74.0,,28.8,5.2,11.5,0.449,2.4,2.8,0.853,0.9,1.6,2.5,4.8,1.2,0.2,2.5,2.4,12.7,
84.0,Wilbur Holland,27.0,CHI,SG,82.0,56.0,30.3,5.4,11.5,0.473,1.7,2.1,0.801,1.0,2.1,3.1,4.0,1.5,0.1,2.3,2.9,12.6,
85.0,Jo Jo White,32.0,2TM,PG,76.0,,30.8,5.3,12.0,0.444,1.8,2.1,0.88,0.6,2.1,2.6,4.6,1.1,0.1,2.8,2.3,12.5,
86.0,Eddie Jordan,24.0,NJN,PG,82.0,,27.6,4.9,11.7,0.418,2.6,3.3,0.777,0.9,1.7,2.6,4.5,2.5,0.5,3.0,2.5,12.4,
87.0,Kent Benson,24.0,MIL,C,82.0,,26.0,5.0,9.7,0.518,2.2,3.0,0.735,2.3,4.8,7.1,2.5,1.1,1.0,1.9,3.4,12.3,
88.0,Earl Monroe,34.0,NYK,SG,64.0,24.0,21.8,5.1,10.9,0.471,2.0,2.4,0.838,0.4,0.8,1.2,3.0,0.8,0.1,1.5,1.9,12.3,
89.0,Henry Bibby,29.0,PHI,PG,82.0,38.0,31.0,4.5,10.6,0.423,3.2,4.1,0.794,0.9,2.1,3.0,4.5,0.9,0.1,2.4,2.4,12.2,
90.0,Bobby Jones,27.0,PHI,PF,80.0,78.0,28.8,4.7,8.8,0.537,2.6,3.5,0.755,2.5,4.2,6.6,2.5,1.3,1.2,2.1,3.1,12.1,
91.0,Terry Furlow,24.0,2TM,SG,78.0,,21.6,5.0,10.3,0.483,2.1,2.5,0.836,1.0,1.2,2.1,2.4,0.7,0.4,1.7,1.6,12.0,
92.0,Charlie Scott,30.0,DEN,PG,79.0,,33.1,5.0,10.8,0.46,2.0,2.7,0.749,0.7,2.0,2.7,5.4,1.0,0.4,3.2,3.6,12.0,
93.0,Billy Paultz,30.0,SAS,C,79.0,,26.9,5.1,9.6,0.526,1.4,2.5,0.588,2.1,5.8,7.9,2.3,0.4,1.6,2.0,2.6,11.5,
94.0,Leon Douglas,24.0,DET,C,78.0,,28.4,4.4,8.9,0.49,2.7,4.2,0.634,3.2,5.3,8.5,0.9,0.5,0.7,2.4,4.1,11.4,
95.0,Bob Wilkerson,24.0,DEN,SF,80.0,,30.3,5.0,10.9,0.456,1.5,2.2,0.688,1.3,3.9,5.2,3.6,1.5,0.3,2.5,2.4,11.4,
96.0,Kermit Washington,27.0,SDC,PF,82.0,,33.7,4.3,7.6,0.562,2.8,4.0,0.688,3.6,6.1,9.8,1.5,1.0,1.5,2.3,3.9,11.3,
97.0,Marvin Webster,26.0,NYK,C,60.0,55.0,33.8,4.4,9.3,0.473,2.5,4.4,0.573,3.3,7.6,10.9,2.9,0.4,1.9,2.8,3.1,11.3,
98.0,Bingo Smith,32.0,CLE,SG,72.0,,22.9,5.0,10.9,0.46,1.2,1.5,0.783,1.1,1.8,2.9,1.7,0.6,0.1,1.0,2.6,11.2,
99.0,Tiny Archibald,30.0,BOS,PG,69.0,,24.1,3.8,8.3,0.452,3.5,4.4,0.788,0.4,1.1,1.5,4.7,0.8,0.1,2.9,1.9,11.0,
100.0,John Johnson,31.0,SEA,SF,82.0,82.0,29.1,4.3,10.0,0.434,2.3,3.0,0.76,1.5,3.5,5.0,4.4,0.7,0.3,3.1,3.0,11.0,
102.0,John Mengelt,29.0,CHI,SG,75.0,20.0,22.7,4.5,9.2,0.491,2.0,2.4,0.824,0.3,1.2,1.6,2.5,0.6,0.1,1.6,2.0,11.0,
103.0,Robert Reid,23.0,HOU,SF,82.0,,27.5,4.7,9.5,0.492,1.6,2.3,0.704,1.6,4.3,5.9,2.8,0.9,0.6,1.6,3.7,10.9,
104.0,Wes Unseld,32.0,WSB,C,77.0,,31.2,4.5,7.8,0.577,2.0,3.1,0.643,3.6,7.2,10.8,4.1,0.9,0.5,2.0,2.6,10.9,
106.0,Tom Henderson,27.0,WSB,PG,70.0,,29.7,4.3,9.2,0.466,2.2,2.8,0.8,0.7,1.6,2.3,6.0,1.2,0.1,2.1,1.8,10.8,
108.0,Swen Nater,29.0,SDC,C,79.0,,25.4,4.5,7.9,0.569,1.7,2.1,0.8,2.8,6.1,8.9,1.8,0.5,0.4,2.2,3.1,10.7,
109.0,Tom Boswell,25.0,DEN,PF,79.0,,27.9,4.1,7.6,0.532,2.5,3.6,0.697,3.1,3.7,6.8,3.1,0.6,0.6,2.3,3.3,10.6,
110.0,Sam Lacey,30.0,KCK,C,82.0,,32.0,4.3,8.5,0.502,2.0,2.8,0.739,2.2,6.4,8.6,5.2,1.3,1.7,3.0,3.8,10.6,
111.0,Purvis Short,21.0,GSW,PF,75.0,,22.7,4.9,10.3,0.479,0.8,1.1,0.671,1.7,2.9,4.6,1.3,0.7,0.2,1.5,3.1,10.6,
112.0,Steve Hawes,28.0,ATL,PF,81.0,,27.2,4.6,9.3,0.492,1.3,1.6,0.818,2.3,5.0,7.3,2.3,1.0,0.6,1.8,3.3,10.5,
113.0,Rick Robey,23.0,2TM,C,79.0,,22.3,4.1,8.5,0.478,2.2,2.8,0.777,2.1,4.4,6.5,1.7,0.6,0.2,2.1,2.9,10.4,
114.0,Dave Twardzik,28.0,POR,PG,64.0,,24.5,3.2,6.0,0.533,4.1,4.7,0.873,0.6,1.3,1.9,2.8,1.3,0.1,2.0,2.9,10.4,
116.0,Ernie Grunfeld,23.0,MIL,SF,82.0,,21.7,4.0,8.1,0.493,2.3,3.1,0.761,1.5,2.9,4.4,2.6,0.7,0.2,1.7,2.7,10.3,
117.0,Armond Hill,25.0,ATL,PG,82.0,82.0,30.8,3.6,8.3,0.434,3.0,3.5,0.854,0.5,1.5,2.0,5.9,1.2,0.2,2.5,3.6,10.2,
118.0,Mike Newlin,30.0,HOU,SG,76.0,,24.1,3.7,7.6,0.487,2.8,3.2,0.872,0.7,1.6,2.2,3.8,0.7,0.1,2.3,2.9,10.2,
121.0,Lou Hudson,34.0,LAL,SG,78.0,,21.6,4.2,8.2,0.517,1.4,1.6,0.887,0.8,1.0,1.8,1.8,0.7,0.2,1.3,1.7,9.8,
122.0,Sidney Wicks,29.0,SDC,PF,79.0,,25.6,3.9,8.6,0.462,1.9,2.9,0.65,2.0,3.1,5.1,1.6,0.9,0.5,2.3,3.5,9.8,
124.0,Jim Cleamons,29.0,NYK,PG,79.0,71.0,30.3,3.9,8.3,0.473,1.6,2.2,0.76,0.8,2.0,2.8,4.8,0.9,0.1,1.8,1.9,9.5,
125.0,Mark Olberding,22.0,SAS,PF,80.0,,23.6,3.3,6.9,0.474,2.9,3.6,0.803,1.2,4.2,5.4,2.6,0.7,0.2,2.0,3.5,9.4,
127.0,Caldwell Jones,28.0,PHI,C,78.0,75.0,27.8,3.9,8.2,0.474,1.6,2.1,0.747,2.3,7.3,9.6,1.9,0.5,2.0,2.0,3.9,9.3,
129.0,Larry Wright,24.0,WSB,PG,73.0,,22.7,3.8,8.1,0.469,1.7,2.3,0.744,0.7,1.3,1.9,4.1,0.9,0.2,1.6,2.3,9.3,
130.0,Butch Lee,22.0,2TM,PG,82.0,,21.7,3.5,7.7,0.457,2.1,2.8,0.761,0.4,1.1,1.5,3.6,1.0,0.0,1.9,1.8,9.2,
131.0,Charles Johnson,29.0,WSB,SG,82.0,,22.2,4.2,9.6,0.435,0.8,1.0,0.848,0.9,1.6,2.5,2.2,1.2,0.1,1.1,2.0,9.2,
132.0,Ollie Johnson,29.0,CHI,SF,71.0,34.0,24.4,4.0,7.6,0.52,1.2,1.5,0.8,0.8,2.4,3.2,2.3,0.8,0.5,1.6,2.6,9.2,
133.0,Ron Lee,26.0,2TM,PG,60.0,,22.4,3.6,8.5,0.43,1.6,2.4,0.695,1.1,1.8,2.8,3.4,1.8,0.1,2.8,3.0,8.9,
136.0,Maurice Cheeks,22.0,PHI,PG,82.0,82.0,29.4,3.6,7.0,0.51,1.2,1.7,0.721,0.8,2.3,3.1,5.3,2.1,0.1,2.4,2.4,8.4,
137.0,Tree Rollins,23.0,ATL,C,81.0,,23.5,3.7,6.9,0.535,1.1,1.7,0.631,2.7,4.6,7.3,0.6,0.6,3.1,1.1,4.0,8.4,
141.0,Mark Landsberger,23.0,CHI,PF,80.0,44.0,24.5,3.5,7.3,0.475,1.1,2.4,0.469,3.7,5.6,9.3,0.9,0.3,0.3,1.9,1.6,8.1,
143.0,Mike Dunleavy,24.0,HOU,SG,74.0,,20.1,2.9,5.7,0.506,2.1,2.5,0.864,0.4,1.4,1.7,4.4,0.8,0.1,1.8,2.3,8.0,
144.0,Mike Gale,28.0,SAS,SG,82.0,,25.9,3.5,7.5,0.464,1.1,1.3,0.843,0.5,1.8,2.3,4.6,1.9,0.5,1.9,2.3,8.0,
