Rk,Player,Age,Team,Pos,G,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards
1.0,Wilt Chamberlain,25.0,PHW,C,80.0,48.5,20.0,39.5,0.506,10.4,17.0,0.613,25.7,2.4,1.5,50.4,"MVP-2,AS,NBA1"
3.0,Walt Bellamy,22.0,CHP,C,79.0,42.3,12.3,23.7,0.519,6.9,10.8,0.644,19.0,2.7,3.6,31.6,"ROY-1,AS"
4.0,Bob Pettit,29.0,STL,PF,78.0,42.1,11.1,24.7,0.45,8.9,11.6,0.771,18.7,3.7,3.8,31.1,"MVP-6,AS,NBA1"
5.0,Oscar Robertson,23.0,CIN,PG,79.0,44.3,11.0,22.9,0.478,8.9,11.0,0.803,12.5,11.4,3.3,30.8,"MVP-3,AS,NBA1"
6.0,Jerry West,23.0,LAL,PG,75.0,41.2,10.7,23.9,0.445,9.5,12.3,0.769,7.9,5.4,2.3,30.8,"MVP-5,AS,NBA1"
7.0,Richie Guerin,29.0,NYK,SG,78.0,42.9,10.8,24.3,0.442,8.0,9.8,0.82,6.4,6.9,3.8,29.5,"MVP-7,AS,NBA2"
8.0,Willie Naulls,27.0,NYK,SF,75.0,39.7,10.0,24.0,0.415,5.1,6.1,0.842,11.6,2.6,3.5,25.0,AS
9.0,Cliff Hagan,30.0,STL,SF,77.0,36.2,9.1,19.4,0.47,4.7,5.7,0.825,8.2,4.8,3.7,22.9,AS
10.0,Jack Twyman,27.0,CIN,SF,80.0,37.4,9.2,19.3,0.479,4.4,5.4,0.811,8.0,2.7,4.0,22.9,"AS,NBA2"
11.0,Hal Greer,25.0,SYR,SG,71.0,38.1,9.1,20.3,0.447,4.7,5.7,0.819,7.4,4.4,3.5,22.8,AS
12.0,Tom Heinsohn,27.0,BOS,PF,79.0,30.2,8.8,20.4,0.429,4.5,5.5,0.819,9.5,2.1,3.5,22.1,"AS,NBA2"
13.0,Paul Arizin,33.0,PHW,SF,78.0,35.7,7.8,19.1,0.41,6.2,7.7,0.805,6.8,2.6,3.9,21.9,AS
15.0,Bailey Howell,25.0,DET,SF,79.0,36.2,7.0,15.1,0.464,5.9,7.7,0.768,12.6,2.4,4.0,19.9,AS
16.0,Wayne Embry,24.0,CIN,C,75.0,35.0,7.5,16.1,0.466,4.7,6.9,0.69,13.0,2.4,3.8,19.8,AS
17.0,Gene Shue,30.0,DET,PG,80.0,39.3,7.3,17.8,0.408,4.5,5.6,0.81,4.7,5.8,2.4,19.0,AS
18.0,Bill Russell,27.0,BOS,C,76.0,45.2,7.6,16.6,0.457,3.8,6.3,0.595,23.6,4.5,2.7,18.9,"MVP-1,AS,NBA2"
19.0,Sam Jones,28.0,BOS,SG,78.0,30.6,7.6,16.5,0.464,3.1,3.8,0.818,5.9,3.0,1.9,18.4,AS
21.0,Rudy LaRusso,24.0,LAL,PF,80.0,34.4,6.5,13.9,0.466,4.3,5.6,0.763,10.4,2.2,3.2,17.2,AS
22.0,Don Ohl,25.0,DET,SG,77.0,32.8,7.2,16.2,0.444,2.6,3.6,0.718,3.5,3.2,2.2,17.0,
23.0,Lee Shaffer,22.0,SYR,SF,75.0,27.8,6.9,15.7,0.436,3.2,4.1,0.771,6.8,1.3,3.5,16.9,
24.0,Dave Gambee,24.0,SYR,SF,80.0,28.8,6.0,14.1,0.424,4.8,5.9,0.817,7.9,1.4,3.4,16.7,
25.0,Red Kerr,29.0,SYR,C,80.0,34.6,6.8,15.3,0.443,2.8,3.8,0.735,14.7,3.0,3.4,16.3,
26.0,Slick Leonard,29.0,CHP,PG,70.0,35.2,6.0,16.1,0.375,4.0,5.3,0.752,2.8,5.4,2.7,16.1,
27.0,Johnny Green,28.0,NYK,PF,80.0,34.9,6.3,14.6,0.436,3.3,5.4,0.601,13.3,2.4,3.3,15.9,AS
28.0,Bucky Bockhorn,28.0,CIN,SG,80.0,38.3,6.6,15.4,0.43,2.5,3.1,0.789,4.7,4.6,3.5,15.8,
29.0,Bob Cousy,33.0,BOS,PG,75.0,28.2,6.2,15.7,0.391,3.3,4.4,0.754,3.5,7.8,1.8,15.7,"MVP-8,AS,NBA2"
30.0,Frank Ramsey,30.0,BOS,SG,79.0,24.2,5.5,12.9,0.428,4.2,5.1,0.825,4.9,1.4,3.1,15.3,
32.0,Frank Selvy,29.0,LAL,SG,79.0,35.5,5.5,13.1,0.42,3.8,5.1,0.738,5.2,4.8,2.9,14.7,AS
33.0,Andy Johnson,29.0,CHP,SF,71.0,30.9,5.1,11.5,0.448,4.0,6.4,0.628,4.9,3.2,3.5,14.3,
34.0,Al Butler,23.0,2TM,PG,59.0,34.2,5.9,12.8,0.463,2.2,3.1,0.709,5.7,3.5,2.6,14.0,
35.0,Bob Ferry,24.0,DET,C,80.0,24.0,5.1,11.7,0.438,3.6,5.3,0.678,6.3,1.8,2.5,13.9,
36.0,Larry Costello,30.0,SYR,PG,63.0,29.4,4.9,11.5,0.427,3.9,4.7,0.837,3.9,5.7,3.5,13.8,AS
37.0,Bob Boozer,24.0,CIN,PF,79.0,31.5,5.2,11.8,0.438,3.3,4.7,0.707,10.2,1.6,3.5,13.7,
38.0,Tom Gola,29.0,PHW,SG,60.0,41.0,5.4,12.8,0.421,2.9,3.8,0.765,9.8,4.9,4.5,13.7,AS
39.0,Ray Scott,23.0,DET,PF,75.0,27.8,4.9,12.7,0.387,3.4,5.2,0.657,11.5,1.8,3.1,13.3,
40.0,Si Green,28.0,2TM,,71.0,33.6,4.8,12.7,0.377,3.1,4.4,0.701,5.6,4.5,3.2,12.7,
41.0,Tom Meschery,23.0,PHW,PF,80.0,31.4,4.7,11.6,0.404,2.7,3.3,0.824,9.1,1.8,4.1,12.1,
42.0,Phil Jordon,28.0,NYK,C,76.0,28.9,5.3,13.5,0.392,1.3,2.2,0.571,6.3,2.1,3.4,11.9,
43.0,Al Attles,25.0,PHW,PG,75.0,32.9,4.6,9.7,0.474,2.1,3.6,0.592,4.7,4.4,3.7,11.3,
44.0,Tom Sanders,23.0,BOS,SF,80.0,29.1,4.4,10.1,0.435,2.5,3.3,0.749,9.5,0.9,3.5,11.2,
45.0,Barney Cable,26.0,2TM,SF,67.0,27.8,4.6,11.2,0.407,1.8,2.7,0.652,8.4,1.7,3.1,10.9,
46.0,Woody Sauldsberry,27.0,2TM,PF,63.0,28.0,4.7,13.8,0.343,1.3,2.0,0.642,8.5,1.4,2.8,10.7,
47.0,Ralph Davis,23.0,CHP,SG,77.0,25.9,4.7,11.4,0.413,0.9,1.3,0.689,2.1,3.2,2.4,10.4,
49.0,Al Bianchi,29.0,SYR,PG,80.0,24.1,4.2,10.6,0.397,1.9,2.8,0.697,3.5,3.3,2.9,10.3,
50.0,Jim Krebs,26.0,LAL,C,78.0,25.8,4.0,9.0,0.445,2.0,2.7,0.75,7.9,1.4,3.7,10.0,
52.0,Walter Dukes,31.0,DET,C,77.0,24.6,3.3,8.4,0.396,2.7,3.8,0.715,10.4,1.6,4.2,9.4,
53.0,K.C. Jones,29.0,BOS,PG,80.0,25.7,3.7,9.1,0.406,1.8,2.9,0.634,3.7,4.3,2.6,9.2,
54.0,Tom Hawkins,25.0,LAL,SF,79.0,24.1,3.7,8.9,0.411,1.8,2.8,0.644,6.5,1.2,3.1,9.1,
55.0,Guy Rodgers,26.0,PHW,PG,80.0,33.1,3.3,9.4,0.356,1.5,2.3,0.665,4.4,8.0,3.9,8.2,
57.0,Bob Sims,23.0,2TM,SG,65.0,20.7,3.0,7.6,0.393,1.9,3.3,0.569,2.8,2.4,2.9,7.8,
58.0,Fred LaCour,23.0,STL,PG,73.0,20.6,3.2,7.3,0.429,1.5,1.8,0.815,3.7,2.3,2.3,7.8,
59.0,Joe Roberts,25.0,SYR,PF,80.0,20.5,3.0,7.7,0.393,1.6,2.4,0.665,6.7,0.6,2.9,7.7,
61.0,Al Ferrari,28.0,STL,SG,79.0,25.9,2.6,7.4,0.357,2.2,2.8,0.799,2.7,4.0,3.5,7.5,
65.0,Charlie Tyra,26.0,CHP,PF,78.0,20.6,2.5,6.8,0.361,1.7,2.7,0.621,7.8,1.1,2.7,6.7,
66.0,Horace Walker,24.0,CHP,SF,65.0,20.5,2.3,6.8,0.339,2.2,3.0,0.725,7.2,1.1,3.0,6.7,
