Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
1.0,Mikal Bridges,25.0,PHO,SF,82.0,82.0,2854.0,7.7,14.5,0.534,1.9,5.3,0.369,5.8,9.2,0.628,0.601,2.2,2.6,0.834,1.2,4.6,5.9,3.1,1.6,0.6,1.1,2.5,19.6,125.0,110.0,DPOY-2
2.0,Miles Bridges,23.0,CHO,PF,80.0,80.0,2837.0,10.1,20.5,0.491,2.6,7.9,0.331,7.5,12.7,0.59,0.554,4.5,5.6,0.802,1.5,7.9,9.5,5.1,1.3,1.1,2.5,3.3,27.3,117.0,114.0,
3.0,DeMar DeRozan,32.0,CHI,PF,76.0,76.0,2743.0,13.8,27.3,0.504,0.9,2.5,0.352,12.9,24.8,0.52,0.521,9.3,10.6,0.877,1.0,6.0,7.0,6.7,1.2,0.4,3.2,3.2,37.7,117.0,115.0,"MVP-10,AS,NBA2"
4.0,Jayson Tatum,23.0,BOS,SF,76.0,76.0,2731.0,12.9,28.5,0.453,4.2,11.8,0.353,8.7,16.6,0.524,0.526,7.3,8.5,0.853,1.5,9.5,11.1,6.1,1.4,0.9,3.9,3.2,37.2,113.0,106.0,"MVP-6,AS,NBA1"
5.0,Saddiq Bey,22.0,DET,SF,82.0,82.0,2704.0,8.1,20.5,0.396,3.8,11.0,0.346,4.3,9.5,0.454,0.489,3.8,4.6,0.827,1.9,6.0,8.0,4.2,1.3,0.3,1.7,2.3,23.8,110.0,116.0,
6.0,Tyrese Haliburton,21.0,2TM,PG,77.0,77.0,2695.0,7.7,16.3,0.473,2.9,7.0,0.414,4.8,9.3,0.517,0.562,2.9,3.4,0.842,1.1,4.5,5.6,11.3,2.4,0.9,3.6,2.2,21.2,119.0,115.0,
7.0,Russell Westbrook,33.0,LAL,PG,78.0,78.0,2678.0,9.8,22.1,0.444,1.4,4.7,0.298,8.4,17.3,0.485,0.476,4.8,7.1,0.667,2.0,8.4,10.4,9.8,1.3,0.4,5.3,4.2,25.8,102.0,114.0,
8.0,Trae Young,23.0,ATL,PG,76.0,76.0,2652.0,13.2,28.6,0.46,4.3,11.3,0.382,8.9,17.3,0.512,0.536,9.3,10.2,0.904,0.9,4.3,5.3,13.7,1.3,0.1,5.6,2.4,39.9,119.0,118.0,"AS,NBA3"
9.0,Tyrese Maxey,21.0,PHI,PG,75.0,74.0,2650.0,9.1,18.7,0.485,2.5,5.8,0.427,6.6,12.9,0.512,0.552,4.0,4.6,0.866,0.5,4.0,4.5,6.0,1.0,0.6,1.7,2.9,24.7,121.0,115.0,
10.0,Dorian Finney-Smith,28.0,DAL,PF,80.0,80.0,2644.0,6.2,13.2,0.471,3.3,8.3,0.395,2.9,4.9,0.599,0.595,1.1,1.6,0.675,2.3,4.8,7.1,2.9,1.7,0.7,1.5,3.5,16.8,119.0,110.0,
