Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards
1.0,Wilt Chamberlain,29.0,PHI,C,79.0,,47.3,13.6,25.2,0.54,6.3,12.4,0.513,24.6,5.2,2.2,33.5,"MVP-1,AS,NBA1"
2.0,Oscar Robertson,27.0,CIN,PG,76.0,,46.0,10.8,22.7,0.475,9.8,11.6,0.842,7.7,11.1,3.0,31.3,"MVP-3,AS,NBA1"
3.0,Jerry West,27.0,LAL,SG,79.0,,40.7,10.4,21.9,0.473,10.6,12.4,0.86,7.1,6.1,3.1,31.3,"MVP-2,AS,NBA1"
4.0,Rick Barry,21.0,SFW,SF,80.0,,37.4,9.3,21.2,0.439,7.1,8.3,0.862,10.6,2.2,3.7,25.7,"ROY-1,AS,NBA1"
5.0,Sam Jones,32.0,BOS,SG,67.0,,32.2,9.3,19.9,0.469,4.9,6.1,0.799,5.2,3.2,2.5,23.5,"MVP-5,AS,NBA2"
6.0,Dick Barnett,29.0,NYK,SG,75.0,74.0,34.5,8.4,17.9,0.469,6.2,8.1,0.772,4.1,3.5,3.1,23.1,
7.0,Walt Bellamy,26.0,2TM,C,80.0,72.0,41.9,8.7,17.2,0.506,5.4,8.6,0.624,15.7,2.9,3.7,22.8,
8.0,Hal Greer,29.0,PHI,SG,80.0,,41.6,8.8,19.8,0.445,5.2,6.4,0.804,5.9,4.8,3.9,22.7,"AS,NBA2"
9.0,Jerry Lucas,25.0,CIN,PF,79.0,,44.5,8.7,19.3,0.453,4.0,5.1,0.787,21.1,2.7,3.5,21.5,"MVP-5,AS,NBA1"
10.0,Zelmo Beaty,26.0,STL,C,80.0,,38.4,7.7,16.3,0.473,5.3,7.0,0.758,13.6,1.6,4.3,20.7,AS
11.0,Don Ohl,29.0,BAL,PG,73.0,,36.2,8.1,18.3,0.445,4.3,5.9,0.735,3.8,4.0,2.8,20.6,AS
12.0,Eddie Miles,25.0,DET,PG,80.0,,34.9,7.9,17.7,0.447,3.7,5.0,0.741,3.8,2.8,2.5,19.6,AS
13.0,John Havlicek,25.0,BOS,SF,71.0,,30.6,7.5,18.7,0.399,3.9,4.9,0.785,6.0,3.0,2.2,18.8,"AS,NBA2"
14.0,Guy Rodgers,30.0,SFW,SG,79.0,,36.7,7.4,19.9,0.373,3.7,5.2,0.727,5.3,10.7,3.1,18.6,AS
15.0,Adrian Smith,29.0,CIN,SG,80.0,,37.3,6.6,16.4,0.405,5.1,6.0,0.85,3.6,3.2,3.5,18.4,AS
16.0,Kevin Loughery,25.0,BAL,SG,74.0,,33.2,7.1,17.1,0.416,4.0,4.8,0.83,3.1,4.8,3.7,18.2,
17.0,Lenny Wilkens,28.0,STL,PG,69.0,,39.0,6.0,13.8,0.431,6.1,7.7,0.793,4.7,6.2,3.6,18.0,
18.0,Ray Scott,27.0,DET,PF,79.0,,33.6,6.9,16.6,0.416,4.1,5.5,0.743,9.6,3.0,2.6,17.9,
19.0,Bailey Howell,29.0,BAL,PF,78.0,,29.8,6.2,12.6,0.488,5.2,7.1,0.73,9.9,2.0,3.9,17.5,AS
20.0,Elgin Baylor,31.0,LAL,SF,65.0,,30.4,6.4,15.9,0.401,3.8,5.2,0.739,9.6,3.4,2.4,16.6,
22.0,Dave DeBusschere,25.0,DET,SF,79.0,,34.1,6.6,16.3,0.408,3.2,4.8,0.659,11.6,2.6,3.2,16.4,AS
23.0,Nate Thurmond,24.0,SFW,C,73.0,,39.6,6.2,15.3,0.406,3.8,5.9,0.654,18.0,1.5,3.1,16.3,AS
24.0,Willis Reed,23.0,NYK,PF,76.0,71.0,33.4,5.8,13.3,0.434,4.0,5.3,0.757,11.6,1.2,4.3,15.5,AS
25.0,Rudy LaRusso,28.0,LAL,PF,76.0,,30.5,5.4,11.8,0.457,4.6,5.9,0.787,8.7,2.2,3.4,15.4,AS
26.0,Chet Walker,25.0,PHI,SF,80.0,,32.5,5.5,12.3,0.451,4.2,5.9,0.716,8.0,2.5,3.0,15.3,AS
27.0,Richie Guerin,33.0,STL,SG,80.0,,29.5,5.2,12.5,0.415,4.5,5.6,0.812,3.9,4.9,3.2,14.9,
28.0,Paul Neumann,28.0,SFW,PG,66.0,,26.2,5.2,12.4,0.42,4.0,4.8,0.836,3.2,2.8,2.6,14.4,
29.0,Billy Cunningham,22.0,PHI,SF,80.0,,26.7,5.4,12.6,0.426,3.5,5.5,0.634,7.5,2.6,3.8,14.3,ROY-2
30.0,Happy Hairston,23.0,CIN,PF,72.0,,24.9,5.5,11.3,0.489,3.1,4.5,0.685,7.6,0.6,3.0,14.1,
31.0,Howard Komives,24.0,NYK,PG,80.0,79.0,32.7,5.5,14.0,0.391,3.0,3.5,0.861,3.5,5.3,3.5,13.9,
32.0,Cliff Hagan,34.0,STL,SF,74.0,,25.0,5.7,12.7,0.445,2.4,2.8,0.854,3.2,2.2,2.4,13.7,
33.0,Walt Hazzard,23.0,LAL,SG,80.0,,27.5,5.7,12.5,0.457,2.3,3.2,0.708,2.7,4.9,2.8,13.7,
34.0,Larry Siegfried,26.0,BOS,PG,71.0,,23.6,4.9,11.6,0.423,3.9,4.4,0.881,2.8,2.3,2.2,13.7,
35.0,Bill Bridges,26.0,STL,PF,78.0,,34.3,4.8,11.9,0.407,3.3,4.7,0.706,12.2,2.7,4.3,13.0,
36.0,Bill Russell,31.0,BOS,C,78.0,,43.4,5.0,12.1,0.415,2.9,5.2,0.551,22.8,4.8,2.8,12.9,"MVP-4,AS,NBA2"
37.0,Tom Meschery,27.0,SFW,PF,80.0,,29.8,5.0,11.2,0.448,2.8,3.7,0.765,9.0,1.0,3.6,12.8,
38.0,Joe Caldwell,24.0,2TM,SF,79.0,,23.5,5.2,11.9,0.438,2.3,3.2,0.705,5.5,1.6,2.6,12.7,
39.0,Tom Sanders,27.0,BOS,PF,72.0,,26.3,4.8,11.3,0.428,2.9,3.8,0.764,7.1,1.3,4.4,12.6,
40.0,Dave Stallworth,24.0,NYK,SF,80.0,10.0,23.7,4.7,10.3,0.455,3.2,4.7,0.686,6.2,2.3,3.0,12.6,
41.0,Jim Barnes,24.0,2TM,PF,73.0,7.0,30.0,4.8,11.2,0.425,2.9,4.2,0.684,10.3,1.3,3.9,12.4,
42.0,Dick Van Arsdale,22.0,NYK,SG,79.0,69.0,29.0,4.5,10.6,0.428,3.2,4.4,0.715,4.8,2.3,3.0,12.3,
43.0,Bob Boozer,28.0,LAL,PF,78.0,,23.7,4.7,9.7,0.484,2.9,3.7,0.779,7.0,1.1,2.5,12.2,
44.0,Leroy Ellis,25.0,LAL,C,80.0,,27.7,4.9,11.6,0.424,2.3,3.2,0.727,9.2,0.9,2.9,12.2,
45.0,Johnny Green,32.0,2TM,PF,79.0,7.0,20.8,4.5,8.5,0.536,2.6,4.9,0.521,8.2,1.4,2.3,11.6,
46.0,Al Attles,29.0,SFW,PG,79.0,,26.0,4.6,9.2,0.503,1.9,3.2,0.611,4.1,2.8,3.4,11.2,
47.0,Red Kerr,33.0,BAL,C,71.0,,24.9,4.0,9.7,0.413,2.9,3.8,0.768,8.3,3.2,2.1,11.0,
48.0,Rod Thorn,24.0,2TM,SG,73.0,,23.8,4.2,10.0,0.42,2.3,3.2,0.712,2.9,2.0,2.0,10.7,
49.0,Willie Naulls,31.0,BOS,SF,71.0,,20.2,4.6,11.5,0.402,1.5,1.8,0.794,4.5,1.0,2.8,10.7,
50.0,Tom Van Arsdale,22.0,DET,SG,79.0,,25.8,3.9,10.6,0.374,2.6,3.7,0.721,3.9,2.6,3.2,10.5,
51.0,Don Nelson,25.0,BOS,SF,75.0,,23.5,3.6,8.2,0.439,3.0,4.3,0.684,5.4,1.1,2.5,10.2,
52.0,Johnny Egan,27.0,2TM,PG,76.0,0.0,21.6,3.4,7.6,0.451,2.3,3.0,0.762,2.4,3.6,2.2,9.1,
53.0,Wali Jones,23.0,PHI,PG,80.0,,27.5,3.7,10.0,0.37,1.6,2.2,0.744,2.1,3.4,3.1,9.0,
54.0,K.C. Jones,33.0,BOS,PG,80.0,,33.9,3.0,7.7,0.388,2.6,3.8,0.69,3.8,6.3,3.0,8.6,
55.0,Joe Strawder,25.0,DET,C,79.0,,27.6,3.2,7.8,0.408,2.2,3.2,0.688,10.4,1.0,3.9,8.6,
58.0,Tom Hawkins,29.0,CIN,SF,79.0,,26.9,3.5,7.6,0.452,1.5,2.6,0.555,7.3,1.3,3.5,8.4,
59.0,Luke Jackson,24.0,PHI,PF,79.0,,24.9,3.1,7.8,0.401,2.0,2.7,0.738,8.6,1.7,2.7,8.2,
60.0,John Barnhill,27.0,2TM,PG,76.0,,21.3,3.2,8.0,0.401,1.5,2.4,0.614,2.7,2.6,1.8,7.9,
64.0,Wayne Embry,28.0,CIN,C,80.0,,23.5,2.9,7.1,0.411,1.8,2.9,0.603,6.6,1.0,3.6,7.6,
91.0,Gene Wiley,28.0,LAL,C,67.0,,20.7,1.8,4.3,0.426,0.6,1.1,0.566,7.3,0.9,2.6,4.3,
