Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
1.0,Andrew Wiggins,21.0,MIN,SF,82.0,82.0,3048.0,11.8,26.1,0.452,1.7,4.8,0.356,10.1,21.3,0.473,0.484,6.9,9.0,0.76,1.7,3.8,5.5,3.1,1.4,0.5,3.1,3.0,32.2,107.0,115.0,
2.0,Karl-Anthony Towns,21.0,MIN,C,82.0,82.0,3030.0,13.4,24.8,0.542,1.7,4.6,0.367,11.7,20.2,0.582,0.576,6.0,7.2,0.832,5.0,11.9,16.9,3.7,0.9,1.7,3.5,4.0,34.5,121.0,110.0,
3.0,James Harden,27.0,HOU,PG,81.0,81.0,2947.0,11.0,25.0,0.44,4.3,12.3,0.347,6.7,12.7,0.53,0.525,12.1,14.3,0.847,1.5,9.2,10.7,14.8,2.0,0.6,7.6,3.5,38.4,118.0,107.0,"MVP-2,AS,NBA1"
4.0,Giannis Antetokounmpo,22.0,MIL,SF,80.0,80.0,2845.0,11.7,22.5,0.521,0.9,3.2,0.272,10.8,19.3,0.563,0.541,8.4,10.9,0.77,2.5,10.0,12.5,7.7,2.3,2.7,4.2,4.4,32.7,116.0,104.0,"MVP-7,MIP-1,AS,NBA2"
5.0,John Wall,26.0,WAS,PG,78.0,78.0,2836.0,11.2,24.9,0.451,1.5,4.7,0.327,9.7,20.2,0.48,0.482,7.3,9.2,0.801,1.0,4.6,5.7,14.4,2.7,0.9,5.6,2.6,31.4,111.0,108.0,"MVP-7,AS,NBA3"
6.0,Jimmy Butler,27.0,CHI,SF,76.0,75.0,2809.0,10.2,22.5,0.455,1.6,4.4,0.367,8.6,18.0,0.477,0.492,10.5,12.1,0.865,2.3,6.1,8.4,7.5,2.6,0.6,2.9,2.0,32.6,123.0,106.0,"AS,NBA3"
7.0,Harrison Barnes,24.0,DAL,PF,79.0,79.0,2803.0,11.1,23.8,0.468,1.4,4.1,0.351,9.7,19.6,0.492,0.498,4.5,5.2,0.861,1.7,5.6,7.3,2.2,1.2,0.3,1.9,2.4,28.2,106.0,111.0,
8.0,Russell Westbrook,28.0,OKC,PG,81.0,81.0,2802.0,14.4,34.0,0.425,3.5,10.2,0.343,10.9,23.8,0.459,0.476,12.4,14.7,0.845,2.4,12.7,15.1,14.7,2.3,0.5,7.7,3.3,44.8,112.0,104.0,"MVP-1,AS,NBA1"
9.0,CJ McCollum,25.0,POR,SG,80.0,80.0,2796.0,12.3,25.6,0.48,3.3,7.8,0.421,9.0,17.8,0.506,0.544,4.8,5.2,0.912,1.1,4.1,5.1,5.1,1.3,0.7,3.1,3.6,32.6,114.0,113.0,
10.0,LeBron James,32.0,CLE,SF,74.0,74.0,2794.0,13.1,24.0,0.548,2.2,6.1,0.363,10.9,17.9,0.611,0.594,6.4,9.5,0.674,1.7,9.7,11.4,11.5,1.6,0.8,5.4,2.4,34.9,119.0,108.0,"MVP-4,DPOY-5,AS,NBA1"
11.0,Trevor Ariza,31.0,HOU,SF,80.0,80.0,2773.0,5.6,13.8,0.409,3.3,9.6,0.344,2.3,4.2,0.556,0.528,1.6,2.2,0.738,0.9,7.0,7.9,3.0,2.5,0.3,1.3,2.3,16.2,113.0,108.0,
12.0,Rudy Gobert,24.0,UTA,C,81.0,81.0,2744.0,7.9,11.9,0.661,0.0,0.0,0.0,7.9,11.9,0.662,0.661,5.9,9.1,0.653,6.0,13.8,19.8,1.9,0.9,4.1,2.8,4.7,21.7,129.0,99.0,"DPOY-2,NBA2"
13.0,Kemba Walker,26.0,CHO,PG,79.0,79.0,2739.0,11.8,26.5,0.444,4.4,11.0,0.399,7.4,15.5,0.476,0.527,5.6,6.6,0.847,0.8,4.8,5.6,7.9,1.6,0.4,3.1,2.2,33.5,113.0,111.0,AS
14.0,Devin Booker,20.0,PHO,SG,78.0,78.0,2730.0,10.6,25.1,0.423,2.6,7.1,0.363,8.0,18.0,0.447,0.475,6.4,7.7,0.832,0.8,3.6,4.4,4.7,1.3,0.4,4.2,4.2,30.3,103.0,116.0,
15.0,Anthony Davis,23.0,NOP,C,75.0,75.0,2708.0,13.9,27.6,0.505,0.7,2.4,0.299,13.2,25.2,0.524,0.518,9.4,11.7,0.802,3.1,12.9,16.0,2.8,1.7,3.0,3.3,3.0,38.0,112.0,102.0,"MVP-9,AS,NBA1"
16.0,Damian Lillard,26.0,POR,PG,75.0,75.0,2694.0,12.2,27.4,0.444,3.9,10.7,0.37,8.2,16.8,0.492,0.516,9.0,10.0,0.895,0.8,5.9,6.8,8.1,1.3,0.4,3.6,2.8,37.3,118.0,113.0,
17.0,Paul George,26.0,IND,SF,75.0,75.0,2689.0,11.6,25.1,0.461,3.6,9.2,0.393,7.9,15.9,0.501,0.534,6.3,7.0,0.898,1.1,8.1,9.2,4.7,2.2,0.5,4.1,3.8,33.0,109.0,108.0,AS
18.0,Bradley Beal,23.0,WAS,SG,77.0,77.0,2684.0,11.7,24.3,0.482,4.1,10.1,0.404,7.6,14.1,0.538,0.566,5.2,6.3,0.825,1.0,3.4,4.4,4.9,1.5,0.4,2.9,3.1,32.7,117.0,112.0,
19.0,Jeff Teague,28.0,IND,PG,82.0,82.0,2657.0,7.6,17.1,0.442,1.7,4.7,0.357,5.9,12.4,0.475,0.492,6.8,7.8,0.867,0.6,5.6,6.2,12.0,1.9,0.6,4.1,3.1,23.6,115.0,110.0,
20.0,Gorgui Dieng,27.0,MIN,PF,82.0,82.0,2653.0,6.3,12.6,0.502,0.3,0.8,0.372,6.0,11.8,0.511,0.514,2.6,3.2,0.814,3.6,8.8,12.4,3.0,1.7,1.8,2.0,4.9,15.6,114.0,110.0,
21.0,Klay Thompson,26.0,GSW,SG,78.0,78.0,2649.0,11.7,25.0,0.468,4.9,11.8,0.414,6.8,13.2,0.516,0.565,3.4,4.0,0.853,0.9,4.3,5.2,2.9,1.2,0.7,2.3,2.5,31.6,111.0,108.0,AS
22.0,Stephen Curry,28.0,GSW,PG,79.0,79.0,2638.0,12.3,26.3,0.468,5.9,14.4,0.411,6.4,11.9,0.537,0.58,5.9,6.6,0.898,1.1,5.3,6.4,9.6,2.6,0.3,4.4,3.3,36.5,119.0,105.0,"MVP-6,AS,NBA2"
23.0,DeMar DeRozan,27.0,TOR,SG,74.0,74.0,2620.0,13.9,29.9,0.467,0.6,2.4,0.266,13.3,27.5,0.484,0.477,10.5,12.5,0.842,1.4,6.1,7.5,5.6,1.5,0.3,3.5,2.6,39.1,113.0,110.0,"MVP-11,AS,NBA3"
24.0,Nicolas Batum,28.0,CHO,SG,77.0,77.0,2617.0,7.5,18.7,0.403,2.6,7.8,0.333,4.9,10.9,0.453,0.472,4.7,5.4,0.856,0.9,8.3,9.2,8.7,1.6,0.6,3.7,2.1,22.3,105.0,108.0,
25.0,Otto Porter Jr.,23.0,WAS,SF,80.0,80.0,2605.0,7.8,15.2,0.516,2.8,6.5,0.434,5.0,8.7,0.576,0.608,1.9,2.3,0.832,2.2,7.5,9.7,2.3,2.2,0.8,0.8,3.7,20.3,129.0,108.0,
26.0,DeAndre Jordan,28.0,LAC,C,81.0,81.0,2570.0,8.0,11.2,0.714,0.0,0.0,0.0,8.0,11.2,0.717,0.714,4.0,8.3,0.482,5.8,15.9,21.7,1.9,1.0,2.6,2.2,4.1,20.0,129.0,102.0,"AS,NBA3"
27.0,Isaiah Thomas,27.0,BOS,PG,76.0,76.0,2569.0,13.2,28.4,0.463,4.7,12.5,0.379,8.4,16.0,0.528,0.546,11.4,12.5,0.909,0.8,3.1,4.0,8.6,1.4,0.3,4.1,3.2,42.4,122.0,112.0,"MVP-5,AS,NBA2"
28.0,Tobias Harris,24.0,DET,PF,82.0,48.0,2567.0,10.1,20.9,0.481,2.1,6.2,0.347,7.9,14.7,0.537,0.532,3.7,4.4,0.841,1.2,6.9,8.2,2.8,1.2,0.8,1.9,2.6,26.0,113.0,108.0,
29.0,Marcus Morris,27.0,DET,SF,79.0,79.0,2565.0,8.3,19.8,0.418,2.3,7.0,0.331,6.0,12.8,0.466,0.477,2.9,3.6,0.784,1.5,5.7,7.2,3.2,1.0,0.5,1.7,3.3,21.8,105.0,109.0,
30.0,Marcin Gortat,32.0,WAS,C,82.0,82.0,2556.0,7.5,13.0,0.579,0.0,0.0,0.0,7.5,13.0,0.58,0.579,2.0,3.1,0.648,4.6,11.8,16.4,2.3,0.8,1.2,2.3,4.1,17.0,117.0,108.0,
31.0,Myles Turner,20.0,IND,C,81.0,81.0,2541.0,8.7,17.1,0.511,0.8,2.3,0.348,8.0,14.9,0.536,0.534,4.8,6.0,0.809,2.7,8.9,11.6,2.1,1.5,3.4,2.1,5.2,23.1,115.0,105.0,
32.0,Carmelo Anthony,32.0,NYK,SF,74.0,74.0,2538.0,11.9,27.4,0.433,3.0,8.3,0.359,8.9,19.1,0.466,0.488,6.0,7.2,0.833,1.2,7.4,8.6,4.2,1.2,0.7,3.0,3.9,32.7,108.0,113.0,AS
33.0,Marc Gasol,32.0,MEM,C,74.0,74.0,2531.0,10.9,23.8,0.459,2.1,5.5,0.388,8.8,18.3,0.48,0.503,5.7,6.8,0.837,1.2,8.3,9.5,6.9,1.4,2.0,3.4,3.5,29.7,111.0,106.0,AS
34.0,Kentavious Caldwell-Pope,23.0,DET,SG,76.0,75.0,2529.0,7.4,18.5,0.399,3.1,8.7,0.35,4.3,9.8,0.442,0.481,3.1,3.7,0.832,1.1,3.9,5.0,3.9,1.8,0.2,1.7,2.4,20.9,107.0,109.0,
35.0,Kyrie Irving,24.0,CLE,PG,72.0,72.0,2525.0,13.3,28.1,0.473,3.5,8.7,0.401,9.8,19.4,0.505,0.535,5.9,6.5,0.905,1.0,3.5,4.5,8.3,1.6,0.5,3.6,3.1,35.9,116.0,112.0,AS
36.0,Gordon Hayward,26.0,UTA,SF,73.0,73.0,2516.0,11.4,24.1,0.471,3.1,7.8,0.398,8.3,16.3,0.506,0.536,7.5,8.9,0.844,1.0,7.2,8.2,5.3,1.5,0.4,2.9,2.4,33.4,118.0,106.0,AS
37.0,Hassan Whiteside,27.0,MIA,C,77.0,77.0,2513.0,10.9,19.5,0.557,0.0,0.0,,10.9,19.5,0.557,0.557,4.5,7.2,0.628,5.9,15.9,21.8,1.1,1.1,3.2,3.1,4.5,26.3,113.0,100.0,DPOY-5
