Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Trp-Dbl,Awards
1.0,Kareem Abdul-Jabbar,23.0,MIL,C,82.0,,3288.0,12.963414634146341,22.475609756097562,0.577,5.7317073170731705,8.304878048780488,0.69,1311.0,272.0,264.0,31.658536585365855,1.0,"MVP-1,AS,NBA1"
2.0,Elvin Hayes,25.0,SDR,C,82.0,,3633.0,11.560975609756097,27.01219512195122,0.428,5.536585365853658,8.24390243902439,0.672,1362.0,186.0,225.0,28.658536585365855,0.0,AS
3.0,John Havlicek,30.0,BOS,SF,81.0,,3678.0,11.012345679012345,24.469135802469136,0.45,6.839506172839506,8.358024691358025,0.818,730.0,607.0,200.0,28.864197530864196,8.0,"MVP-6,AS,NBA1"
4.0,Dave Bing,27.0,DET,PG,82.0,,3065.0,9.74390243902439,20.853658536585368,0.467,7.5,9.414634146341463,0.797,364.0,408.0,228.0,26.98780487804878,0.0,"MVP-3,AS,NBA1"
5.0,Bob Love,28.0,CHI,PF,81.0,81.0,3482.0,9.444444444444445,21.11111111111111,0.447,6.333333333333333,7.6419753086419755,0.829,690.0,185.0,259.0,25.22222222222222,0.0,"MVP-7,AS,NBA2"
6.0,Lou Hudson,26.0,ATL,SF,76.0,,3113.0,10.907894736842104,22.539473684210527,0.484,5.0131578947368425,6.605263157894737,0.759,386.0,257.0,186.0,26.82894736842105,0.0,AS
7.0,Geoff Petrie,22.0,POR,SG,82.0,,3032.0,9.560975609756097,21.585365853658537,0.443,5.646341463414634,7.317073170731708,0.772,280.0,390.0,196.0,24.76829268292683,0.0,"ROY-1,AS"
8.0,Pete Maravich,23.0,ATL,SG,81.0,,2926.0,9.11111111111111,19.91358024691358,0.458,4.987654320987654,6.234567901234568,0.8,298.0,355.0,238.0,23.209876543209877,0.0,ROY-3
9.0,Tom Van Arsdale,27.0,CIN,SF,82.0,,3146.0,9.134146341463415,20.024390243902438,0.456,4.597560975609756,6.378048780487805,0.721,499.0,181.0,294.0,22.865853658536587,0.0,AS
10.0,Billy Cunningham,27.0,PHI,SF,81.0,80.0,3090.0,8.666666666666666,18.753086419753085,0.462,5.617283950617284,7.654320987654321,0.734,946.0,395.0,328.0,22.950617283950617,4.0,"MVP-9,AS,NBA1"
